CPU:202206051050_Univ of Missouri.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 10:50:15.600,7426,0,7,3.931946,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:15.800,7427,200,7,4.077002,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:16,7428,400,7,5.19867,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:16.200,7429,600,7,4.466802,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:16.400,7430,800,7,4.020977,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:16.600,7431,1000,7,2.510471,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:16.800,7432,1200,7,3.319603,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:17,7433,1400,7,4.338842,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:17.200,7434,1600,7,4.613192,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:17.400,7435,1800,7,4.786295,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:17.600,7436,2000,7,4.747442,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:17.800,7437,2200,7,4.50351,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:18,7438,2400,7,3.765057,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:18.200,7439,2600,7,4.212362,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:18.400,7440,2800,7,2.729609,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:18.600,7441,3000,7,3.17906,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:18.800,7442,3200,7,5.284445,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:19,7443,3400,7,3.68239,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:19.200,7444,3600,7,3.348614,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:19.400,7445,3800,7,3.954147,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:19.600,7446,4000,7,2.601501,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:19.800,7447,4200,7,5.295843,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:20,7448,4400,7,3.46525,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:20.200,7449,4600,7,4.385468,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:20.400,7450,4800,7,3.37126,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:20.600,7451,5000,7,3.082998,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:20.800,7452,5200,7,4.029783,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:21,7453,5400,7,3.918253,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:21.200,7454,5600,7,1.943419,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:21.400,7455,5800,7,6.01794,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:21.600,7456,6000,7,2.596542,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:21.800,7457,6200,7,4.993889,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:22,7458,6400,7,3.204889,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:22.200,7459,6600,7,4.187052,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:22.400,7460,6800,7,3.821526,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:22.600,7461,7000,7,3.602388,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:22.800,7462,7200,7,4.188311,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:23,7463,7400,7,1.751295,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:23.200,7464,7600,7,6.128063,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:23.400,7465,7800,7,3.101278,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:23.600,7466,8000,7,4.071377,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:23.800,7467,8200,7,3.565975,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:24,7468,8400,7,2.538445,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:24.200,7469,8600,7,4.491226,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:24.400,7470,8800,7,2.821304,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:24.600,7471,9001,7,3.128365,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:24.800,7472,9200,7,3.790588,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:50:25,7473,9400,7,2.88125,NAN,0,0,0,0,0,0,0,0,0,0
