CPU:202206051053_Kansas State Univ.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 10:53:21,7677,0,13,117.2083,25590.88,0.6706078,0.983558,0.983558,0.1967116,0.1967116,0.1967116,0.1563002,0.1967116,8,8
'06/05/2022 10:53:21.200,7678,201,13,9.226889,34158.07,0.4908121,0.7198577,0.7376686,0.3442453,0.3406831,0.3442453,0.009005408,0.3442453,6,14
'06/05/2022 10:53:21.400,7679,400,13,4.015373,34158.07,0.4908121,0.7198577,0.1229447,0.3688342,0.4846547,0.3688342,0.003918989,0.3688342,1,15
'06/05/2022 10:53:21.600,7680,600,13,1.259529,278898.4,0.06011218,0.08816453,0.1229447,0.3934232,0.5022876,0.3934232,0.0001505579,0.3934232,1,16
'06/05/2022 10:53:21.800,7681,800,13,1.895555,149852.6,0.1118779,0.1640876,0.1229447,0.4180122,0.5351051,0.4180122,0.0004217098,0.4180122,1,17
'06/05/2022 10:53:22,7682,1000,13,2.660357,232360.4,0.07215167,0.1058225,0.1229447,0.4426011,0.5562696,0.4426011,0.0003816973,0.4426011,1,18
'06/05/2022 10:53:22.200,7683,1200,13,3.747984,272454.2,0.061534,0.09024986,0.1229447,0.46719,0.5743196,0.46719,0.0004586123,0.46719,1,19
'06/05/2022 10:53:22.400,7684,1400,13,2.787132,272454.2,0.061534,0.09024986,0,0.46719,0.5923695,0.46719,0.0003410402,0.46719,0,19
'06/05/2022 10:53:22.600,7685,1600,13,3.46061,272454.2,0.061534,0.09024986,0,0.46719,0.6104194,0.46719,0.0004234484,0.46719,0,19
'06/05/2022 10:53:22.800,7686,1800,13,3.863138,NAN,0,0,0,0.46719,0.6104194,0.46719,0,0.46719,0,19
'06/05/2022 10:53:23,7687,2000,13,0.9863644,NAN,0,0,0,0.46719,0.6104194,0.46719,0,0.46719,0,19
'06/05/2022 10:53:23.200,7688,2200,13,2.487253,933132.2,0.01796658,0.02635098,0.1229447,0.491779,0.6156896,0.491779,8.886242e-05,0.491779,1,20
'06/05/2022 10:53:23.400,7689,2400,13,1.549345,933132.2,0.01796658,0.02635098,0,0.491779,0.6209598,0.491779,5.535366e-05,0.491779,0,20
'06/05/2022 10:53:23.600,7690,2600,13,1.921385,933132.2,0.01796658,0.02635098,0,0.491779,0.62623,0.491779,6.864558e-05,0.491779,0,20
'06/05/2022 10:53:23.800,7691,2800,13,3.526476,NAN,0,0,0,0.491779,0.62623,0.491779,0,0.491779,0,20
'06/05/2022 10:53:24,7692,3000,13,3.137043,861864,0.01945225,0.02852996,0.1229447,0.5163679,0.631936,0.5163679,0.0001213454,0.5163679,1,21
'06/05/2022 10:53:24.200,7693,3200,13,0.1588783,861864,0.01945225,0.02852996,0,0.5163679,0.637642,0.5163679,6.145643e-06,0.5163679,0,21
'06/05/2022 10:53:24.400,7694,3400,13,1.627422,861864,0.01945225,0.02852996,0,0.5163679,0.643348,0.5163679,6.295104e-05,0.5163679,0,21
'06/05/2022 10:53:24.600,7695,3600,13,3.371502,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:24.800,7696,3800,13,2.296385,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:25,7697,4000,13,0.5825004,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:25.200,7698,4200,13,2.001387,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:25.400,7699,4400,13,2.283583,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:25.600,7700,4600,13,1.222969,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
'06/05/2022 10:53:25.800,7701,4800,13,2.857294,NAN,0,0,0,0.5163679,0.643348,0.5163679,0,0.5163679,0,21
