CPU:202206051055_Iowa State.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 10:55:59.400,7899,0,3,142.0156,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:55:59.600,7900,200,3,134.7544,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:55:59.800,7901,400,3,148.4106,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:00,7902,600,3,146.5889,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:00.200,7903,800,3,139.2637,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:00.400,7904,1000,3,127.0197,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:00.600,7905,1200,3,122.9513,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:00.800,7906,1400,3,120.6812,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:01,7907,1600,3,130.4083,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:01.200,7908,1800,3,122.2775,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:01.400,7909,2000,3,138.198,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:01.600,7910,2200,3,123.4234,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:01.800,7911,2400,3,129.105,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:02,7912,2600,3,119.3221,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:02.200,7913,2800,3,124.1519,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:02.400,7914,3000,3,117.5236,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:02.600,7915,3200,3,120.275,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:02.800,7916,3400,3,113.7521,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:03,7917,3600,3,125.7976,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:03.200,7918,3800,3,132.8046,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:03.400,7919,4000,3,126.9992,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:03.600,7920,4200,3,123.9343,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:03.800,7921,4400,3,133.4834,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:04,7922,4600,3,128.4161,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:04.200,7923,4800,3,128.9696,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:04.400,7924,5000,3,131.3588,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:04.600,7925,5200,3,167.534,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:04.800,7926,5400,3,218.0587,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:05,7927,5600,3,209.6949,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:05.200,7928,5800,3,165.1637,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:05.400,7929,6000,3,168.6425,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:56:05.600,7930,6200,3,159.2035,NAN,0,0,0,0,0,0,0,0,0,0
