CPU:202206051058_Univ of Nebraska.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 10:58:22.600,8139,0,2,167.2274,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:22.800,8140,200,2,154.3911,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:23,8141,400,2,166.5666,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:23.200,8142,600,2,176.8507,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:23.400,8143,800,2,178.0787,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:23.600,8144,1000,2,177.6891,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:23.800,8145,1200,2,169.0882,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:24,8146,1400,2,176.1245,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:24.200,8147,1600,2,161.3317,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:24.400,8148,1800,2,172.9736,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:24.600,8149,2000,2,183.9979,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:24.800,8150,2200,2,162.7663,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:25,8151,2400,2,173.1981,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:25.200,8152,2600,2,179.463,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:25.400,8153,2800,2,189.7119,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:25.600,8154,3000,2,173.3851,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:25.800,8155,3200,2,196.0616,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:26,8156,3400,2,195.1158,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:26.200,8157,3600,2,221.7734,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:26.400,8158,3800,2,224.433,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:26.600,8159,4000,2,179.3443,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:26.800,8160,4200,2,187.8883,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:27,8161,4400,2,188.6142,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:27.200,8162,4600,2,202.2334,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:27.400,8163,4800,2,195.0689,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:27.600,8164,5000,2,198.5716,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:27.800,8165,5200,2,189.1199,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:28,8166,5400,2,192.8728,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:28.200,8167,5600,2,188.6567,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:28.400,8168,5800,2,192.8228,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:28.600,8169,6000,2,191.741,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:28.800,8170,6200,2,181.568,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:29,8171,6400,2,197.1097,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:29.200,8172,6600,2,545.264,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 10:58:29.400,8173,6800,2,908.6076,3764236,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.1514565,0.02458895,1,1
'06/05/2022 10:58:29.600,8174,7000,2,499.6238,33231.77,0.5044929,0.739923,0.6147238,0.1475337,0.1725735,0.1475337,0.5012231,0.1475337,5,6
'06/05/2022 10:58:29.800,8175,7200,2,969.1478,27733.48,0.604511,0.8866162,0.9835581,0.3442453,0.3498968,0.3442453,1.165003,0.3442453,8,14
'06/05/2022 10:58:30,8176,7400,2,1243.829,18018.98,0.9304183,1.364614,1.229447,0.5901348,0.6228195,0.5901348,2.301292,0.5901348,10,24
'06/05/2022 10:58:30.200,8177,7600,2,1039.063,11429.25,1.466867,2.151405,2.090061,1.008147,1.053101,1.008147,3.030856,1.008147,17,41
'06/05/2022 10:58:30.400,8178,7800,2,1072.796,8384.548,1.999534,2.932651,2.704785,1.549104,1.639631,1.549104,4.265588,1.549104,22,63
'06/05/2022 10:58:30.600,8179,8000,2,943.2797,6916.792,2.42384,3.554965,3.565397,2.262183,2.350624,2.262183,4.5465,2.262183,29,92
'06/05/2022 10:58:30.800,8180,8200,2,823.3542,6274.365,2.672014,3.918954,3.811287,3.024441,3.134414,3.024441,4.374801,3.024441,31,123
'06/05/2022 10:58:31,8181,8400,2,663.3565,5465.842,3.067267,4.498658,4.426011,3.909643,4.034146,3.909643,4.046051,3.909643,36,159
'06/05/2022 10:58:31.200,8182,8600,2,489.8267,5343.695,3.137379,4.601488,4.548956,4.819434,4.954444,4.819434,3.055922,4.819434,37,196
'06/05/2022 10:58:31.400,8183,8800,2,400.8041,5338.232,3.140589,4.606197,4.6719,5.753814,5.875683,5.753814,2.503088,5.753814,38,234
'06/05/2022 10:58:31.600,8184,9000,2,557.1749,5399.704,3.104836,4.553759,4.548955,6.663605,6.786434,6.663605,3.440036,6.663605,37,271
'06/05/2022 10:58:31.800,8185,9200,2,621.5744,5380.335,3.116013,4.570152,4.548955,7.573396,7.700466,7.573396,3.851458,7.573396,37,308
'06/05/2022 10:58:32,8186,9400,2,519.8296,5286.76,3.171166,4.651044,4.6719,8.507776,8.630674,8.507776,3.278029,8.507776,38,346
'06/05/2022 10:58:32.200,8187,9600,2,374.9994,5234.224,3.202995,4.697726,4.671903,9.442157,9.570219,9.442157,2.388469,9.442157,38,384
'06/05/2022 10:58:32.400,8188,9800,2,375.89,5283.676,3.173017,4.653758,4.671903,10.37654,10.50097,10.37654,2.371734,10.37654,38,422
'06/05/2022 10:58:32.600,8189,10000,2,470.8754,5393.764,3.108255,4.558774,4.548955,11.28633,11.41273,11.28633,2.910419,11.28633,37,459
'06/05/2022 10:58:32.800,8190,10200,2,547.6663,5452.027,3.075039,4.510057,4.548955,12.19612,12.31474,12.19612,3.348879,12.19612,37,496
