CPU:202206051105_Oklahoma State Univ.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 11:05:08.400,8421,0,5,78.53824,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:05:08.600,8422,201,5,14.39986,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:05:08.800,8423,400,5,2.309624,3.016864e+08,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.0003849928,0.02458895,1,1
'06/05/2022 11:05:09,8424,600,5,2.168715,3.016864e+08,5.557159e-05,8.150499e-05,0,0.02458895,0.02460525,0.02458895,2.396559e-07,0.02458895,0,1
'06/05/2022 11:05:09.200,8425,800,5,2.866535,3.016864e+08,5.557159e-05,8.150499e-05,0,0.02458895,0.02462155,0.02458895,3.167692e-07,0.02458895,0,1
'06/05/2022 11:05:09.400,8426,1000,5,3.025578,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:09.600,8427,1200,5,1.216972,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:09.800,8428,1400,5,0.9279709,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:10,8429,1600,5,1.343082,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:10.200,8430,1800,5,1.280544,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:10.400,8431,2000,5,2.932327,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:10.600,8432,2200,5,3.715258,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
'06/05/2022 11:05:10.800,8433,2400,5,0.9163513,NAN,0,0,0,0.02458895,0.02462155,0.02458895,0,0.02458895,0,1
