CPU:202206051110_North Dakota State.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 11:10:01.800,9045,0,17,2.929527,540880.7,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:02,9046,199,17,2.954098,540880.7,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:02.200,9047,399,17,3.843304,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:02.400,9048,599,17,2.140083,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:02.600,9049,799,17,2.356707,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:02.800,9050,999,17,5.316286,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:03,9051,1199,17,3.761969,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:03.200,9052,1399,17,3.476668,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:03.400,9053,1599,17,2.356926,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:03.600,9054,1800,17,3.208759,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:03.800,9055,1999,17,3.502422,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:04,9056,2199,17,1.433973,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:04.200,9057,2399,17,4.716303,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:04.400,9058,2599,17,2.457949,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:04.600,9059,2799,17,3.09301,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:04.800,9060,2999,17,4.355366,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:05,9061,3199,17,3.195808,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:05.200,9062,3399,17,1.709063,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:05.400,9063,3599,17,4.183592,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:05.600,9064,3799,17,3.145113,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:05.800,9065,3999,17,0.8796558,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:06,9066,4199,17,2.933081,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:06.200,9067,4399,17,2.401554,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:06.400,9068,4599,17,2.953653,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:06.600,9069,4799,17,2.361738,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:06.800,9070,4999,17,2.222603,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:07,9071,5199,17,5.748787,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:07.200,9072,5399,17,2.628166,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:07.400,9073,5599,17,1.493994,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:07.600,9074,5799,17,3.080133,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:07.800,9075,5999,17,5.325609,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:08,9076,6199,17,2.822586,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:08.200,9077,6399,17,1.10412,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:08.400,9078,6599,17,1.308382,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:08.600,9079,6799,17,1.265162,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:08.800,9080,6999,17,0.5381069,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:09,9081,7199,17,1.293802,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:09.200,9082,7399,17,1.026485,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:09.400,9083,7599,17,0.8013534,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:09.600,9084,7799,17,1.435083,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:09.800,9085,7999,17,1.038919,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:10,9086,8199,17,0.7291222,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:10.200,9087,8399,17,1.086359,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:10.400,9088,8599,17,1.862701,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:10.600,9089,8799,17,0.6793881,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:10.800,9090,8999,17,0.8551559,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:11,9091,9199,17,0.8237782,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:11.200,9092,9399,17,1.466314,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:11.400,9093,9599,17,1.432049,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:11.600,9094,9799,17,1.405998,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:11.800,9095,9999,17,1.667618,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:12,9096,10199,17,1.533663,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:12.200,9097,10399,17,1.625507,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:12.400,9098,10599,17,2.04417,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:12.600,9099,10799,17,1.705214,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:12.800,9100,10999,17,2.606556,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:13,9101,11199,17,8.365637,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:13.200,9102,11399,17,1.545429,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:10:13.400,9103,11599,17,337.4308,5988502,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.05624659,0.02458895,1,1
'06/05/2022 11:10:13.600,9104,11799,17,1168.617,45907.68,0.3651937,0.5356174,0.491779,0.1229448,0.1317124,0.1229448,0.8486491,0.1229448,4,5
'06/05/2022 11:10:13.800,9105,11999,17,1019.184,27669.46,0.6059096,0.8886674,0.8606133,0.2950674,0.3094459,0.2950674,1.227985,0.2950674,7,12
'06/05/2022 11:10:14,9106,12199,17,983.0334,17603.93,0.9523552,1.396788,1.352392,0.5655458,0.5888034,0.5655458,1.861659,0.5655458,11,23
'06/05/2022 11:10:14.200,9107,12399,17,1366.514,10289.82,1.629299,2.389639,2.213006,1.008147,1.066731,1.008147,4.42739,1.008147,18,41
'06/05/2022 11:10:14.400,9108,12599,17,693.6841,8076.333,2.075842,3.044569,2.950674,1.598282,1.675645,1.598282,2.863446,1.598282,24,65
'06/05/2022 11:10:14.600,9109,12799,17,1070.328,6977.306,2.402818,3.524132,3.442453,2.286772,2.380471,2.286772,5.114117,2.286772,28,93
'06/05/2022 11:10:14.800,9110,12999,17,1242.048,5885.907,2.848362,4.177598,4.057177,3.098208,3.215991,3.098208,7.035034,3.098208,33,126
'06/05/2022 11:10:15,9111,13199,17,1233.198,4807.738,3.487127,5.114453,5.040734,4.106355,4.238882,4.106355,8.551326,4.106355,41,167
'06/05/2022 11:10:15.200,9112,13399,17,1285.203,4346.308,3.857341,5.657433,5.532513,5.212857,5.370368,5.212857,9.858086,5.212857,45,212
'06/05/2022 11:10:15.400,9113,13599,17,1225.573,3828.704,4.378816,6.422264,6.270182,6.466894,6.65482,6.466894,10.67158,6.466894,51,263
'06/05/2022 11:10:15.600,9114,13799,17,1140.294,3508.808,4.77803,7.007778,7.007852,7.868464,8.056377,7.868464,10.83425,7.868464,57,320
'06/05/2022 11:10:15.800,9115,13999,17,928.6317,3319.852,5.049982,7.406639,7.25374,9.319212,9.537705,9.319212,9.32537,9.319212,59,379
'06/05/2022 11:10:16,9116,14199,17,977.3758,3174.587,5.281064,7.74556,7.745518,10.86832,11.08682,10.86832,10.26398,10.86832,63,442
'06/05/2022 11:10:16.200,9117,14399,17,956.394,2983.706,5.618915,8.241075,8.114352,12.49119,12.73503,12.49119,10.68617,12.49119,66,508
'06/05/2022 11:10:16.400,9118,14599,17,836.317,2876.517,5.828296,8.548167,8.483186,14.18782,14.44467,14.18782,9.692713,14.18782,69,577
'06/05/2022 11:10:16.600,9119,14799,17,953.5389,2780.505,6.02955,8.843341,8.852019,15.95823,16.21333,15.95823,11.4329,15.95823,72,649
'06/05/2022 11:10:16.800,9120,14999,17,817.2224,2628.132,6.37913,9.356056,9.343806,17.82699,18.08455,17.82699,10.36656,17.82699,76,725
'06/05/2022 11:10:17,9121,15199,17,929.2517,2564.236,6.538085,9.589191,9.589691,19.74493,20.00238,19.74493,12.08139,19.74493,78,803
'06/05/2022 11:10:17.200,9122,15399,17,767.7396,2479.713,6.76094,9.916045,9.712639,21.68745,21.98559,21.68745,10.32176,21.68745,79,882
'06/05/2022 11:10:17.400,9123,15599,17,891.102,2406.4,6.966918,10.21815,10.20441,23.72834,24.02922,23.72834,12.34528,23.72834,83,965
'06/05/2022 11:10:17.600,9124,15799,17,888.9701,2384.908,7.029702,10.31023,10.32736,25.79381,26.09127,25.79381,12.42673,25.79381,84,1049
'06/05/2022 11:10:17.800,9125,15999,17,762.3047,2336.585,7.175082,10.52346,10.45031,27.88387,28.19596,27.88387,10.87648,27.88387,85,1134
'06/05/2022 11:10:18,9126,16200,17,764.4955,2316.343,7.237784,10.61542,10.69619,30.02311,30.31904,30.02311,11.00306,30.02311,87,1221
'06/05/2022 11:10:18.200,9127,16399,17,755.6091,2348.121,7.139833,10.47176,10.4503,32.11317,32.41339,32.11317,10.72798,32.11317,85,1306
'06/05/2022 11:10:18.400,9128,16599,17,764.6574,2316.122,7.238477,10.61643,10.6962,34.25241,34.53668,34.25241,11.00644,34.25241,87,1393
'06/05/2022 11:10:18.600,9129,16799,17,762.1654,2327.15,7.204174,10.56612,10.45031,36.34247,36.64991,36.34247,10.91858,36.34247,85,1478
'06/05/2022 11:10:18.800,9130,16999,17,655.3199,2339.369,7.166546,10.51093,10.57325,38.45712,38.7521,38.45712,9.338907,38.45712,86,1564
'06/05/2022 11:10:19,9131,17199,17,645.4094,2346.863,7.143662,10.47737,10.45031,40.54718,40.84757,40.54718,9.168303,40.54718,85,1649
'06/05/2022 11:10:19.200,9132,17399,17,653.9772,2367.917,7.080146,10.38421,10.45031,42.63724,42.92441,42.63724,9.207414,42.63724,85,1734
'06/05/2022 11:10:19.400,9133,17599,17,598.8462,2355.619,7.117109,10.43843,10.45031,44.7273,45.0121,44.7273,8.475235,44.7273,85,1819
'06/05/2022 11:10:19.600,9134,17799,17,796.2555,2391.378,7.010683,10.28234,10.20441,46.76818,47.06856,46.76818,11.10058,46.76818,83,1902
'06/05/2022 11:10:19.800,9135,17999,17,847.9482,2375.227,7.058356,10.35226,10.45031,48.85824,49.13902,48.85824,11.90161,48.85824,85,1987
'06/05/2022 11:10:20,9136,18199,17,883.8943,2370.226,7.073248,10.3741,10.32736,50.92372,51.21383,50.92372,12.43232,50.92372,84,2071
'06/05/2022 11:10:20.200,9137,18399,17,815.1484,2375.155,7.058569,10.35257,10.32736,52.98919,53.28435,52.98919,11.44159,52.98919,84,2155
'06/05/2022 11:10:20.400,9138,18599,17,783.9667,2358.86,7.107328,10.42408,10.45031,55.07925,55.36916,55.07925,11.07993,55.07925,85,2240
'06/05/2022 11:10:20.600,9139,18799,17,856.8286,2360.864,7.101295,10.41523,10.45031,57.16931,57.45221,57.16931,12.09942,57.16931,85,2325
'06/05/2022 11:10:20.800,9140,18999,17,844.0767,2341.066,7.16135,10.50331,10.45031,59.25937,59.55287,59.25937,12.02014,59.25937,85,2410
'06/05/2022 11:10:21,9141,19199,17,787.4179,2368.554,7.07824,10.38142,10.45031,61.34943,61.62916,61.34943,11.08316,61.34943,85,2495
'06/05/2022 11:10:21.200,9142,19399,17,787.4605,2364.571,7.090163,10.39891,10.32736,63.4149,63.70894,63.4149,11.10243,63.4149,84,2579
'06/05/2022 11:10:21.400,9143,19599,17,776.6162,2368.186,7.07934,10.38303,10.45031,65.50497,65.78554,65.50497,10.93282,65.50497,85,2664
'06/05/2022 11:10:21.600,9144,19799,17,958.5024,2352.494,7.126562,10.45229,10.32738,67.57044,67.876,67.57044,13.58333,67.57044,84,2748
'06/05/2022 11:10:21.800,9145,19999,17,823.1806,2378.119,7.049771,10.33966,10.45029,69.6605,69.94393,69.6605,11.53993,69.6605,85,2833
'06/05/2022 11:10:22,9146,20199,17,921.0492,2399.278,6.987599,10.24848,10.20443,71.70138,71.99363,71.70138,12.79805,71.70138,83,2916
'06/05/2022 11:10:22.200,9147,20399,17,942.3106,2404.223,6.973227,10.2274,10.32738,73.76686,74.03911,73.76686,13.06655,73.76686,84,3000
'06/05/2022 11:10:22.400,9148,20599,17,909.4659,2415.456,6.940799,10.17984,10.08148,75.78316,76.07507,75.78316,12.55246,75.78316,82,3082
'06/05/2022 11:10:22.600,9149,20799,17,886.4218,2424.517,6.914858,10.14179,10.20443,77.82404,78.10343,77.82404,12.18868,77.82404,83,3165
'06/05/2022 11:10:22.800,9150,20999,17,1004.069,2466.019,6.798486,9.971114,9.958534,79.81575,80.09766,79.81575,13.57402,79.81575,81,3246
'06/05/2022 11:10:23,9151,21199,17,870.4679,2479.466,6.761614,9.917035,9.958534,81.80746,82.08106,81.80746,11.70405,81.80746,81,3327
'06/05/2022 11:10:23.200,9152,21399,17,930.8863,2506.973,6.687426,9.808225,9.835586,83.77458,84.04271,83.77458,12.37908,83.77458,80,3407
'06/05/2022 11:10:23.400,9153,21599,17,989.6511,2506.393,6.688972,9.810493,9.712639,85.7171,86.00481,85.7171,13.16359,85.7171,79,3486
'06/05/2022 11:10:23.600,9154,21799,17,992.8631,2516.97,6.660863,9.769266,9.835586,87.68422,87.95866,87.68422,13.15082,87.68422,80,3566
'06/05/2022 11:10:23.800,9155,21999,17,1066.894,2517.018,6.660736,9.76908,9.712639,89.62674,89.91247,89.62674,14.13111,89.62674,79,3645
'06/05/2022 11:10:24,9156,22199,17,1065.226,2516.746,6.661457,9.770137,9.835586,91.59386,91.8665,91.59386,14.11055,91.59386,80,3725
'06/05/2022 11:10:24.200,9157,22399,17,1078.071,2562.667,6.542088,9.595063,9.589691,93.5118,93.78551,93.5118,14.0248,93.5118,78,3803
'06/05/2022 11:10:24.400,9158,22599,17,1148.848,2548.115,6.579451,9.649862,9.712639,95.45433,95.71549,95.45433,15.0309,95.45433,79,3882
'06/05/2022 11:10:24.600,9159,22799,17,1140.83,2608.552,6.42701,9.426282,9.343796,97.32309,97.60074,97.32309,14.58017,97.32309,76,3958
'06/05/2022 11:10:24.800,9160,22999,17,1151.499,2596.51,6.456819,9.470002,9.589691,99.24102,99.49474,99.24102,14.78479,99.24102,78,4036
'06/05/2022 11:10:25,9161,23199,17,1062.298,2622.206,6.393544,9.377198,9.343796,101.1098,101.3702,101.1098,13.50582,101.1098,76,4112
'06/05/2022 11:10:25.200,9162,23399,17,1207.017,2677.506,6.261497,9.183529,9.220848,102.954,103.2069,102.954,15.02881,102.954,75,4187
'06/05/2022 11:10:25.400,9163,23599,17,1131.512,2687.16,6.239001,9.150534,9.0979,104.7735,105.037,104.7735,14.03806,104.7735,74,4261
'06/05/2022 11:10:25.600,9164,23799,17,1213.807,2714.826,6.175421,9.057284,9.220848,106.6177,106.8485,106.6177,14.90559,106.6177,75,4336
'06/05/2022 11:10:25.800,9165,23999,17,1069.818,2745.077,6.107367,8.957472,8.852005,108.3881,108.64,108.3881,12.99262,108.3881,72,4408
'06/05/2022 11:10:26,9166,24199,17,1219.611,2768.764,6.055118,8.880839,8.974953,110.1831,110.4161,110.1831,14.68509,110.1831,73,4481
'06/05/2022 11:10:26.200,9167,24399,17,1247.153,2828.735,5.926746,8.69256,8.606148,111.9043,112.1546,111.9043,14.69836,111.9043,70,4551
'06/05/2022 11:10:26.400,9168,24599,17,1249.818,2791.471,6.005863,8.808598,8.852005,113.6747,113.9163,113.6747,14.92639,113.6747,72,4623
'06/05/2022 11:10:26.600,9169,24799,17,1186.642,2917.601,5.746226,8.427798,8.4832,115.3714,115.6019,115.3714,13.55924,115.3714,69,4692
'06/05/2022 11:10:26.800,9170,24999,17,1129.765,2885.298,5.810559,8.522153,8.606148,117.0926,117.3063,117.0926,13.05386,117.0926,70,4762
'06/05/2022 11:10:27,9171,25199,17,1237.779,2953.312,5.676744,8.325891,8.237305,118.7401,118.9715,118.7401,13.97253,118.7401,67,4829
'06/05/2022 11:10:27.200,9172,25399,17,1291.565,2906.869,5.767441,8.458913,8.4832,120.4367,120.6633,120.4367,14.81263,120.4367,69,4898
'06/05/2022 11:10:27.400,9173,25599,17,1387.861,3031.913,5.529576,8.110046,8.114357,122.0596,122.2853,122.0596,15.26057,122.0596,66,4964
'06/05/2022 11:10:27.600,9174,25799,17,1241.822,2948.407,5.686187,8.339741,8.360252,123.7316,123.9533,123.7316,14.04149,123.7316,68,5032
'06/05/2022 11:10:27.800,9175,25999,17,1284.52,3002.223,5.58426,8.190247,8.237305,125.3791,125.5913,125.3791,14.26394,125.3791,67,5099
'06/05/2022 11:10:28,9176,26199,17,1390.249,3073.061,5.455536,8.001453,7.99141,126.9774,127.1916,126.9774,15.08213,126.9774,65,5164
'06/05/2022 11:10:28.200,9177,26399,17,1366.043,3043.166,5.509128,8.080055,8.114357,128.6002,128.8076,128.6002,14.96512,128.6002,66,5230
'06/05/2022 11:10:28.400,9178,26599,17,1193.82,3107.43,5.395196,7.912954,7.8685,130.1739,130.3902,130.1739,12.80793,130.1739,64,5294
'06/05/2022 11:10:28.600,9179,26799,17,1231.21,3136.808,5.344666,7.838844,7.8685,131.7476,131.958,131.7476,13.08536,131.7476,64,5358
'06/05/2022 11:10:28.800,9180,26999,17,1211.862,3183.703,5.265942,7.723382,7.745514,133.2967,133.5026,133.2967,12.69002,133.2967,63,5421
'06/05/2022 11:10:29,9181,27199,17,1434.07,3325.871,5.040843,7.393236,7.499618,134.7967,134.9813,134.7967,14.37495,134.7967,61,5482
'06/05/2022 11:10:29.200,9182,27399,17,1293.516,3344.244,5.013149,7.352618,7.376709,136.272,136.4518,136.272,12.89482,136.272,60,5542
'06/05/2022 11:10:29.400,9183,27599,17,1428.862,3485.964,4.809342,7.053701,7.007828,137.6736,137.8625,137.6736,13.66497,137.6736,57,5599
'06/05/2022 11:10:29.600,9184,27799,17,1364.607,3509.046,4.777707,7.007303,7.007828,139.0751,139.264,139.0751,12.96462,139.0751,57,5656
'06/05/2022 11:10:29.800,9185,27999,17,1427.363,3559.003,4.710644,6.908945,7.007828,140.4767,140.6458,140.4767,13.37049,140.4767,57,5713
'06/05/2022 11:10:30,9186,28199,17,1426.96,3585.063,4.676401,6.858722,6.761932,141.8291,142.0175,141.8291,13.26956,141.8291,55,5768
'06/05/2022 11:10:30.200,9187,28399,17,1377.494,3624.233,4.62586,6.784595,6.884918,143.2061,143.3745,143.2061,12.67112,143.2061,56,5824
'06/05/2022 11:10:30.400,9188,28599,17,1517.231,3690.856,4.542359,6.662126,6.639023,144.5339,144.7069,144.5339,13.70459,144.5339,54,5878
'06/05/2022 11:10:30.600,9189,28799,17,1378.624,3739.622,4.483124,6.575249,6.639023,145.8617,146.0219,145.8617,12.29021,145.8617,54,5932
'06/05/2022 11:10:30.800,9190,28999,17,1471.775,3779.579,4.43573,6.505737,6.516037,147.1649,147.3231,147.1649,12.98193,147.1649,53,5985
'06/05/2022 11:10:31,9191,29199,17,1458.694,3843.92,4.361484,6.396842,6.393128,148.4435,148.6025,148.4435,12.65119,148.4435,52,6037
'06/05/2022 11:10:31.200,9192,29399,17,1397.988,3928.115,4.268,6.259733,6.270218,149.6976,149.8544,149.6976,11.86481,149.6976,51,6088
'06/05/2022 11:10:31.400,9193,29599,17,1278.503,3988.156,4.203745,6.165494,6.147232,150.927,151.0875,150.927,10.68737,150.927,50,6138
