CPU:202206051120_Univ of Kentucky.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 11:20:01,10175,0,18,39.36313,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:01.200,10176,200,18,38.61994,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:01.400,10177,400,18,32.18016,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:01.600,10178,600,18,36.61656,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:01.800,10179,800,18,31.65781,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:02,10180,1000,18,28.07132,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:02.200,10181,1200,18,27.60226,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:02.400,10182,1400,18,33.19199,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:02.600,10183,1600,18,31.47161,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:02.800,10184,1800,18,23.80914,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:03,10185,2000,18,28.68144,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:03.200,10186,2200,18,28.01234,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:03.400,10187,2400,18,28.14984,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:03.600,10188,2600,18,28.62209,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:03.800,10189,2800,18,29.81739,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:04,10190,3000,18,33.40351,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:04.200,10191,3200,18,30.75181,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:04.400,10192,3400,18,29.48265,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:04.600,10193,3600,18,24.94397,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:04.800,10194,3800,18,22.44369,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:05,10195,4000,18,24.53959,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:05.200,10196,4200,18,27.84234,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:20:05.400,10197,4400,18,27.67175,NAN,0,0,0,0,0,0,0,0,0,0
