CPU:202206051129_Penn State Univ.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 11:29:28,11248,0,19,39.07306,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:28.200,11249,200,19,21.97681,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:28.400,11250,400,19,34.73146,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:28.600,11251,600,19,32.28521,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:28.800,11252,800,19,25.57048,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:29,11253,1000,19,41.10154,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:29.200,11254,1200,19,25.95058,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:29.400,11255,1400,19,36.18424,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:29.600,11256,1600,19,24.34106,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:29.800,11257,1800,19,25.75402,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:30,11258,2000,19,29.87581,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:30.200,11259,2200,19,21.51951,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:30.400,11260,2400,19,32.66169,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:30.600,11261,2600,19,28.44983,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:30.800,11262,2800,19,23.26106,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:31,11263,3000,19,33.10625,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:31.200,11264,3200,19,21.83967,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:31.400,11265,3400,19,37.69495,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:31.600,11266,3600,19,23.56279,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:31.800,11267,3800,19,24.19674,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:32,11268,4000,19,31.30771,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:32.200,11269,4200,19,25.58706,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:32.400,11270,4400,19,34.00167,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:32.600,11271,4600,19,24.5417,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:32.800,11272,4800,19,14.1809,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:33,11273,5000,19,30.99762,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:33.200,11274,5200,19,30.2494,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:33.400,11275,5400,19,25.26335,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:33.600,11276,5600,19,29.2591,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:33.800,11277,5800,19,21.74472,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:34,11278,6000,19,28.89839,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:34.200,11279,6200,19,33.49205,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:34.400,11280,6400,19,21.25604,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:34.600,11281,6600,19,61.91158,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:34.800,11282,6800,19,45.85107,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:35,11283,7000,19,25.66262,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:35.200,11284,7200,19,19.92316,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 11:29:35.400,11285,7400,19,36.64427,NAN,0,0,0,0,0,0,0,0,0,0
