CPU:202206051227_North Carolina State.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 12:27:47.200,12306,0,6,23.31715,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:47.400,12307,200,6,34.11722,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:47.600,12308,400,6,22.14147,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:47.800,12309,600,6,32.17267,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:48,12310,800,6,25.07483,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:48.200,12311,1000,6,21.24538,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:48.400,12312,1200,6,33.56053,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:48.600,12313,1400,6,23.01083,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:48.800,12314,1600,6,28.58937,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:49,12315,1800,6,24.66038,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:49.200,12316,2001,6,29.38732,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:49.400,12317,2200,6,23.93851,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:49.600,12318,2400,6,22.93231,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:49.800,12319,2600,6,32.01495,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:50,12320,2800,6,19.91687,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:50.200,12321,3000,6,29.71169,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:50.400,12322,3200,6,28.81228,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:27:50.600,12323,3400,6,22.88769,NAN,0,0,0,0,0,0,0,0,0,0
