CPU:202206051240_Texas A&M Univ.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 12:40:06.600,13187,0,9,0.4568119,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:06.800,13188,200,9,0.6461983,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:07,13189,400,9,0.4548893,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:07.200,13190,600,9,0.3187885,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:07.400,13191,800,9,0.7972489,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:07.600,13192,1000,9,0.5942459,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:07.800,13193,1200,9,0.342102,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:08,13194,1400,9,0.6043854,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:08.200,13195,1600,9,0.6120072,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:08.400,13196,1800,9,0.387394,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:08.600,13197,2000,9,0.39435,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:08.800,13198,2200,9,0.763649,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:09,13199,2400,9,0.4867859,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:09.200,13200,2600,9,0.692749,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:09.400,13201,2800,9,0.7272358,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:09.600,13202,3000,9,0.3969402,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:09.800,13203,3200,9,0.7594299,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:10,13204,3400,9,0.6833515,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 12:40:10.200,13205,3600,9,0.6277695,NAN,0,0,0,0,0,0,0,0,0,0
