CPU:202206051305_Univ of Illinois.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 13:05:29.400,15157,0,16,110.1605,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:29.600,15158,200,16,105.9918,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:29.800,15159,400,16,126.4576,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:30,15160,601,16,134.5861,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:30.200,15161,800,16,83.95215,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:30.400,15162,1000,16,48.52929,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:30.600,15163,1200,16,74.26123,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:30.800,15164,1400,16,82.86181,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:31,15165,1600,16,72.9747,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:31.200,15166,1800,16,61.15888,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:31.400,15167,2000,16,78.99709,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:31.600,15168,2200,16,53.12838,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:31.800,15169,2400,16,44.62638,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:32,15170,2600,16,41.91861,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:32.200,15171,2800,16,46.13161,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:32.400,15172,3000,16,40.09471,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:05:32.600,15173,3200,16,34.09378,NAN,0,0,0,0,0,0,0,0,0,0
