CPU:202206051310_Universite Laval.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 13:10:22.800,15818,0,15,95.61154,638336.9,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.01593756,0.02458895,1,1
'06/05/2022 13:10:23,15819,200,15,93.26026,638336.9,0.02626386,0.03852033,0,0.02458895,0.03229302,0.02458895,0.004870662,0.02458895,0,1
'06/05/2022 13:10:23.200,15820,400,15,64.41078,638336.9,0.02626386,0.03852033,0,0.02458895,0.03999708,0.02458895,0.003363954,0.02458895,0,1
'06/05/2022 13:10:23.400,15821,600,15,38.06097,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:23.600,15822,800,15,64.80856,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:23.800,15823,1000,15,38.04298,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:24,15824,1200,15,56.63417,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:24.200,15825,1400,15,38.99205,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:24.400,15826,1600,15,54.63036,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:24.600,15827,1801,15,58.16427,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:24.800,15828,2000,15,48.83434,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:25,15829,2200,15,53.0315,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:25.200,15830,2400,15,47.3035,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:25.400,15831,2600,15,45.54472,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:25.600,15832,2800,15,60.09216,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:25.800,15833,3000,15,40.3466,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:26,15834,3200,15,57.47985,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:26.200,15835,3400,15,38.03825,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:26.400,15836,3600,15,57.81503,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:26.600,15837,3800,15,48.68751,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:26.800,15838,4000,15,39.60194,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:27,15839,4200,15,85.70878,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:27.200,15840,4400,15,59.98707,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:27.400,15841,4600,15,51.53812,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:27.600,15842,4800,15,55.59126,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:27.800,15843,5000,15,48.2832,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:28,15844,5200,15,26.17748,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:28.200,15845,5400,15,98.13806,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:28.400,15846,5601,15,50.92052,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:28.600,15847,5800,15,59.35838,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:28.800,15848,6000,15,85.36702,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:29,15849,6200,15,34.88451,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:29.200,15850,6400,15,60.69694,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:29.400,15851,6600,15,66.96684,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:29.600,15852,6800,15,51.91022,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:29.800,15853,7000,15,81.0737,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:30,15854,7200,15,75.99838,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:30.200,15855,7400,15,63.27313,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:30.400,15856,7600,15,52.49051,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:30.600,15857,7800,15,107.0118,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:30.800,15858,8000,15,56.76124,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:31,15859,8200,15,45.52407,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:31.200,15860,8400,15,79.73433,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:31.400,15861,8600,15,73.47658,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:31.600,15862,8800,15,66.57082,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:31.800,15863,9000,15,87.42478,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:32,15864,9200,15,108.502,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:32.200,15865,9400,15,83.28023,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:32.400,15866,9600,15,279.8629,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:32.600,15867,9800,15,46.15054,NAN,0,0,0,0.02458895,0.03999708,0.02458895,0,0.02458895,0,1
'06/05/2022 13:10:32.800,15868,10000,15,61.28094,1.011686e+07,0.001657153,0.002430491,0.1229448,0.0491779,0.04048318,0.0491779,0.0002019393,0.0491779,1,2
'06/05/2022 13:10:33,15869,10200,15,167.5256,1.011686e+07,0.001657153,0.002430491,0,0.0491779,0.04096928,0.0491779,0.0005520478,0.0491779,0,2
'06/05/2022 13:10:33.200,15870,10400,15,1267.152,240220.3,0.06979091,0.10236,0.1229448,0.07376685,0.06144128,0.07376685,0.1758573,0.07376685,1,3
