CPU:202206051314_Purdue.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 13:14:07.600,16149,0,11,0.3605385,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:07.800,16150,200,11,0.2561893,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:08,16151,400,11,0.213562,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:08.200,16152,600,11,0.1581307,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:08.400,16153,800,11,0.116169,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:08.600,16154,1000,11,0.08848954,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:08.800,16155,1201,11,0.2695847,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:09,16156,1400,11,0.05859184,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:09.200,16157,1600,11,0.2300644,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:09.400,16158,1801,11,0.4320297,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:09.600,16159,2000,11,0.3337498,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:09.800,16160,2200,11,0.1714516,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:10,16161,2400,11,0.3282719,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:10.200,16162,2600,11,0.2504177,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:10.400,16163,2800,11,0.1478443,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:10.600,16164,3000,11,-0.1045952,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:10.800,16165,3200,11,0.2508621,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:11,16166,3400,11,0.3421116,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:11.200,16167,3600,11,0.3022957,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:11.400,16168,3800,11,0.2445717,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:11.600,16169,4000,11,0.2493801,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:11.800,16170,4200,11,0.1747818,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:12,16171,4400,11,0.1693802,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:12.200,16172,4600,11,0.1535416,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:12.400,16173,4800,11,0.1896572,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:12.600,16174,5000,11,0.2430172,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:12.800,16175,5200,11,0.4406891,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:13,16176,5400,11,0.4125671,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:13.200,16177,5600,11,0.3323421,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:13.400,16178,5800,11,0.1558361,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:13.600,16179,6000,11,0.3533611,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:13.800,16180,6200,11,0.1169815,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:14,16181,6400,11,0.3735638,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:14.200,16182,6600,11,0.1213493,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:14.400,16183,6800,11,-0.1391563,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:14.600,16184,7000,11,0.288456,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:14.800,16185,7200,11,0.2608509,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:15,16186,7400,11,0.3368568,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:15.200,16187,7600,11,0.4142685,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:15.400,16188,7800,11,0.1814423,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:15.600,16189,8000,11,0.2638874,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:15.800,16190,8200,11,0.06761932,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:16,16191,8400,11,0.06998825,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:16.200,16192,8600,11,-0.01082802,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:16.400,16193,8800,11,0.3227959,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:16.600,16194,9000,11,0.2340603,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:16.800,16195,9200,11,0.223774,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:17,16196,9401,11,0.1806278,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:17.200,16197,9600,11,0.5350475,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:17.400,16198,9800,11,0.1058807,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:17.600,16199,10001,11,0.04719544,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:17.800,16200,10200,11,0.33745,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:18,16201,10400,11,0.204977,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:18.200,16202,10600,11,0.341299,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:18.400,16203,10800,11,0.2024612,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:18.600,16204,11000,11,0.246273,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:18.800,16205,11200,11,0.2261429,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:19,16206,11400,11,-0.1737919,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:19.200,16207,11600,11,0.1878815,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:19.400,16208,11801,11,0.2293987,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:19.600,16209,12000,11,0.2116375,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:19.800,16210,12200,11,0.1624222,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:20,16211,12401,11,0.3482552,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:20.200,16212,12600,11,0.02632523,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:20.400,16213,12800,11,0.3666077,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:20.600,16214,13000,11,0.485981,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:20.800,16215,13200,11,0.09196854,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:21,16216,13400,11,0.09892464,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:21.200,16217,13601,11,0.04704476,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:21.400,16218,13800,11,0.2563381,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:21.600,16219,14000,11,0.3461819,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:21.800,16220,14200,11,0.4468326,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:22,16221,14400,11,0.5375633,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:22.200,16222,14600,11,0.2301388,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:22.400,16223,14800,11,-0.08224297,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:22.600,16224,15000,11,0.2425728,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:22.800,16225,15200,11,0.274025,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:23,16226,15400,11,-0.01119804,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:23.200,16227,15601,11,0.1880302,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:23.400,16228,15800,11,0.02573204,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:23.600,16229,16000,11,0.3121376,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:23.800,16230,16200,11,0.14814,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:24,16231,16400,11,0.1180935,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:24.200,16232,16600,11,0.1012192,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:24.400,16233,16800,11,0.1758919,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:24.600,16234,17000,11,-0.009643554,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:24.800,16235,17200,11,0.1385918,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:25,16236,17400,11,0.3743057,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:25.200,16237,17600,11,0.1398506,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:25.400,16238,17800,11,0.05836868,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:25.600,16239,18000,11,0.1978722,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:25.800,16240,18200,11,-0.1800823,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:26,16241,18400,11,0.3421841,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:26.200,16242,18600,11,0.4162655,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:26.400,16243,18800,11,-0.007051468,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:26.600,16244,19000,11,0.02662086,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:14:26.800,16245,19200,11,0.2081585,NAN,0,0,0,0,0,0,0,0,0,0
