CPU:202206051359_Univ of Saskatchewan.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 13:59:35.200,16605,0,12,91.17749,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:59:35.400,16606,200,12,105.2164,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 13:59:35.600,16607,400,12,46.65623,7.201189e+07,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.00777716,0.02458895,1,1
'06/05/2022 13:59:35.800,16608,600,12,51.67401,7.201189e+07,0.0002328114,0.0003414568,0,0.02458895,0.02465724,0.02458895,2.392265e-05,0.02458895,0,1
'06/05/2022 13:59:36,16609,800,12,63.14489,7.201189e+07,0.0002328114,0.0003414568,0,0.02458895,0.02472553,0.02458895,2.923313e-05,0.02458895,0,1
'06/05/2022 13:59:36.200,16610,1000,12,62.80209,563928.1,0.02972931,0.04360298,0.1229448,0.0491779,0.03344613,0.0491779,0.003712716,0.0491779,1,2
'06/05/2022 13:59:36.400,16611,1200,12,45.21211,563928.1,0.02972931,0.04360298,0,0.0491779,0.04216673,0.0491779,0.002672837,0.0491779,0,2
'06/05/2022 13:59:36.600,16612,1400,12,44.20961,563928.1,0.02972931,0.04360298,0,0.0491779,0.05088733,0.0491779,0.002613571,0.0491779,0,2
'06/05/2022 13:59:36.800,16613,1600,12,68.79522,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:37,16614,1800,12,52.5305,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:37.200,16615,2000,12,47.85611,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:37.400,16616,2200,12,46.52271,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:37.600,16617,2400,12,67.97634,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:37.800,16618,2600,12,76.07861,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:38,16619,2800,12,66.5864,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:38.200,16620,3000,12,75.59682,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:38.400,16621,3200,12,36.43356,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:38.600,16622,3400,12,71.96401,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:38.800,16623,3600,12,71.11647,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:39,16624,3800,12,78.81001,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:39.200,16625,4000,12,52.47137,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:39.400,16626,4200,12,33.44505,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:39.600,16627,4400,12,74.79938,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:39.800,16628,4601,12,36.65698,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:40,16629,4800,12,55.1993,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:40.200,16630,5000,12,56.70357,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:40.400,16631,5201,12,59.21828,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:40.600,16632,5400,12,51.02504,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:40.800,16633,5600,12,60.11642,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:41,16634,5800,12,48.96208,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:41.200,16635,6000,12,48.84063,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
'06/05/2022 13:59:41.400,16636,6200,12,57.27342,NAN,0,0,0,0.0491779,0.05088733,0.0491779,0,0.0491779,0,2
