CPU:202206051405_Unknown.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 14:05:26.400,17280,0,100,8.465147,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:26.600,17281,201,100,5.133469,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:26.800,17282,401,100,7.262522,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:27,17283,600,9,6.000248,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:27.200,17284,800,9,5.178095,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:27.400,17285,1000,9,6.37406,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:27.600,17286,1200,9,5.867254,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:27.800,17287,1400,9,6.64811,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:28,17288,1601,9,4.565016,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:28.200,17289,1800,9,6.39493,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:28.400,17290,2000,9,5.055908,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:28.600,17291,2200,9,5.931494,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:28.800,17292,2400,9,6.837645,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:29,17293,2600,9,3.910639,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:29.200,17294,2800,9,7.089861,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:29.400,17295,3000,9,3.174486,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:29.600,17296,3200,9,5.940966,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:29.800,17297,3400,9,3.305109,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:30,17298,3600,9,4.760322,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:30.200,17299,3800,9,3.716963,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:30.400,17300,4000,9,7.68503,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:30.600,17301,4200,9,3.804956,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:30.800,17302,4400,9,7.185406,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:31,17303,4600,9,5.753652,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:31.200,17304,4800,9,6.851853,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:31.400,17305,5000,9,4.857939,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:31.600,17306,5200,9,4.91522,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:31.800,17307,5400,9,3.848104,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:32,17308,5600,9,5.605564,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:32.200,17309,5800,9,5.625841,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:32.400,17310,6000,9,6.091942,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:32.600,17311,6200,9,7.191326,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:32.800,17312,6400,9,6.643522,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:33,17313,6600,9,3.958004,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:33.200,17314,6800,9,6.455837,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:33.400,17315,7000,9,3.996044,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:33.600,17316,7200,9,6.032514,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:33.800,17317,7400,9,1088.98,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:05:34,17318,7600,9,1060.41,2895948,0.2514779,0.3688342,0.3688342,0.07376685,0.07376685,0.07376685,0.5302815,0.07376685,3,3
'06/05/2022 14:05:34.200,17319,7800,9,1491.627,18820.69,0.8907853,1.306485,1.106503,0.2950674,0.3350639,0.2950674,2.642203,0.2950674,9,12
'06/05/2022 14:05:34.400,17320,8000,9,1142.725,10670.45,1.57118,2.304397,2.213006,0.7376685,0.7959433,0.7376685,3.570264,0.7376685,18,30
'06/05/2022 14:05:34.600,17321,8200,9,932.0814,8200,2.044536,2.998652,2.950674,1.327803,1.395674,1.327803,3.789496,1.327803,24,54
'06/05/2022 14:05:34.800,17322,8400,9,1027.242,6843.594,2.449764,3.592988,3.565397,2.040883,2.114271,2.040883,5.004148,2.040883,29,83
'06/05/2022 14:05:35,17323,8600,9,979.3716,6374.261,2.630139,3.857538,3.688342,2.778551,2.885779,2.778551,5.12223,2.778551,30,113
'06/05/2022 14:05:35.200,17324,8800,9,1066.935,5316.708,3.153304,4.624846,4.548956,3.688342,3.810748,3.688342,6.690162,3.688342,37,150
'06/05/2022 14:05:35.400,17325,9000,9,987.8053,4720.374,3.551666,5.20911,5.163679,4.721078,4.85257,4.721078,6.976479,4.721078,42,192
'06/05/2022 14:05:35.600,17326,9200,9,1094.44,4332.62,3.869527,5.675307,5.532515,5.827582,5.987631,5.827582,8.421369,5.827582,45,237
'06/05/2022 14:05:35.800,17327,9400,9,1172.611,3909.345,4.288492,6.289788,6.270182,7.081618,7.245589,7.081618,9.999803,7.081618,51,288
'06/05/2022 14:05:36,17328,9600,9,1047.047,3639.902,4.605946,6.755388,6.639016,8.409421,8.596666,8.409421,9.589987,8.409421,54,342
'06/05/2022 14:05:36.200,17329,9800,9,159.7528,3371.241,4.973003,7.293738,7.253742,9.86017,10.05541,9.86017,1.579793,9.86017,59,401
