CPU:202206051407_TN Martin.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 14:07:31.200,17454,0,22,2.154736,4.34209e+07,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.0003591744,0.02458895,1,1
'06/05/2022 14:07:31.400,17455,200,22,3.898497,203876.6,0.08223208,0.1206071,0.1229448,0.0491779,0.04871036,0.0491779,0.0006374869,0.0491779,1,2
'06/05/2022 14:07:31.600,17456,400,22,29.4941,233415.6,0.0718255,0.1053441,0.1229448,0.07376685,0.06977918,0.07376685,0.004212565,0.07376685,1,3
'06/05/2022 14:07:31.800,17457,600,22,93.37482,233415.6,0.0718255,0.1053441,0,0.07376685,0.09084798,0.07376685,0.01333648,0.07376685,0,3
'06/05/2022 14:07:32,17458,800,22,22.08788,233415.6,0.0718255,0.1053441,0,0.07376685,0.1119168,0.07376685,0.003154755,0.07376685,0,3
'06/05/2022 14:07:32.200,17459,1000,22,123.5126,NAN,0,0,0,0.07376685,0.1119168,0.07376685,0,0.07376685,0,3
'06/05/2022 14:07:32.400,17460,1200,22,53.62901,769441.1,0.02178879,0.0319569,0.1229448,0.0983558,0.1183082,0.0983558,0.002323624,0.0983558,1,4
'06/05/2022 14:07:32.600,17461,1400,22,96.15965,769441.1,0.02178879,0.0319569,0,0.0983558,0.1246996,0.0983558,0.00416638,0.0983558,0,4
'06/05/2022 14:07:32.800,17462,1600,22,73.74533,536239.6,0.03126437,0.04585441,0.1229448,0.1229448,0.1338704,0.1229448,0.004584764,0.1229448,1,5
'06/05/2022 14:07:33,17463,1801,22,41.75512,536239.6,0.03126437,0.04585441,0,0.1229448,0.1430413,0.1229448,0.002595926,0.1229448,0,5
'06/05/2022 14:07:33.200,17464,2001,22,50.67072,536239.6,0.03126437,0.04585441,0,0.1229448,0.1522122,0.1229448,0.00315021,0.1229448,0,5
'06/05/2022 14:07:33.400,17465,2200,22,44.55622,NAN,0,0,0,0.1229448,0.1522122,0.1229448,0,0.1229448,0,5
