CPU:202206051415_CalPoly.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 14:15:18.800,18320,0,14,517.9079,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:15:19,18321,200,14,158.7982,3.225877e+07,0.08382597,0.1229448,0.1229448,0.02458895,0.02458895,0.02458895,0.02647019,0.02458895,1,1
'06/05/2022 14:15:19.200,18322,400,14,15.82788,80339.58,0.2086791,0.3060627,0.2458895,0.07376685,0.0858015,0.07376685,0.00656802,0.07376685,2,3
'06/05/2022 14:15:19.400,18323,600,14,19.52353,80339.58,0.2086791,0.3060627,0,0.07376685,0.1470141,0.07376685,0.008101591,0.07376685,0,3
'06/05/2022 14:15:19.600,18324,800,14,34.49954,351114.1,0.04774857,0.07003123,0.1229448,0.0983558,0.1610203,0.0983558,0.003275718,0.0983558,1,4
'06/05/2022 14:15:19.800,18325,1000,14,75.577,351114.1,0.04774857,0.07003123,0,0.0983558,0.1750265,0.0983558,0.007176007,0.0983558,0,4
'06/05/2022 14:15:20,18326,1200,14,54.90661,351114.1,0.04774857,0.07003123,0,0.0983558,0.1890328,0.0983558,0.005213361,0.0983558,0,4
'06/05/2022 14:15:20.200,18327,1400,14,41.61887,NAN,0,0,0,0.0983558,0.1890328,0.0983558,0,0.0983558,0,4
'06/05/2022 14:15:20.400,18328,1600,14,46.91006,772563.5,0.02170073,0.03182774,0.1229448,0.1229448,0.1953983,0.1229448,0.002024292,0.1229448,1,5
'06/05/2022 14:15:20.600,18329,1800,14,56.6068,772563.5,0.02170073,0.03182774,0,0.1229448,0.2017639,0.1229448,0.002442732,0.1229448,0,5
'06/05/2022 14:15:20.800,18330,2000,14,59.15821,772563.5,0.02170073,0.03182774,0,0.1229448,0.2081294,0.1229448,0.002552832,0.1229448,0,5
'06/05/2022 14:15:21,18331,2200,14,52.11482,NAN,0,0,0,0.1229448,0.2081294,0.1229448,0,0.1229448,0,5
'06/05/2022 14:15:21.200,18332,2400,14,55.95161,853129.1,0.01965141,0.02882207,0.1229448,0.1475337,0.2138938,0.1475337,0.002186448,0.1475337,1,6
'06/05/2022 14:15:21.400,18333,2600,14,50.50366,853129.1,0.01965141,0.02882207,0,0.1475337,0.2196583,0.1475337,0.001973556,0.1475337,0,6
'06/05/2022 14:15:21.600,18334,2800,14,55.73387,853129.1,0.01965141,0.02882207,0,0.1475337,0.2254227,0.1475337,0.00217794,0.1475337,0,6
'06/05/2022 14:15:21.800,18335,3000,14,52.59284,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:22,18336,3200,14,59.2867,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:22.200,18337,3400,14,57.35686,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:22.400,18338,3600,14,52.69681,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:22.600,18339,3800,14,54.5712,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:22.800,18340,4000,14,51.77601,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:23,18341,4200,14,51.57071,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:23.200,18342,4400,14,50.46266,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:23.400,18343,4600,14,48.42856,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:23.600,18344,4800,14,53.69806,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:23.800,18345,5000,14,48.67581,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:24,18346,5200,14,52.91144,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:24.200,18347,5400,14,47.18774,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:24.400,18348,5600,14,53.33742,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:24.600,18349,5801,14,57.20196,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:24.800,18350,6000,14,54.10688,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:25,18351,6200,14,52.0952,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:25.200,18352,6400,14,53.2888,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:25.400,18353,6600,14,50.86896,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:25.600,18354,6800,14,52.35644,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:25.800,18355,7000,14,47.69151,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:26,18356,7200,14,47.37209,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
'06/05/2022 14:15:26.200,18357,7400,14,51.69874,NAN,0,0,0,0.1475337,0.2254227,0.1475337,0,0.1475337,0,6
