CPU:202206051422_McGill University.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 14:22:00,18910,0,10,0.3231106,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:00.200,18911,200,10,0.7437935,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:00.400,18912,400,10,0.6197567,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:00.600,18913,600,10,0.733284,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:00.800,18914,800,10,0.5904503,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:01,18915,1000,10,0.3525143,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:01.200,18916,1200,10,0.4529438,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:01.400,18917,1400,10,0.8016682,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:01.600,18918,1600,10,0.257637,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:01.800,18919,1800,10,0.5540371,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:02,18920,2000,10,0.3639851,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:02.200,18921,2200,10,0.7117482,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:02.400,18922,2400,10,0.5449352,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:02.600,18923,2600,10,0.6409969,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:02.800,18924,2800,10,0.2783604,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:03,18925,3000,10,0.05404091,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:03.200,18926,3200,10,0.6378155,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:03.400,18927,3400,10,0.3062592,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:03.600,18928,3600,10,0.7379474,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:03.800,18929,3800,10,0.7190742,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:04,18930,4000,10,0.4942398,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:04.200,18931,4200,10,0.2702923,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:04.400,18932,4400,10,0.2473507,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:04.600,18933,4600,10,0.4209728,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:04.800,18934,4800,10,0.9747715,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:22:05,18935,5001,10,2.759247,NAN,0,0,0,0,0,0,0,0,0,0
