CPU:202206051430_South Dakota State.CSV
TimeStamp,RecordNumber,TestDuration_mSec,SchoolNumber,Load,PulsePeriod_uSec,SpeedMPH,SpeedC,SpeedCount,Dist,Dist_SpeedC,Dist_Speed,Power1,Distlast,PulseRaw,PulseTotal
'06/05/2022 14:30:38,20038,0,4,6.229366,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:38.200,20039,200,4,9.433899,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:38.400,20040,400,4,13.60371,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:38.600,20041,600,4,100.9916,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:38.800,20042,800,4,127.2052,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:39,20043,1000,4,134.4924,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:39.200,20044,1200,4,50.15157,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:39.400,20045,1400,4,43.01346,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:39.600,20046,1600,4,37.22636,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:39.800,20047,1801,4,32.10866,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:40,20048,2000,4,34.26739,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:40.200,20049,2200,4,31.29132,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:40.400,20050,2400,4,34.14594,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:40.600,20051,2600,4,34.74851,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:40.800,20052,2800,4,34.87358,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:41,20053,3000,4,30.30117,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:41.200,20054,3200,4,33.69952,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:41.400,20055,3400,4,34.50118,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:41.600,20056,3600,4,30.85038,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:41.800,20057,3800,4,40.20517,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:42,20058,4000,4,42.38735,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:42.200,20059,4200,4,37.21593,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:42.400,20060,4400,4,33.57912,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:42.600,20061,4600,4,34.64127,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:42.800,20062,4801,4,35.12084,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:43,20063,5000,4,34.76412,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:43.200,20064,5200,4,33.14758,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:43.400,20065,5401,4,35.58058,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:43.600,20066,5600,4,35.85959,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:43.800,20067,5800,4,35.0253,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:44,20068,6000,4,32.95879,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:44.200,20069,6200,4,31.05464,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:44.400,20070,6400,4,32.52244,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:44.600,20071,6600,4,35.93937,NAN,0,0,0,0,0,0,0,0,0,0
'06/05/2022 14:30:44.800,20072,6801,4,33.65031,NAN,0,0,0,0,0,0,0,0,0,0
