#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0002_Kentucky.dxd"
"Data info.Global start time,2023-06-04 10:40:38.38"
"Data info.Global start time (num),4.50814448842593E4"
"Data info.Global stop time,2023-06-04 10:42:03.03"
"Data info.Global stop time (num),4.50814458777778E4"
"Data info.IQS Team,kENTUCKY"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 10:40:38.38"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-03-25 20:09:36.36"
"Data info.Trigger stop time (num),85.84"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0002_Kentucky"
#DATA
1,0.00000,3.469144,-0.4180328,0
2,0.01000,3.548507,-0.4180328,0
3,0.02000,3.373907,-0.4180328,0
4,0.03000,3.437398,-0.4180328,0
5,0.04000,3.405653,-0.4180328,0
6,0.05000,3.310416,-0.4180328,0
7,0.06000,3.437398,-0.4180328,0
8,0.07000,3.421525,-0.4180328,0
9,0.08000,3.373907,-0.4180328,0
10,0.09000,3.310416,-0.4180328,0
11,0.10000,3.358034,-0.4180328,0
12,0.11000,3.405653,-0.4180328,0
13,0.12000,3.262798,-0.4180328,0
14,0.13000,3.342162,-0.4180328,0
15,0.14000,3.294544,-0.4180328,0
16,0.15000,3.326289,-0.4180328,0
17,0.16000,3.310416,-0.4180328,0
18,0.17000,3.262798,-0.4180328,0
19,0.18000,3.342162,-0.4180328,0
20,0.19000,3.262798,-0.4180328,0
21,0.20000,3.246925,-0.4180328,0
22,0.21000,3.278671,-0.4180328,0
23,0.22000,3.231053,-0.4180328,0
24,0.23000,3.246925,-0.4180328,0
25,0.24000,3.278671,-0.4180328,0
26,0.25000,3.246925,-0.4180328,0
27,0.26000,3.231053,-0.4180328,0
28,0.27000,3.294544,-0.4180328,0
29,0.28000,3.278671,-0.4180328,0
30,0.29000,3.310416,-0.4180328,0
31,0.30000,3.262798,-0.4180328,0
32,0.31000,3.294544,-0.4180328,0
33,0.32000,3.373907,-0.4180328,0
34,0.33000,3.278671,-0.4180328,0
