#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0008_NCSU.dxd"
"Data info.Global start time,2023-06-04 10:55:34.34"
"Data info.Global start time (num),4.50814552546296E4"
"Data info.Global stop time,2023-06-04 10:56:56.56"
"Data info.Global stop time (num),4.50814562107639E4"
"Data info.IQS Team,NCSU"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 10:55:34.34"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-03-22 14:38:24.24"
"Data info.Trigger stop time (num),82.61"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0008_NCSU"
#DATA
1,0.00000,2.119962,-0.4180328,0
2,0.01000,2.151707,-0.4180328,0
3,0.02000,2.119962,-0.4180328,0
4,0.03000,2.231071,-0.4180328,0
5,0.04000,2.072343,-0.4180328,0
6,0.05000,2.183453,-0.4180328,0
7,0.06000,1.99298,-0.4180328,0
8,0.07000,2.16758,-0.4180328,0
9,0.08000,2.135834,-0.4180328,0
10,0.09000,2.056471,-0.4180328,0
11,0.10000,2.088216,-0.4180328,0
12,0.11000,2.072343,-0.4180328,0
13,0.12000,2.056471,-0.4180328,0
14,0.13000,2.119962,-0.4180328,0
15,0.14000,2.024725,-0.4180328,0
16,0.15000,2.088216,-0.4180328,0
17,0.16000,2.183453,-0.4180328,0
18,0.17000,2.119962,-0.4180328,0
19,0.18000,2.151707,-0.4180328,0
20,0.19000,2.040598,-0.4180328,0
21,0.20000,2.119962,-0.4180328,0
22,0.21000,1.929489,-0.4180328,0
23,0.22000,2.040598,-0.4180328,0
24,0.23000,2.024725,-0.4180328,0
25,0.24000,2.088216,-0.4180328,0
26,0.25000,2.088216,-0.4180328,0
27,0.26000,1.913616,-0.4180328,0
28,0.27000,1.977107,-0.4180328,0
29,0.28000,1.977107,-0.4180328,0
30,0.29000,1.961234,-0.4180328,0
31,0.30000,1.834252,-0.4180328,0
32,0.31000,1.881871,-0.4180328,0
33,0.32000,1.865998,-0.4180328,0
34,0.33000,1.913616,-0.4180328,0
