#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0011_NDSU.dxd"
"Data info.Global start time,2023-06-04 11:04:07.07"
"Data info.Global start time (num),4.50814611921296E4"
"Data info.Global stop time,2023-06-04 11:04:48.48"
"Data info.Global stop time (num),4.50814616719907E4"
"Data info.IQS Team,NDSU"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 11:04:07.07"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-09 11:02:24.24"
"Data info.Trigger stop time (num),41.46"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0011_NDSU"
#DATA
1,0.00000,11.21504,-0.4180328,0
2,0.01000,12.26264,-0.4180328,0
3,0.02000,11.8182,-0.4180328,0
4,0.03000,11.9928,-0.4180328,0
5,0.04000,11.6436,-0.4180328,0
6,0.05000,11.78645,-0.4180328,0
7,0.06000,12.67533,-0.4180328,0
8,0.07000,11.51662,-0.4180328,0
9,0.08000,11.32614,-0.4180328,0
10,0.09000,12.23089,-0.4180328,0
11,0.10000,12.13565,-0.4180328,0
12,0.11000,12.61184,-0.4180328,0
13,0.12000,11.61185,-0.4180328,0
14,0.13000,12.02454,-0.4180328,0
15,0.14000,12.6912,-0.4180328,0
16,0.15000,11.34202,-0.4180328,0
17,0.16000,11.88169,-0.4180328,0
18,0.17000,11.72296,-0.4180328,0
19,0.18000,12.07216,-0.4180328,0
20,0.19000,11.91343,-0.4180328,0
21,0.20000,12.07216,-0.4180328,0
22,0.21000,12.58009,-0.4180328,0
23,0.22000,11.84994,-0.4180328,0
24,0.23000,11.40551,-0.4180328,0
25,0.24000,12.13565,-0.4180328,0
26,0.25000,11.97693,-0.4180328,0
27,0.26000,12.05629,-0.4180328,0
28,0.27000,11.84994,-0.4180328,0
29,0.28000,11.80233,-0.4180328,0
30,0.29000,13.08802,-0.4180328,0
31,0.30000,11.80233,-0.4180328,0
32,0.31000,11.42138,-0.4180328,0
33,0.32000,12.11978,-0.4180328,0
34,0.33000,12.10391,-0.4180328,0
