#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0014_Wisconsin-Mad.dxd"
"Data info.Global start time,2023-06-04 11:15:46.46"
"Data info.Global start time (num),4.50814692824074E4"
"Data info.Global stop time,2023-06-04 11:16:30.30"
"Data info.Global stop time (num),4.50814698011574E4"
"Data info.IQS Team,UMW"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 11:15:46.46"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-12 19:40:48.48"
"Data info.Trigger stop time (num),44.82"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0014_Wisconsin-Mad"
#DATA
1,0.00000,30.34167,-0.4180328,0
2,0.01000,39.29389,-0.4180328,0
3,0.02000,35.2146,-0.4180328,0
4,0.03000,40.24626,-0.4180328,0
5,0.04000,32.29402,-0.4180328,0
6,0.05000,33.65907,-0.4180328,0
7,0.06000,37.73837,-0.4180328,0
8,0.07000,36.4368,-0.4180328,0
9,0.08000,38.51613,-0.4180328,0
10,0.09000,30.97658,-0.4180328,0
11,0.10000,38.0082,-0.4180328,0
12,0.11000,34.75429,-0.4180328,0
13,0.12000,37.84948,-0.4180328,0
14,0.13000,37.10345,-0.4180328,0
15,0.14000,33.08765,-0.4180328,0
16,0.15000,36.53204,-0.4180328,0
17,0.16000,33.18289,-0.4180328,0
18,0.17000,41.83353,-0.4180328,0
19,0.18000,35.59555,-0.4180328,0
20,0.19000,32.88131,-0.4180328,0
21,0.20000,34.08764,-0.4180328,0
22,0.21000,37.29393,-0.4180328,0
23,0.22000,41.83353,-0.4180328,0
24,0.23000,29.61153,-0.4180328,0
25,0.24000,36.00824,-0.4180328,0
26,0.25000,35.34158,-0.4180328,0
27,0.26000,39.50024,-0.4180328,0
28,0.27000,35.64317,-0.4180328,0
29,0.28000,31.35753,-0.4180328,0
30,0.29000,38.24629,-0.4180328,0
31,0.30000,34.54795,-0.4180328,0
32,0.31000,39.30976,-0.4180328,0
33,0.32000,32.0718,-0.4180328,0
34,0.33000,37.53202,-0.4180328,0
