#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0015_UW-Platt.dxd"
"Data info.Global start time,2023-06-04 11:17:55.55"
"Data info.Global start time (num),4.5081470775463E4"
"Data info.Global stop time,2023-06-04 11:18:45.45"
"Data info.Global stop time (num),4.50814713655093E4"
"Data info.IQS Team,UW= platteville"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 11:17:55.55"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-18 23:31:12.12"
"Data info.Trigger stop time (num),50.98"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0015_UW-Platt"
#DATA
1,0.00000,21.32596,-0.4180328,0
2,0.01000,21.86564,-0.4180328,0
3,0.02000,25.57985,-0.4180328,0
4,0.03000,21.78627,-0.4180328,0
5,0.04000,22.94498,-0.4180328,0
6,0.05000,20.13551,-0.4180328,0
7,0.06000,29.67502,-0.4180328,0
8,0.07000,16.34193,-0.4180328,0
9,0.08000,25.51636,-0.4180328,0
10,0.09000,22.31007,-0.4180328,0
11,0.10000,26.34175,-0.4180328,0
12,0.11000,17.51651,-0.4180328,0
13,0.12000,24.99256,-0.4180328,0
14,0.13000,25.19891,-0.4180328,0
15,0.14000,19.86567,-0.4180328,0
16,0.15000,24.07195,-0.4180328,0
17,0.16000,21.51644,-0.4180328,0
18,0.17000,26.99253,-0.4180328,0
19,0.18000,16.05622,-0.4180328,0
20,0.19000,29.21471,-0.4180328,0
21,0.20000,18.61173,-0.4180328,0
22,0.21000,26.1354,-0.4180328,0
23,0.22000,19.88154,-0.4180328,0
24,0.23000,25.34176,-0.4180328,0
25,0.24000,20.83391,-0.4180328,0
26,0.25000,24.67511,-0.4180328,0
27,0.26000,22.59578,-0.4180328,0
28,0.27000,20.69105,-0.4180328,0
29,0.28000,26.21476,-0.4180328,0
30,0.29000,21.37358,-0.4180328,0
31,0.30000,23.48466,-0.4180328,0
32,0.31000,20.18313,-0.4180328,0
33,0.32000,29.24645,-0.4180328,0
34,0.33000,17.35778,-0.4180328,0
