#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-TEam Pull 1\IQS 2023 Comp_A-Team_Pull 1__0016_Mizzou.dxd"
"Data info.Global start time,2023-06-04 11:20:14.14"
"Data info.Global start time (num),4.50814723842593E4"
"Data info.Global stop time,2023-06-04 11:21:08.08"
"Data info.Global stop time (num),4.50814730206019E4"
"Data info.IQS Team,Mizzou"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1100lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 11:20:14.14"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-22 23:31:12.12"
"Data info.Trigger stop time (num),54.98"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 1__0016_Mizzou"
#DATA
1,0.00000,6.373853,-0.4180328,0
2,0.01000,6.072271,-0.4180328,0
3,0.02000,6.675435,-0.4180328,0
4,0.03000,6.040525,-0.4180328,0
5,0.04000,6.70718,-0.4180328,0
6,0.05000,6.167508,-0.4180328,0
7,0.06000,6.484962,-0.4180328,0
8,0.07000,6.373853,-0.4180328,0
9,0.08000,6.230999,-0.4180328,0
10,0.09000,6.675435,-0.4180328,0
11,0.10000,5.881798,-0.4180328,0
12,0.11000,6.834162,-0.4180328,0
13,0.12000,6.18338,-0.4180328,0
14,0.13000,6.373853,-0.4180328,0
15,0.14000,6.484962,-0.4180328,0
16,0.15000,6.326235,-0.4180328,0
17,0.16000,6.643689,-0.4180328,0
18,0.17000,6.151635,-0.4180328,0
19,0.18000,6.865908,-0.4180328,0
20,0.19000,6.088144,-0.4180328,0
21,0.20000,6.405598,-0.4180328,0
22,0.21000,6.611944,-0.4180328,0
23,0.22000,6.278616,-0.4180328,0
24,0.23000,6.754798,-0.4180328,0
25,0.24000,6.135762,-0.4180328,0
26,0.25000,6.70718,-0.4180328,0
27,0.26000,6.167508,-0.4180328,0
28,0.27000,6.230999,-0.4180328,0
29,0.28000,6.484962,-0.4180328,0
30,0.29000,5.913544,-0.4180328,0
31,0.30000,6.786544,-0.4180328,0
32,0.31000,6.167508,-0.4180328,0
33,0.32000,6.611944,-0.4180328,0
34,0.33000,6.262744,-0.4180328,0
