#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 2\IQS 2023 Comp_A-Team_Pull 2__0004_Purdue.dxd"
"Data info.Global start time,2023-06-04 12:12:58.58"
"Data info.Global start time (num),4.50815090046296E4"
"Data info.Global stop time,2023-06-04 12:13:46.46"
"Data info.Global stop time (num),4.50815095681713E4"
"Data info.IQS Team,Purdue"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 2, 1600lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 12:12:58.58"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-16 16:33:36.36"
"Data info.Trigger stop time (num),48.69"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 2__0004_Purdue"
#DATA
1,0.00000,18.04031,-0.4180328,0
2,0.01000,11.13567,-0.4180328,0
3,0.02000,18.02444,-0.4180328,0
4,0.03000,12.50073,-0.4180328,0
5,0.04000,16.32605,-0.4180328,0
6,0.05000,14.67529,-0.4180328,0
7,0.06000,14.00864,-0.4180328,0
8,0.07000,17.37365,-0.4180328,0
9,0.08000,11.84994,-0.4180328,0
10,0.09000,17.91333,-0.4180328,0
11,0.10000,12.19914,-0.4180328,0
12,0.11000,16.86573,-0.4180328,0
13,0.12000,14.51656,-0.4180328,0
14,0.13000,13.96102,-0.4180328,0
15,0.14000,17.07207,-0.4180328,0
16,0.15000,12.02454,-0.4180328,0
17,0.16000,18.16729,-0.4180328,0
18,0.17000,11.38964,-0.4180328,0
19,0.18000,17.77047,-0.4180328,0
20,0.19000,13.5642,-0.4180328,0
21,0.20000,15.00862,-0.4180328,0
22,0.21000,15.84987,-0.4180328,0
23,0.22000,13.35785,-0.4180328,0
24,0.23000,17.35778,-0.4180328,0
25,0.24000,12.02454,-0.4180328,0
26,0.25000,17.21493,-0.4180328,0
27,0.26000,14.10387,-0.4180328,0
28,0.27000,14.72291,-0.4180328,0
29,0.28000,16.29431,-0.4180328,0
30,0.29000,12.78644,-0.4180328,0
31,0.30000,18.37364,-0.4180328,0
32,0.31000,10.81822,-0.4180328,0
33,0.32000,18.48475,-0.4180328,0
34,0.33000,13.23087,-0.4180328,0
