#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 2\IQS 2023 Comp_A-Team_Pull 2__0008_UW-Madison.dxd"
"Data info.Global start time,2023-06-04 12:22:36.36"
"Data info.Global start time (num),4.50815156944444E4"
"Data info.Global stop time,2023-06-04 12:23:15.15"
"Data info.Global stop time (num),4.50815161548611E4"
"Data info.IQS Team,UW- Madison"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 2, 1600lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 12:22:36.36"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-07 18:43:12.12"
"Data info.Trigger stop time (num),39.78"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 2__0008_UW-Madison"
#DATA
1,0.00000,13.0404,-0.4180328,0
2,0.01000,22.1196,-0.4180328,0
3,0.02000,17.56413,-0.4180328,0
4,0.03000,17.88158,-0.4180328,0
5,0.04000,23.29418,-0.4180328,0
6,0.05000,11.53249,-0.4180328,0
7,0.06000,26.21476,-0.4180328,0
8,0.07000,12.56422,-0.4180328,0
9,0.08000,22.73864,-0.4180328,0
10,0.09000,17.96095,-0.4180328,0
11,0.10000,17.11969,-0.4180328,0
12,0.11000,22.34182,-0.4180328,0
13,0.12000,12.61184,-0.4180328,0
14,0.13000,26.81793,-0.4180328,0
15,0.14000,12.31025,-0.4180328,0
16,0.15000,21.86564,-0.4180328,0
17,0.16000,17.88158,-0.4180328,0
18,0.17000,17.59587,-0.4180328,0
19,0.18000,23.40529,-0.4180328,0
20,0.19000,11.54836,-0.4180328,0
21,0.20000,26.18302,-0.4180328,0
22,0.21000,12.73882,-0.4180328,0
23,0.22000,22.21484,-0.4180328,0
24,0.23000,18.91331,-0.4180328,0
25,0.24000,15.834,-0.4180328,0
26,0.25000,23.42116,-0.4180328,0
27,0.26000,11.88169,-0.4180328,0
28,0.27000,26.80206,-0.4180328,0
29,0.28000,12.81818,-0.4180328,0
30,0.29000,20.73867,-0.4180328,0
31,0.30000,19.62758,-0.4180328,0
32,0.31000,15.4848,-0.4180328,0
33,0.32000,24.3894,-0.4180328,0
34,0.33000,11.92931,-0.4180328,0
