#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 2\IQS 2023 Comp_A-Team_Pull 2__0013_Nebraska.dxd"
"Data info.Global start time,2023-06-04 12:34:57.57"
"Data info.Global start time (num),4.50815242708333E4"
"Data info.Global stop time,2023-06-04 12:35:42.42"
"Data info.Global stop time (num),4.5081524797338E4"
"Data info.IQS Team,Nebraska"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 2, 1600lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 12:34:57.57"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-13 11:45:36.36"
"Data info.Trigger stop time (num),45.49"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 2__0013_Nebraska"
#DATA
1,0.00000,11.04043,-0.4180328,0
2,0.01000,16.1832,-0.4180328,0
3,0.02000,12.73882,-0.4180328,0
4,0.03000,16.97684,-0.4180328,0
5,0.04000,11.97693,-0.4180328,0
6,0.05000,23.67513,-0.4180328,0
7,0.06000,27.07189,-0.4180328,0
8,0.07000,4.96118,-0.4180328,0
9,0.08000,5.13578,-0.4180328,0
10,0.09000,2.040598,-0.4180328,0
11,0.10000,67.43624,-0.4180328,0
12,0.11000,41.83353,-0.4180328,0
13,0.12000,48.15088,-0.4180328,0
14,0.13000,79.22968,-0.4180328,0
15,0.14000,89.62631,-0.4180328,0
16,0.15000,168.4662,-0.4180328,0
17,0.16000,264.9724,-0.4180328,0
18,0.17000,713.3928,-0.4180328,0
19,0.18000,1448.173,-0.4180328,0
20,0.19000,1003.515,-0.4180328,0
21,0.20000,521.0153,-0.4180328,0
22,0.21000,372.6371,-0.4180328,0
23,0.22000,184.6405,-0.4180328,0
24,0.23000,140.4667,-0.4180328,0
25,0.24000,129.8002,-0.4180328,0
26,0.25000,108.5149,-0.4180328,0
27,0.26000,113.4672,-0.4180328,0
28,0.27000,162.9901,-0.4180328,0
29,0.28000,200.3227,-0.4180328,0
30,0.29000,195.926,-0.4180328,0
31,0.30000,189.2594,-0.4180328,0
32,0.31000,188.9579,-0.4180328,0
33,0.32000,165.5297,-0.4180328,0
34,0.33000,152.9268,-0.4180328,0
