#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 2\IQS 2023 Comp_A-Team_Pull 2__0015_Caly Poly.dxd"
"Data info.Global start time,2023-06-04 12:38:55.55"
"Data info.Global start time (num),4.5081527025463E4"
"Data info.Global stop time,2023-06-04 12:39:18.18"
"Data info.Global stop time (num),4.50815273019676E4"
"Data info.IQS Team,Cal Poly"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 2, 1600lbs, High hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 12:38:55.55"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-01-22 21:21:36.36"
"Data info.Trigger stop time (num),23.89"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 2__0015_Caly Poly"
#DATA
1,0.00000,865.9932,-0.2493157,4.910861
2,0.01000,853.8506,-0.225307,4.910861
3,0.02000,878.5962,-0.2012983,4.910861
4,0.03000,914.6749,-0.1772896,4.910861
5,0.04000,916.405,-0.1066962,4.910861
6,0.05000,873.5963,-0.03649776,4.805652
7,0.06000,841.1683,0.03420495,4.78365
8,0.07000,851.2474,0.1064681,4.828196
9,0.08000,870.6281,0.1812368,4.953533
10,0.09000,880.5803,0.2568165,5.140214
11,0.10000,870.0725,0.3318503,5.156508
12,0.11000,871.3265,0.4054686,5.106979
13,0.12000,892.9769,0.475785,5.002036
14,0.13000,933.9603,0.5454729,4.751367
15,0.14000,949.1028,0.6147118,4.751462
16,0.15000,933.0555,0.684024,4.708422
17,0.16000,902.2941,0.7536476,4.725836
18,0.17000,893.9769,0.8241259,4.748532
19,0.18000,942.4204,0.896964,4.813387
20,0.19000,980.7531,0.973106,4.997344
21,0.20000,1016.927,1.049571,5.232852
22,0.21000,1013.832,1.125763,5.210422
23,0.22000,921.024,1.197609,5.193147
24,0.23000,813.2164,1.268985,4.876211
25,0.24000,798.677,1.338889,4.865448
26,0.25000,834.1684,1.408028,4.750551
27,0.26000,891.4531,1.477451,4.705164
28,0.27000,951.325,1.547277,4.743512
29,0.28000,939.4046,1.617877,4.76916
30,0.29000,869.3423,1.689191,4.814908
31,0.30000,845.1841,1.761229,4.865923
32,0.31000,907.4846,1.833972,4.917092
