#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 3\IQS 2023 Comp_A-Team_Pull 3__0001_Penn State.dxd"
"Data info.Global start time,2023-06-04 13:02:50.50"
"Data info.Global start time (num),4.50815436342593E4"
"Data info.Global stop time,2023-06-04 13:04:00.00"
"Data info.Global stop time (num),4.50815444524306E4"
"Data info.IQS Team,Penn State"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 3, 1600lbs, low hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 13:02:50.50"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-03-10 16:33:36.36"
"Data info.Trigger stop time (num),70.69"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 3__0001_Penn State"
#DATA
1,0.00000,-1.356166,-0.4180328,0
2,0.01000,-1.197439,-0.4180328,0
3,0.02000,-1.133948,-0.4180328,0
4,0.03000,-1.26093,-0.4180328,0
5,0.04000,-1.197439,-0.4180328,0
6,0.05000,-1.133948,-0.4180328,0
7,0.06000,-1.276802,-0.4180328,0
8,0.07000,-1.276802,-0.4180328,0
9,0.08000,-1.26093,-0.4180328,0
10,0.09000,-1.292675,-0.4180328,0
11,0.10000,-1.324421,-0.4180328,0
12,0.11000,-1.102202,-0.4180328,0
13,0.12000,-1.26093,-0.4180328,0
14,0.13000,-1.356166,-0.4180328,0
15,0.14000,-1.197439,-0.4180328,0
16,0.15000,-1.276802,-0.4180328,0
17,0.16000,-1.324421,-0.4180328,0
18,0.17000,-1.229184,-0.4180328,0
19,0.18000,-1.213311,-0.4180328,0
20,0.19000,-1.245057,-0.4180328,0
21,0.20000,-1.133948,-0.4180328,0
22,0.21000,-1.08633,-0.4180328,0
23,0.22000,-1.245057,-0.4180328,0
24,0.23000,-1.26093,-0.4180328,0
25,0.24000,-1.181566,-0.4180328,0
26,0.25000,-1.08633,-0.4180328,0
27,0.26000,-1.245057,-0.4180328,0
28,0.27000,-1.213311,-0.4180328,0
29,0.28000,-1.08633,-0.4180328,0
30,0.29000,-1.213311,-0.4180328,0
31,0.30000,-1.133948,-0.4180328,0
32,0.31000,-1.133948,-0.4180328,0
33,0.32000,-1.102202,-0.4180328,0
