#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\A-Team Pull 3\IQS 2023 Comp_A-Team_Pull 3__0002_Penn State Repull.dxd"
"Data info.Global start time,2023-06-04 13:06:59.59"
"Data info.Global start time (num),4.50815465162037E4"
"Data info.Global stop time,2023-06-04 13:07:44.44"
"Data info.Global stop time (num),4.50815470386574E4"
"Data info.IQS Team,Penn State- Repull"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 3, 1600lbs, low hook height, A-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-04 13:06:59.59"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-02-13 03:21:36.36"
"Data info.Trigger stop time (num),45.14"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_A-Team_Pull 3__0002_Penn State Repull"
#DATA
1,0.00000,17.77047,-0.4180328,0
2,0.01000,40.73831,-0.4180328,0
3,0.02000,38.59549,-0.4180328,0
4,0.03000,22.91324,-0.4180328,0
5,0.04000,37.11933,-0.4180328,0
6,0.05000,38.40502,-0.4180328,0
7,0.06000,21.45295,-0.4180328,0
8,0.07000,35.13524,-0.4180328,0
9,0.08000,40.56371,-0.4180328,0
10,0.09000,28.70678,-0.4180328,0
11,0.10000,34.27811,-0.4180328,0
12,0.11000,31.88133,-0.4180328,0
13,0.12000,27.75442,-0.4180328,0
14,0.13000,40.00816,-0.4180328,0
15,0.14000,26.92904,-0.4180328,0
16,0.15000,36.57965,-0.4180328,0
17,0.16000,40.88116,-0.4180328,0
18,0.17000,13.92927,-0.4180328,0
19,0.18000,43.02398,-0.4180328,0
20,0.19000,38.94469,-0.4180328,0
21,0.20000,17.97682,-0.4180328,0
22,0.21000,48.45246,-0.4180328,0
23,0.22000,27.91315,-0.4180328,0
24,0.23000,22.43705,-0.4180328,0
25,0.24000,43.40493,-0.4180328,0
26,0.25000,31.29404,-0.4180328,0
27,0.26000,32.51624,-0.4180328,0
28,0.27000,30.10358,-0.4180328,0
29,0.28000,35.51618,-0.4180328,0
30,0.29000,29.59566,-0.4180328,0
31,0.30000,30.81786,-0.4180328,0
32,0.31000,45.32553,-0.4180328,0
33,0.32000,22.97673,-0.4180328,0
34,0.33000,31.07182,-0.4180328,0
