#HEADER
#TITLES
 , ,Load Cell of Pull Sled,Sled Pull Distance,Pull Sled Speed
#UNITS
 , ,lbf,ft,mph
#DATATYPES
Huge,Double,Float,Float,Float
#TESTMETADATA
"Attributes.NumChans,3"
"Attributes.XTitle,Time"
"Attributes.XUnits,s"
"Data info.File name,C:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\ASABE Test folder\X-TEam Pulls\IQS 2023 Comp_X-Team Pull 1__0011_Penn State.dxd"
"Data info.Global start time,2023-06-03 19:45:44.44"
"Data info.Global start time (num),4.50808234259259E4"
"Data info.Global stop time,2023-06-03 19:46:45.45"
"Data info.Global stop time (num),4.50808241400463E4"
"Data info.IQS Team,Penn State"
"Data info.Number of channels,3"
"Data info.Pull and Weight,Pull 1, 1600lbs, Low hook height, more weight added, X-Team"
"Data info.Sample rate,100"
"Data info.Start time,2023-06-03 19:45:44.44"
"Data info.Store type,always fast"
"Data info.Trigger start time,1899-12-30 00:00:00.00"
"Data info.Trigger start time (num),0"
"Data info.Trigger stop time,1900-03-01 16:48:00.00"
"Data info.Trigger stop time (num),61.7"
"InputTestInfo.Extension,s3t"
"InputTestInfo.OriginalFileType,nCode S3 time series"
"InputTestInfo.OriginalNameForm,0"
"InputTestInfo.OriginalNumChans,3"
"InputTestInfo.Path,c:\Users\js24995\OneDrive - Vermeer Corporation\Desktop\Dewesoft Data\Exports"
"InputTestInfo.TestName,IQS 2023 Comp_X-Team Pull 1__0011_Penn State"
#DATA
1,0.00000,-1.213311,0,0
2,0.01000,-1.181566,0,0
3,0.02000,-1.070457,0,0
4,0.03000,-1.197439,0,0
5,0.04000,-1.181566,0,0
6,0.05000,-1.08633,0,0
7,0.06000,-1.102202,0,0
8,0.07000,-1.118075,0,0
9,0.08000,-1.149821,0,0
10,0.09000,-1.038711,0,0
11,0.10000,-1.213311,0,0
12,0.11000,-1.08633,0,0
13,0.12000,-1.197439,0,0
14,0.13000,-1.038711,0,0
15,0.14000,-1.054584,0,0
16,0.15000,-0.9910932,0,0
17,0.16000,-1.08633,0,0
18,0.17000,-1.181566,0,0
19,0.18000,-1.102202,0,0
20,0.19000,-1.006966,0,0
21,0.20000,-1.070457,0,0
22,0.21000,-1.133948,0,0
23,0.22000,-1.070457,0,0
24,0.23000,-0.9593478,0,0
25,0.24000,-0.9752205,0,0
26,0.25000,-0.8799841,0,0
27,0.26000,-1.006966,0,0
28,0.27000,-0.9117296,0,0
29,0.28000,-0.9910932,0,0
30,0.29000,-0.8958569,0,0
31,0.30000,-0.9752205,0,0
32,0.31000,-0.8006205,0,0
33,0.32000,-0.768875,0,0
34,0.33000,-0.7847477,0,0
35,0.34000,-0.6260204,0,0
36,0.35000,-0.7847477,0,0
37,0.36000,-0.8482386,0,0
38,0.37000,-0.6101477,0,0
39,0.38000,-0.6260204,0,0
40,0.39000,-0.8164932,0,0
41,0.40000,-0.5149114,0,0
