Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-1.74711084365845,0,0
0.00500000,-2.69899344444275,0,0
0.01000000,-1.76250898838043,0,0
0.01500000,-2.37003397941589,0,0
0.02000000,-1.90949082374573,0,0
0.02500000,-3.09374475479126,0,0
0.03000000,-1.48394334316254,0,0
0.03500000,-3.04055118560791,0,0
0.04000000,-0.933811247348785,0,0
0.04500000,-3.13853907585144,0,0
0.05000000,-1.38315582275391,0,0
0.05500000,-2.99155735969543,0,0
0.06000000,-1.71631467342377,0,0
0.06500000,-2.58840703964233,0,0
0.07000000,-2.6360011100769,0,0
0.07500000,-2.72279047966003,0,0
0.08000000,-1.262770652771,0,0
0.08500000,-3.10214376449585,0,0
0.09000000,-1.24457287788391,0,0
0.09500000,-2.97335958480835,0,0
0.10000000,-1.91369032859802,0,0
0.10500000,-3.10634303092957,0,0
0.11000000,-1.78070676326752,0,0
0.11500000,-2.9033682346344,0,0
0.12000000,-1.33556163311005,0,0
0.12500000,-2.93136477470398,0,0
0.13000000,-1.63232505321503,0,0
0.13500000,-2.96916007995605,0,0
0.14000000,-1.71911430358887,0,0
0.14500000,-2.496018409729,0,0
0.15000000,-3.26732325553894,0,0
0.15500000,-1.21097707748413,0,0
0.16000000,-3.058748960495,0,0
0.16500000,-1.46154606342316,0,0
0.17000000,-2.82917737960815,0,0
0.17500000,-1.84089934825897,0,0
0.18000000,-3.17493462562561,0,0
0.18500000,-1.85909700393677,0,0
0.19000000,-2.78298306465149,0,0
0.19500000,-1.56233370304108,0,0
0.20000000,-2.65279912948608,0,0
0.20500000,-1.71911430358887,0,0
0.21000000,-2.87817120552063,0,0
0.21500000,-1.90809094905853,0,0
0.22000000,-2.496018409729,0,0
0.22500000,-2.29724287986755,0,0
0.23000000,-2.67239665985107,0,0
0.23500000,-1.63652455806732,0,0
0.24000000,-2.7703845500946,0,0
0.24500000,-1.84089934825897,0,0
0.25000000,-2.55481123924255,0,0
0.25500000,-2.13206338882446,0,0
0.26000000,-2.79978108406067,0,0
0.26500000,-1.79750466346741,0,0
0.27000000,-2.46942162513733,0,0
0.27500000,-1.84929823875427,0,0
0.28000000,-2.43022656440735,0,0
0.28500000,-2.21745276451111,0,0
0.29000000,-2.44422483444214,0,0
0.29500000,-2.13066363334656,0,0
0.30000000,-2.31124114990234,0,0
0.30500000,-2.96636033058167,0,0
0.31000000,-1.49794161319733,0,0
0.31500000,-2.7745840549469,0,0
0.32000000,-1.50774037837982,0,0
0.32500000,-2.95516180992126,0,0
0.33000000,-1.74151158332825,0,0
0.33500000,-3.3233163356781,0,0
0.34000000,-1.60012900829315,0,0
0.34500000,-3.21692943572998,0,0
0.35000000,-1.21237683296204,0,0
0.35500000,-3.07274723052978,0,0
0.36000000,-1.63652455806732,0,0
0.36500000,-2.82357811927795,0,0
0.37000000,-1.84369897842407,0,0
0.37500000,-2.56600975990295,0,0
0.38000000,-3.10634303092957,0,0
0.38500000,-1.8073034286499,0,0
0.39000000,-2.5016176700592,0,0
0.39500000,-2.12086486816406,0,0
0.40000000,-2.16285967826843,0,0
0.40500000,-2.37703323364258,0,0
0.41000000,-2.87537169456482,0,0
0.41500000,-2.13486313819885,0,0
0.42000000,-2.98595809936523,0,0
0.42500000,-1.52593815326691,0,0
0.43000000,-2.58700728416443,0,0
0.43500000,-1.73031294345856,0,0
0.44000000,-3.09234476089478,0,0
0.44500000,-1.86749601364136,0,0
0.45000000,-2.71299171447754,0,0
0.45500000,-2.2314510345459,0,0
0.46000000,-2.81657886505127,0,0
0.46500000,-1.36215841770172,0,0
0.47000000,-3.01955389976501,0,0
0.47500000,-1.54833543300629,0,0
0.48000000,-3.09234476089478,0,0
0.48500000,-2.0760703086853,0,0
0.49000000,-2.7703845500946,0,0
0.49500000,-2.0928680896759,0,0
0.50000000,-2.58280777931213,0,0
0.50500000,-1.56653320789337,0,0
0.51000000,-3.00135612487793,0,0
0.51500000,-2.17125844955444,0,0
0.52000000,-2.8935694694519,0,0
0.52500000,-2.29724287986755,0,0
0.53000000,-2.51981544494629,0,0
0.53500000,-2.84177589416504,0,0
0.54000000,-1.69251763820648,0,0
0.54500000,-2.79278182983398,0,0
0.55000000,-1.81290280818939,0,0
0.55500000,-2.81377935409546,0,0
0.56000000,-1.97528266906738,0,0
0.56500000,-3.27712202072144,0,0
0.57000000,-1.3901549577713,0,0
0.57500000,-3.18053388595581,0,0
0.58000000,-1.38595545291901,0,0
0.58500000,-2.94956254959106,0,0
0.59000000,-1.7989045381546,0,0
0.59500000,-3.01395463943481,0,0
0.60000000,-1.805903673172,0,0
0.60500000,-2.753586769104,0,0
0.61000000,-2.59260654449463,0,0
0.61500000,-2.58280777931213,0,0
0.62000000,-2.17685794830322,0,0
0.62500000,-2.59260654449463,0,0
0.63000000,-2.0760703086853,0,0
0.63500000,-2.61220407485962,0,0
0.64000000,-2.33923768997192,0,0
0.64500000,-2.24124979972839,0,0
0.65000000,-2.32523941993713,0,0
0.65500000,-2.18945622444153,0,0
0.66000000,-2.3714337348938,0,0
0.66500000,-2.12786388397217,0,0
0.67000000,-2.78298306465149,0,0
0.67500000,-2.15866017341614,0,0
0.68000000,-2.55061173439026,0,0
0.68500000,-2.03267574310303,0,0
0.69000000,-3.05034995079041,0,0
0.69500000,-1.54413592815399,0,0
0.70000000,-3.1889328956604,0,0
0.70500000,-1.40975248813629,0,0
0.71000000,-3.05594944953918,0,0
0.71500000,-1.72891306877136,0,0
0.72000000,-3.24492597579956,0,0
0.72500000,-1.30476546287537,0,0
0.73000000,-3.22952795028687,0,0
0.73500000,-1.27256941795349,0,0
0.74000000,-2.98735785484314,0,0
0.74500000,-1.71631467342377,0,0
0.75000000,-3.09794425964355,0,0
0.75500000,-1.70231640338898,0,0
0.76000000,-2.70739245414734,0,0
0.76500000,-2.59680604934692,0,0
0.77000000,-2.0970675945282,0,0
0.77500000,-2.37983274459839,0,0
0.78000000,-2.12506413459778,0,0
0.78500000,-2.2146532535553,0,0
0.79000000,-2.3448371887207,0,0
0.79500000,-2.61640357971191,0,0
0.80000000,-1.88009440898895,0,0
0.80500000,-2.80118083953857,0,0
0.81000000,-1.72891306877136,0,0
0.81500000,-2.35883545875549,0,0
0.82000000,-2.00047969818115,0,0
0.82500000,-2.58280777931213,0,0
0.83000000,-1.99628007411957,0,0
0.83500000,-2.31964015960693,0,0
0.84000000,-2.54781198501587,0,0
0.84500000,-2.71859097480774,0,0
0.85000000,-1.48954260349274,0,0
0.85500000,-2.94816255569458,0,0
0.86000000,-1.48534321784973,0,0
0.86500000,-2.87817120552063,0,0
0.87000000,-2.03967475891113,0,0
0.87500000,-2.53241395950317,0,0
0.88000000,-1.98788118362427,0,0
0.88500000,-2.60100555419922,0,0
0.89000000,-1.58193123340607,0,0
0.89500000,-2.56041049957275,0,0
0.90000000,-1.93748736381531,0,0
0.90500000,-2.52401494979858,0,0
0.91000000,-2.00747871398926,0,0
0.91500000,-2.17405819892883,0,0
0.92000000,-3.16933536529541,0,0
0.92500000,-1.55393469333649,0,0
0.93000000,-2.86557292938232,0,0
0.93500000,-1.64492344856262,0,0
0.94000000,-2.67939591407776,0,0
0.94500000,-2.0858690738678,0,0
0.95000000,-2.78158330917358,0,0
0.95500000,-2.06627154350281,0,0
0.96000000,-2.43022656440735,0,0
0.96500000,-1.9472861289978,0,0
0.97000000,-2.3560357093811,0,0
0.97500000,-2.05227327346802,0,0
0.98000000,-2.62060308456421,0,0
0.98500000,-2.15026116371155,0,0
0.99000000,-2.0858690738678,0,0
0.99500000,-2.67099690437317,0,0
1.00000000,-2.32383966445923,0,0
1.00500000,-2.00747871398926,0,0
1.01000000,-2.50441741943359,0,0
1.01500000,-1.84789848327637,0,0
1.02000000,-2.44422483444214,0,0
1.02500000,-2.03827500343323,0,0
1.03000000,-2.54081296920776,0,0
1.03500000,-2.0704710483551,0,0
1.04000000,-2.23845028877258,0,0
1.04500000,-2.0802698135376,0,0
1.05000000,-2.25664806365967,0,0
1.05500000,-2.44422483444214,0,0
1.06000000,-2.25104880332947,0,0
1.06500000,-2.57580852508545,0,0
1.07000000,-1.78070676326752,0,0
1.07500000,-3.14273858070374,0,0
1.08000000,-1.69951677322388,0,0
1.08500000,-2.71719121932983,0,0
1.09000000,-1.70511603355408,0,0
1.09500000,-2.59400629997253,0,0
1.10000000,-1.82270157337189,0,0
1.10500000,-2.81377935409546,0,0
1.11000000,-1.87729477882385,0,0
1.11500000,-2.58840703964233,0,0
1.12000000,-1.85489761829376,0,0
1.12500000,-2.43582582473755,0,0
1.13000000,-2.14886140823364,0,0
1.13500000,-2.37983274459839,0,0
1.14000000,-2.15866017341614,0,0
1.14500000,-2.27904534339905,0,0
1.15000000,-2.26924633979797,0,0
1.15500000,-2.98175859451294,0,0
1.16000000,-1.60992777347565,0,0
1.16500000,-2.81657886505127,0,0
1.17000000,-1.6701203584671,0,0
1.17500000,-2.43162631988525,0,0
1.18000000,-2.19505548477173,0,0
1.18500000,-2.60660481452942,0,0
1.19000000,-2.06627154350281,0,0
1.19500000,-2.38123273849487,0,0
1.20000000,-1.82550120353699,0,0
1.20500000,-2.31964015960693,0,0
1.21000000,-2.37983274459839,0,0
1.21500000,-2.41202878952026,0,0
1.22000000,-2.40223002433777,0,0
1.22500000,-2.02567648887634,0,0
1.23000000,-3.50249433517456,0,0
1.23500000,-1.2529718875885,0,0
1.24000000,-3.17073512077332,0,0
1.24500000,-1.42935013771057,0,0
1.25000000,-2.52261519432068,0,0
1.25500000,-1.8087033033371,0,0
1.26000000,-3.31911683082581,0,0
1.26500000,-1.69951677322388,0,0
1.27000000,-2.60380506515503,0,0
1.27500000,-1.78490614891052,0,0
1.28000000,-2.60660481452942,0,0
1.28500000,-2.07886981964111,0,0
1.29000000,-2.5002179145813,0,0
1.29500000,-2.48062038421631,0,0
1.30000000,-1.72891306877136,0,0
1.30500000,-3.3331151008606,0,0
1.31000000,-1.88149428367615,0,0
1.31500000,-2.52401494979858,0,0
1.32000000,-1.98228180408478,0,0
1.32500000,-2.50861692428589,0,0
1.33000000,-2.17405819892883,0,0
1.33500000,-2.61080431938171,0,0
1.34000000,-2.47782063484192,0,0
1.34500000,-2.45962285995483,0,0
