Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.18404006958008,0,0
0.00500000,-7.1406455039978,0,0
0.01000000,-6.0543794631958,0,0
0.01500000,-5.90599775314331,0,0
0.02000000,-6.4743275642395,0,0
0.02500000,-6.41693449020386,0,0
0.03000000,-6.6185097694397,0,0
0.03500000,-7.26103067398071,0,0
0.04000000,-7.02165985107422,0,0
0.04500000,-6.23635673522949,0,0
0.05000000,-6.47992706298828,0,0
0.05500000,-6.36514091491699,0,0
0.06000000,-6.3679404258728,0,0
0.06500000,-6.57791471481323,0,0
0.07000000,-6.90687417984009,0,0
0.07500000,-6.99786281585693,0,0
0.08000000,-6.97126626968384,0,0
0.08500000,-6.27835178375244,0,0
0.09000000,-5.93539381027222,0,0
0.09500000,-6.7584924697876,0,0
0.10000000,-6.84668159484863,0,0
0.10500000,-6.39173793792725,0,0
0.11000000,-6.84108209609985,0,0
0.11500000,-6.72629642486572,0,0
0.12000000,-6.08657550811768,0,0
0.12500000,-6.33154535293579,0,0
0.13000000,-6.71509790420532,0,0
0.13500000,-6.77249050140381,0,0
0.14000000,-7.01746034622192,0,0
0.14500000,-6.98806428909302,0,0
0.15000000,-6.7360954284668,0,0
0.15500000,-6.58071422576904,0,0
0.16000000,-6.12437057495117,0,0
0.16500000,-5.73661851882935,0,0
0.17000000,-6.5919132232666,0,0
0.17500000,-7.45560646057129,0,0
0.18000000,-6.96986627578735,0,0
0.18500000,-6.7808895111084,0,0
0.19000000,-6.79488801956177,0,0
0.19500000,-6.12297105789185,0,0
0.20000000,-6.04598045349121,0,0
0.20500000,-6.60871076583862,0,0
0.21000000,-6.73329544067383,0,0
0.21500000,-6.89147615432739,0,0
0.22000000,-7.06645441055298,0,0
0.22500000,-7.02445983886719,0,0
0.23000000,-6.53731966018677,0,0
0.23500000,-6.52052164077759,0,0
0.24000000,-6.01378440856934,0,0
0.24500000,-6.24895524978638,0,0
0.25000000,-7.30442523956299,0,0
0.25500000,-6.94186973571777,0,0
0.26000000,-6.40293645858765,0,0
0.26500000,-6.75009346008301,0,0
0.27000000,-6.60871076583862,0,0
0.27500000,-6.15376710891724,0,0
0.28000000,-6.62270927429199,0,0
0.28500000,-6.85648059844971,0,0
0.29000000,-6.60871076583862,0,0
0.29500000,-6.42113399505615,0,0
0.30000000,-6.56391668319702,0,0
0.30500000,-6.48412609100342,0,0
0.31000000,-6.69689989089966,0,0
0.31500000,-6.6185097694397,0,0
0.32000000,-6.42953300476074,0,0
0.32500000,-6.98806428909302,0,0
0.33000000,-6.96566677093506,0,0
0.33500000,-5.93539381027222,0,0
0.34000000,-6.03198194503784,0,0
0.34500000,-6.72489643096924,0,0
0.35000000,-6.57791471481323,0,0
0.35500000,-6.80748653411865,0,0
0.36000000,-7.40801239013672,0,0
0.36500000,-7.12384748458862,0,0
0.37000000,-6.29934930801392,0,0
0.37500000,-5.9521918296814,0,0
0.38000000,-6.03058242797852,0,0
0.38500000,-6.65630531311035,0,0
0.39000000,-7.05665588378906,0,0
0.39500000,-6.65210580825806,0,0
0.40000000,-6.85508060455322,0,0
0.40500000,-7.21483612060547,0,0
0.41000000,-6.24475574493408,0,0
0.41500000,-5.68622493743897,0,0
0.42000000,-6.40293645858765,0,0
0.42500000,-6.53592014312744,0,0
0.43000000,-6.60451126098633,0,0
0.43500000,-7.24843215942383,0,0
0.44000000,-7.27502870559692,0,0
0.44500000,-6.51632213592529,0,0
0.45000000,-6.24895524978638,0,0
0.45500000,-6.13836908340454,0,0
0.46000000,-6.43373250961304,0,0
0.46500000,-6.90687417984009,0,0
0.47000000,-6.78648900985718,0,0
0.47500000,-6.38753843307495,0,0
0.48000000,-6.92367219924927,0,0
0.48500000,-6.65630531311035,0,0
0.49000000,-6.09637403488159,0,0
0.49500000,-6.45752954483032,0,0
0.50000000,-6.76689147949219,0,0
0.50500000,-6.54011964797974,0,0
0.51000000,-6.77948999404907,0,0
0.51500000,-6.67870235443115,0,0
0.52000000,-6.41553497314453,0,0
0.52500000,-6.35254240036011,0,0
0.53000000,-6.55131816864014,0,0
0.53500000,-7.0454568862915,0,0
0.54000000,-7.23023414611816,0,0
0.54500000,-6.90267467498779,0,0
0.55000000,-5.81500911712647,0,0
0.55500000,-5.98998737335205,0,0
0.56000000,-6.68850088119507,0,0
0.56500000,-6.3497428894043,0,0
0.57000000,-6.90267467498779,0,0
0.57500000,-7.45560646057129,0,0
0.58000000,-7.12384748458862,0,0
0.58500000,-6.46592855453491,0,0
0.59000000,-6.45752954483032,0,0
0.59500000,-6.25035524368286,0,0
0.60000000,-6.21255970001221,0,0
0.60500000,-6.60171175003052,0,0
0.61000000,-7.02165985107422,0,0
0.61500000,-7.20083808898926,0,0
0.62000000,-7.10844945907593,0,0
0.62500000,-6.09777402877808,0,0
0.63000000,-5.74501752853394,0,0
0.63500000,-6.54011964797974,0,0
0.64000000,-6.7472939491272,0,0
0.64500000,-6.43513250350952,0,0
0.65000000,-7.13644599914551,0,0
0.65500000,-7.15464353561401,0,0
0.66000000,-6.48832559585571,0,0
