Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-1.32716274261475,0,0
0.00500000,-1.72331380844116,0,0
0.01000000,-1.01780092716217,0,0
0.01500000,-1.62392604351044,0,0
0.02000000,-1.10598993301392,0,0
0.02500000,-1.70091652870178,0,0
0.03000000,0.0740643963217735,0,0
0.03500000,-1.14098560810089,0,0
0.04000000,-1.55393469333649,0,0
0.04500000,-1.29776632785797,0,0
0.05000000,-1.23477411270142,0,0
0.05500000,0.27283987402916,0,0
0.06000000,1.14213263988495,0,0
0.06500000,-1.68691825866699,0,0
0.07000000,0.590600669384003,0,0
0.07500000,-0.540459752082825,0,0
0.08000000,-0.415875136852264,0,0
0.08500000,-1.57633197307587,0,0
0.09000000,-0.222698986530304,0,0
0.09500000,1.47529149055481,0,0
0.10000000,1.19112658500671,0,0
0.10500000,0.785176634788513,0,0
0.11000000,1.46409285068512,0,0
0.11500000,2.38937878608704,0,0
0.12000000,3.61142778396606,0,0
0.12500000,2.10381388664246,0,0
0.13000000,0.719384789466858,0,0
0.13500000,3.28666806221008,0,0
0.14000000,0.485613614320755,0,0
0.14500000,3.47704458236694,0,0
0.15000000,2.96750736236572,0,0
0.15500000,2.42577409744263,0,0
0.16000000,0.804774224758148,0,0
0.16500000,3.29506683349609,0,0
0.17000000,4.16435956954956,0,0
0.17500000,3.44484853744507,0,0
0.18000000,4.98605823516846,0,0
0.18500000,2.72813677787781,0,0
0.19000000,4.71449184417725,0,0
0.19500000,4.41492891311646,0,0
0.20000000,4.03977489471436,0,0
0.20500000,4.2259521484375,0,0
0.21000000,4.41352891921997,0,0
0.21500000,13.289834022522,0,0
0.22000000,8.21825981140137,0,0
0.22500000,1.55648148059845,0,0
0.23000000,11.0151138305664,0,0
0.23500000,9.49910163879395,0,0
0.24000000,4.67809629440308,0,0
0.24500000,8.3064489364624,0,0
0.25000000,15.9551048278809,0,0
0.25500000,3.5442361831665,0,0
0.26000000,9.49350166320801,0,0
0.26500000,25.1071758270264,0,0
0.27000000,9.06095504760742,0,0
0.27500000,2.67214369773865,0,0
0.28000000,3.77940726280212,0,0
0.28500000,18.7211627960205,0,0
0.29000000,23.8137340545654,0,0
0.29500000,6.38728523254394,0,0
0.30000000,-3.20293116569519,0,0
0.30500000,-4.16321277618408,0,0
0.31000000,21.2618503570557,0,0
0.31500000,38.023380279541,0,0
0.32000000,-3.40310645103455,0,0
0.32500000,-2.26504707336426,0,0
0.33000000,19.1915054321289,0,0
0.33500000,41.9988899230957,0,0
0.34000000,62.4867630004883,0,0
0.34500000,43.5778961181641,0,0
0.35000000,25.5579204559326,0,0
0.35500000,52.4122047424316,0,0
0.36000000,54.0654029846191,0,0
0.36500000,50.8961944580078,0,0
0.37000000,45.68603515625,0,0
0.37500000,37.9169960021973,0,0
0.38000000,16.8887901306152,0,0
0.38500000,39.3266220092773,0,0
0.39000000,101.052001953125,0,0
0.39500000,182.081008911133,0,0
0.40000000,289.797698974609,0,0
0.40500000,400.470855712891,0,0
0.41000000,539.952453613281,0,0
0.41500000,661.071105957031,0,0
0.42000000,716.168273925781,0,0
0.42500000,594.759887695313,0,0
0.43000000,338.228942871094,0,0
0.43500000,112.971534729004,0,0
0.44000000,-0.961807787418365,0,0
0.44500000,0.888763844966888,0,0
0.45000000,21.6104068756104,0,0
0.45500000,122.526756286621,0,0
0.46000000,293.582855224609,0,0
0.46500000,420.135620117188,0,0
0.47000000,460.663421630859,0,0
0.47500000,372.450500488281,0,0
0.48000000,245.176818847656,0,0
0.48500000,178.202087402344,0,0
0.49000000,184.210144042969,0,0
0.49500000,233.526062011719,0,0
0.50000000,307.329162597656,0,0
0.50500000,381.816772460937,0,0
0.51000000,424.561889648438,0,0
0.51500000,440.889465332031,0,0
0.52000000,425.2421875,0,0
0.52500000,390.88623046875,0,0
0.53000000,348.395874023438,0,0
0.53500000,313.032043457031,0,0
0.54000000,294.202972412109,0,0
0.54500000,293.253875732422,0,0
0.55000000,303.511810302734,0,0
0.55500000,319.665832519531,0,0
0.56000000,321.496795654297,0,0
0.56500000,302.379364013672,0,0
0.57000000,276.535736083984,0,0
0.57500000,261.077453613281,0,0
0.58000000,252.990661621094,0,0
0.58500000,253.894943237305,0,0
0.59000000,266.767761230469,0,0
0.59500000,283.137329101562,0,0
0.60000000,299.742095947266,0,0
0.60500000,318.025238037109,0,0
0.61000000,327.625244140625,0,0
0.61500000,319.180084228516,0,0
0.62000000,308.73876953125,0,0
0.62500000,299.543304443359,0,0
0.63000000,295.384429931641,0,0
0.63500000,300.185821533203,0,0
0.64000000,305.355407714844,0,0
0.64500000,294.568328857422,0,0
0.65000000,275.057525634766,0,0
0.65500000,254.719436645508,0,0
0.66000000,238.146881103516,0,0
0.66500000,235.036468505859,0,0
0.67000000,244.702270507813,0,0
0.67500000,259.81201171875,0,0
0.68000000,280.371276855469,0,0
0.68500000,301.161499023438,0,0
0.69000000,306.534057617188,0,0
0.69500000,296.532287597656,0,0
0.70000000,279.711944580078,0,0
0.70500000,260.761108398438,0,0
0.71000000,246.047515869141,0,0
0.71500000,241.969818115234,0,0
0.72000000,235.75178527832,0,0
0.72500000,224.890518188477,0,0
0.73000000,215.310104370117,0,0
0.73500000,201.838165283203,0,0
0.74000000,187.144180297852,0,0
0.74500000,175.981964111328,0,0
0.75000000,168.37809753418,0,0
0.75500000,161.474151611328,0,0
0.76000000,161.252975463867,0,0
0.76500000,166.744491577148,0,0
0.77000000,172.730163574219,0,0
0.77500000,187.986877441406,0,0
0.78000000,208.120590209961,0,0
0.78500000,221.890686035156,0,0
0.79000000,228.775039672852,0,0
0.79500000,228.315902709961,0,0
0.80000000,218.157348632813,0,0
0.80500000,204.886993408203,0,0
0.81000000,193.728973388672,0,0
0.81500000,181.421691894531,0,0
0.82000000,171.314926147461,0,0
0.82500000,167.384216308594,0,0
0.83000000,167.158843994141,0,0
0.83500000,169.4013671875,0,0
0.84000000,178.477844238281,0,0
0.84500000,184.280136108398,0,0
0.85000000,184.02116394043,0,0
0.85500000,183.725799560547,0,0
0.86000000,175.981964111328,0,0
0.86500000,162.360244750977,0,0
0.87000000,150.362319946289,0,0
0.87500000,142.883041381836,0,0
0.88000000,139.359680175781,0,0
0.88500000,145.553909301758,0,0
0.89000000,156.177200317383,0,0
0.89500000,166.621307373047,0,0
0.90000000,175.890975952148,0,0
0.90500000,181.796844482422,0,0
0.91000000,181.285903930664,0,0
0.91500000,181.567260742187,0,0
0.92000000,181.584060668945,0,0
0.92500000,175.275039672852,0,0
0.93000000,170.3056640625,0,0
0.93500000,166.951675415039,0,0
0.94000000,162.7255859375,0,0
0.94500000,161.367767333984,0,0
0.95000000,161.352355957031,0,0
0.95500000,159.98193359375,0,0
0.96000000,160.411682128906,0,0
0.96500000,163.557083129883,0,0
0.97000000,162.736785888672,0,0
0.97500000,157.474838256836,0,0
0.98000000,149.991363525391,0,0
0.98500000,141.13606262207,0,0
0.99000000,134.698257446289,0,0
0.99500000,138.365798950195,0,0
1.00000000,141.256439208984,0,0
1.00500000,141.014266967773,0,0
1.01000000,145.241744995117,0,0
1.01500000,148.114196777344,0,0
1.02000000,149.992767333984,0,0
1.02500000,153.7373046875,0,0
1.03000000,156.290588378906,0,0
1.03500000,155.153930664062,0,0
1.04000000,157.633026123047,0,0
1.04500000,158.579299926758,0,0
1.05000000,154.028472900391,0,0
1.05500000,148.987686157227,0,0
1.06000000,143.230194091797,0,0
1.06500000,136.588012695312,0,0
1.07000000,137.513305664062,0,0
1.07500000,142.531692504883,0,0
1.08000000,141.754776000977,0,0
1.08500000,143.664138793945,0,0
1.09000000,146.585586547852,0,0
1.09500000,144.897399902344,0,0
1.10000000,143.081817626953,0,0
1.10500000,143.326782226562,0,0
1.11000000,140.182769775391,0,0
1.11500000,137.69807434082,0,0
1.12000000,138.899139404297,0,0
1.12500000,138.514175415039,0,0
1.13000000,139.246292114258,0,0
1.13500000,142.262924194336,0,0
