Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-2.82777762413025,0,0
0.00500000,-2.67659616470337,0,0
0.01000000,-2.68639492988586,0,0
0.01500000,-2.0970675945282,0,0
0.02000000,-2.28464460372925,0,0
0.02500000,-3.21412992477417,0,0
0.03000000,-2.95376205444336,0,0
0.03500000,-2.54641222953796,0,0
0.04000000,-2.48621964454651,0,0
0.04500000,-2.40223002433777,0,0
0.05000000,-2.64859962463379,0,0
0.05500000,-2.42742681503296,0,0
0.06000000,-2.80258059501648,0,0
0.06500000,-3.15393733978271,0,0
0.07000000,-2.35323596000671,0,0
0.07500000,-2.79978108406067,0,0
0.08000000,-2.58420753479004,0,0
0.08500000,-2.67099690437317,0,0
0.09000000,-2.29724287986755,0,0
0.09500000,-2.19085621833801,0,0
0.10000000,-3.13713932037354,0,0
0.10500000,-3.25472474098206,0,0
0.11000000,-2.75638628005981,0,0
0.11500000,-2.39383101463318,0,0
0.12000000,-2.50441741943359,0,0
0.12500000,-2.41202878952026,0,0
0.13000000,-2.6360011100769,0,0
0.13500000,-2.60240530967712,0,0
0.14000000,-3.29951930046082,0,0
0.14500000,-2.59260654449463,0,0
0.15000000,-2.48621964454651,0,0
0.15500000,-2.73678874969482,0,0
0.16000000,-2.70319294929504,0,0
0.16500000,-2.58000802993774,0,0
0.17000000,-1.99767994880676,0,0
0.17500000,-2.61080431938171,0,0
0.18000000,-3.49409532546997,0,0
0.18500000,-2.98455810546875,0,0
0.19000000,-2.30564188957214,0,0
0.19500000,-2.56041049957275,0,0
0.20000000,-2.32663941383362,0,0
0.20500000,-2.54641222953796,0,0
0.21000000,-2.69059443473816,0,0
0.21500000,-2.85297441482544,0,0
0.22000000,-3.23512721061707,0,0
0.22500000,-2.39523100852966,0,0
0.23000000,-2.60100555419922,0,0
0.23500000,-2.72279047966003,0,0
0.24000000,-2.73678874969482,0,0
0.24500000,-2.40782928466797,0,0
0.25000000,-2.01867747306824,0,0
0.25500000,-3.12454080581665,0,0
0.26000000,-3.4563000202179,0,0
0.26500000,-2.21325325965881,0,0
0.27000000,-2.46242260932922,0,0
0.27500000,-2.55201148986816,0,0
0.28000000,-2.56880950927734,0,0
0.28500000,-2.86557292938232,0,0
0.29000000,-2.46522235870361,0,0
0.29500000,-3.19733190536499,0,0
0.30000000,-2.38123273849487,0,0
0.30500000,-2.33923768997192,0,0
0.31000000,-2.80957984924316,0,0
0.31500000,-2.67239665985107,0,0
0.32000000,-2.81517910957336,0,0
0.32500000,-2.20905375480652,0,0
0.33000000,-2.61080431938171,0,0
0.33500000,-3.50389409065247,0,0
0.34000000,-2.67099690437317,0,0
0.34500000,-2.40922927856445,0,0
0.35000000,-2.55761075019836,0,0
0.35500000,-2.30284237861633,0,0
0.36000000,-2.94816255569458,0,0
0.36500000,-2.43582582473755,0,0
0.37000000,-2.77738380432129,0,0
0.37500000,-2.92996501922607,0,0
0.38000000,-2.10826635360718,0,0
0.38500000,-2.81377935409546,0,0
0.39000000,-2.72139072418213,0,0
0.39500000,-2.753586769104,0,0
0.40000000,-2.27064633369446,0,0
0.40500000,-2.15866017341614,0,0
0.41000000,-3.31491732597351,0,0
0.41500000,-3.09374475479126,0,0
0.42000000,-2.28044509887695,0,0
0.42500000,-2.78718256950378,0,0
0.43000000,-2.30984139442444,0,0
0.43500000,-2.63880085945129,0,0
0.44000000,-2.7591860294342,0,0
0.44500000,-2.48761940002441,0,0
0.45000000,-3.1931324005127,0,0
0.45500000,-2.19225597381592,0,0
0.46000000,-2.58280777931213,0,0
0.46500000,-2.77878355979919,0,0
0.47000000,-2.85997343063354,0,0
0.47500000,-2.77738380432129,0,0
0.48000000,-2.10266709327698,0,0
0.48500000,-2.73678874969482,0,0
0.49000000,-3.34151411056519,0,0
0.49500000,-2.65419888496399,0,0
0.50000000,-2.59400629997253,0,0
0.50500000,-2.58840703964233,0,0
0.51000000,-2.56880950927734,0,0
0.51500000,-2.75498652458191,0,0
0.52000000,-2.46382236480713,0,0
0.52500000,-2.80118083953857,0,0
0.53000000,-2.51141667366028,0,0
0.53500000,-2.61220407485962,0,0
0.54000000,-2.76058578491211,0,0
0.54500000,-2.72139072418213,0,0
0.55000000,-2.97755908966064,0,0
0.55500000,-2.13906240463257,0,0
0.56000000,-2.5016176700592,0,0
0.56500000,-2.94956254959106,0,0
0.57000000,-2.86277318000793,0,0
0.57500000,-2.68919467926025,0,0
0.58000000,-2.60380506515503,0,0
0.58500000,-2.57580852508545,0,0
0.59000000,-2.75638628005981,0,0
0.59500000,-2.56041049957275,0,0
0.60000000,-2.71019196510315,0,0
0.60500000,-2.84177589416504,0,0
0.61000000,-2.50861692428589,0,0
0.61500000,-2.68219542503357,0,0
0.62000000,-2.71719121932983,0,0
0.62500000,-2.95376205444336,0,0
0.63000000,-2.28324460983276,0,0
0.63500000,-2.09986734390259,0,0
0.64000000,-2.81517910957336,0,0
0.64500000,-3.41990447044373,0,0
0.65000000,-2.61780333518982,0,0
0.65500000,-2.4904191493988,0,0
0.66000000,-2.61080431938171,0,0
0.66500000,-2.3616349697113,0,0
0.67000000,-2.67519640922546,0,0
0.67500000,-2.40362977981567,0,0
0.68000000,-3.09794425964355,0,0
0.68500000,-2.86697268486023,0,0
0.69000000,-2.61780333518982,0,0
0.69500000,-2.77878355979919,0,0
0.70000000,-2.77738380432129,0,0
0.70500000,-2.57160902023315,0,0
0.71000000,-2.19645547866821,0,0
0.71500000,-2.35743546485901,0,0
0.72000000,-3.26732325553894,0,0
0.72500000,-3.17913413047791,0,0
0.73000000,-2.41622829437256,0,0
0.73500000,-2.67519640922546,0,0
0.74000000,-2.39943027496338,0,0
0.74500000,-2.66259789466858,0,0
0.75000000,-2.54221272468567,0,0
0.75500000,-2.57860827445984,0,0
0.76000000,-3.1623363494873,0,0
0.76500000,-2.45962285995483,0,0
0.77000000,-2.83757638931274,0,0
0.77500000,-2.86277318000793,0,0
0.78000000,-2.61500382423401,0,0
0.78500000,-2.41902804374695,0,0
0.79000000,-1.92768859863281,0,0
0.79500000,-3.04195117950439,0,0
0.80000000,-3.26032423973084,0,0
0.80500000,-2.68919467926025,0,0
0.81000000,-2.61080431938171,0,0
0.81500000,-2.52961421012878,0,0
0.82000000,-2.5016176700592,0,0
0.82500000,-2.66819715499878,0,0
0.83000000,-2.38963150978088,0,0
0.83500000,-3.14413857460022,0,0
0.84000000,-2.64440011978149,0,0
0.84500000,-2.56041049957275,0,0
0.85000000,-2.82917737960815,0,0
0.85500000,-2.69899344444275,0,0
0.86000000,-2.83757638931274,0,0
0.86500000,-2.03827500343323,0,0
0.87000000,-2.47222137451172,0,0
0.87500000,-3.30511856079102,0,0
0.88000000,-3.07834649085999,0,0
0.88500000,-2.59820580482483,0,0
0.89000000,-2.62620234489441,0,0
0.89500000,-2.44842433929443,0,0
0.90000000,-2.56181025505066,0,0
0.90500000,-2.52541494369507,0,0
0.91000000,-2.85717391967773,0,0
0.91500000,-2.96216082572937,0,0
0.92000000,-2.49741816520691,0,0
0.92500000,-2.73258924484253,0,0
0.93000000,-2.58280777931213,0,0
0.93500000,-2.7633855342865,0,0
0.94000000,-2.33503842353821,0,0
0.94500000,-2.29164361953735,0,0
0.95000000,-3.08394598960876,0,0
0.95500000,-3.30511856079102,0,0
0.96000000,-2.6304018497467,0,0
0.96500000,-2.37983274459839,0,0
0.97000000,-2.63320159912109,0,0
0.97500000,-2.39383101463318,0,0
0.98000000,-2.58980679512024,0,0
0.98500000,-2.7647852897644,0,0
0.99000000,-3.10774302482605,0,0
0.99500000,-2.7591860294342,0,0
1.00000000,-2.54081296920776,0,0
1.00500000,-2.71439146995544,0,0
1.01000000,-2.83197689056396,0,0
1.01500000,-2.83337688446045,0,0
1.02000000,-2.12086486816406,0,0
1.02500000,-2.46382236480713,0,0
1.03000000,-3.17073512077332,0,0
1.03500000,-3.23512721061707,0,0
1.04000000,-2.49181890487671,0,0
1.04500000,-2.44842433929443,0,0
1.05000000,-2.44142508506775,0,0
1.05500000,-2.70739245414734,0,0
1.06000000,-2.65699863433838,0,0
1.06500000,-2.78158330917358,0,0
1.07000000,-2.93836379051209,0,0
1.07500000,-2.60380506515503,0,0
1.08000000,-2.64440011978149,0,0
1.08500000,-2.73678874969482,0,0
1.09000000,-2.77878355979919,0,0
1.09500000,-2.43442606925964,0,0
1.10000000,-2.2370502948761,0,0
1.10500000,-2.87397170066834,0,0
1.11000000,-3.14833784103394,0,0
1.11500000,-2.75638628005981,0,0
1.12000000,-2.27064633369446,0,0
1.12500000,-2.75078701972961,0,0
1.13000000,-2.56880950927734,0,0
1.13500000,-2.52541494369507,0,0
1.14000000,-2.80538034439087,0,0
1.14500000,-3.08674550056458,0,0
1.15000000,-2.65419888496399,0,0
1.15500000,-2.35183620452881,0,0
1.16000000,-2.69059443473816,0,0
1.16500000,-2.77318429946899,0,0
1.17000000,-2.85577416419983,0,0
1.17500000,-2.28044509887695,0,0
1.18000000,-2.39383101463318,0,0
1.18500000,-3.20433115959167,0,0
1.19000000,-3.19733190536499,0,0
1.19500000,-2.42322754859924,0,0
1.20000000,-2.51001667976379,0,0
1.20500000,-2.50861692428589,0,0
1.21000000,-2.33783793449402,0,0
1.21500000,-2.79138207435608,0,0
1.22000000,-2.87117218971252,0,0
1.22500000,-2.93836379051209,0,0
1.23000000,-2.42322754859924,0,0
1.23500000,-2.59260654449463,0,0
1.24000000,-2.99015736579895,0,0
1.24500000,-2.82077836990356,0,0
1.25000000,-2.4946186542511,0,0
1.25500000,-2.25104880332947,0,0
1.26000000,-2.72279047966003,0,0
1.26500000,-3.66907358169556,0,0
1.27000000,-2.78578281402588,0,0
1.27500000,-2.33783793449402,0,0
1.28000000,-2.61080431938171,0,0
1.28500000,-2.22445201873779,0,0
1.29000000,-2.69479393959045,0,0
1.29500000,-2.44422483444214,0,0
1.30000000,-2.84877490997314,0,0
1.30500000,-2.83477663993835,0,0
1.31000000,-2.30984139442444,0,0
1.31500000,-2.96356081962585,0,0
1.32000000,-2.79558157920837,0,0
1.32500000,-2.69899344444275,0,0
1.33000000,-2.19925498962402,0,0
1.33500000,-2.15026116371155,0,0
1.34000000,-3.22672820091248,0,0
1.34500000,-3.18473339080811,0,0
1.35000000,-2.61780333518982,0,0
1.35500000,-2.84177589416504,0,0
