Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-1.18438029289246,0,0
0.00500000,-1.16478276252747,0,0
0.01000000,-2.00607895851135,0,0
0.01500000,-1.30476546287537,0,0
0.02000000,-1.08219289779663,0,0
0.02500000,-1.47554433345795,0,0
0.03000000,-1.60712814331055,0,0
0.03500000,-1.13258671760559,0,0
0.04000000,-1.07659363746643,0,0
0.04500000,-1.83949947357178,0,0
0.05000000,-1.63232505321503,0,0
0.05500000,-1.23337423801422,0,0
0.06000000,-0.998203277587891,0,0
0.06500000,-1.45034754276276,0,0
0.07000000,-1.52453827857971,0,0
0.07500000,-1.04439759254456,0,0
0.08000000,-1.31176459789276,0,0
0.08500000,-1.52873778343201,0,0
0.09000000,-1.95568513870239,0,0
0.09500000,-0.660844922065735,0,0
0.10000000,-1.25157201290131,0,0
0.10500000,-1.52873778343201,0,0
0.11000000,-1.5357369184494,0,0
0.11500000,-0.79382848739624,0,0
0.12000000,-1.50774037837982,0,0
0.12500000,-1.96968340873718,0,0
0.13000000,-1.14518511295319,0,0
0.13500000,-1.05839586257935,0,0
0.14000000,-1.1283872127533,0,0
0.14500000,-1.76110911369324,0,0
0.15000000,-1.04159796237946,0,0
0.15500000,-1.31176459789276,0,0
0.16000000,-1.24037337303162,0,0
0.16500000,-1.82130169868469,0,0
0.17000000,-1.28096842765808,0,0
0.17500000,-0.80502712726593,0,0
0.18000000,-1.49234235286713,0,0
0.18500000,-1.75271022319794,0,0
0.19000000,-1.35935866832733,0,0
0.19500000,-1.04159796237946,0,0
0.20000000,-1.89129304885864,0,0
0.20500000,-1.48954260349274,0,0
0.21000000,-1.09619116783142,0,0
0.21500000,-1.18018078804016,0,0
0.22000000,-1.55253493785858,0,0
0.22500000,-1.76530861854553,0,0
0.23000000,-1.07659363746643,0,0
0.23500000,-1.35375940799713,0,0
0.24000000,-1.24737250804901,0,0
0.24500000,-1.86609613895416,0,0
0.25000000,-0.842822432518005,0,0
0.25500000,-1.27956855297089,0,0
0.26000000,-1.59172999858856,0,0
0.26500000,-1.90529131889343,0,0
0.27000000,-0.73643559217453,0,0
0.27500000,-1.42935013771057,0,0
0.28000000,-1.70511603355408,0,0
0.28500000,-1.32716274261475,0,0
0.29000000,-1.21237683296204,0,0
0.29500000,-1.36355817317963,0,0
0.30000000,-1.84369897842407,0,0
0.30500000,-1.17878103256226,0,0
0.31000000,-1.28096842765808,0,0
0.31500000,-1.01360142230988,0,0
0.32000000,-2.04247450828552,0,0
0.32500000,-1.21517646312714,0,0
0.33000000,-1.45594680309296,0,0
0.33500000,-1.48254346847534,0,0
0.34000000,-1.9416868686676,0,0
0.34500000,-1.21657633781433,0,0
0.35000000,-0.975806057453155,0,0
0.35500000,-1.65472221374512,0,0
0.36000000,-1.46574556827545,0,0
0.36500000,-1.42515063285828,0,0
0.37000000,-1.07379400730133,0,0
0.37500000,-1.83669984340668,0,0
0.38000000,-1.52033889293671,0,0
0.38500000,-1.02480006217957,0,0
0.39000000,-1.28656768798828,0,0
0.39500000,-1.2613707780838,0,0
0.40000000,-1.99628007411957,0,0
0.40500000,-0.877818167209625,0,0
0.41000000,-1.50214111804962,0,0
0.41500000,-1.50634062290192,0,0
0.42000000,-1.78350639343262,0,0
0.42500000,-0.414475321769714,0,0
0.43000000,-1.48394334316254,0,0
0.43500000,-1.74571108818054,0,0
0.44000000,-1.31596410274506,0,0
0.44500000,-1.43914890289307,0,0
0.45000000,-1.3999537229538,0,0
0.45500000,-1.63232505321503,0,0
0.46000000,-0.974406242370605,0,0
0.46500000,-1.34536039829254,0,0
0.47000000,-0.826024532318115,0,0
0.47500000,-2.17125844955444,0,0
0.48000000,-1.04159796237946,0,0
0.48500000,-1.19137942790985,0,0
0.49000000,-1.1339864730835,0,0
0.49500000,-1.79470503330231,0,0
0.50000000,-0.960407972335815,0,0
0.50500000,-0.933811247348785,0,0
0.51000000,-1.86189675331116,0,0
0.51500000,-1.42935013771057,0,0
