Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-2.9033682346344,0,0
0.00500000,-2.23565053939819,0,0
0.01000000,-1.98368167877197,0,0
0.01500000,-3.97563576698303,0,0
0.02000000,-2.21745276451111,0,0
0.02500000,-3.16513586044312,0,0
0.03000000,-1.44754779338837,0,0
0.03500000,-3.09094500541687,0,0
0.04000000,-2.86697268486023,0,0
0.04500000,-3.43110299110413,0,0
0.05000000,-1.50074124336243,0,0
0.05500000,-2.72139072418213,0,0
0.06000000,-2.71439146995544,0,0
0.06500000,-2.56600975990295,0,0
0.07000000,-4.09602117538452,0,0
0.07500000,-1.58893036842346,0,0
0.08000000,-3.49549508094788,0,0
0.08500000,-1.44194853305817,0,0
0.09000000,-3.1987316608429,0,0
0.09500000,-3.4576997756958,0,0
0.10000000,-3.01535439491272,0,0
0.10500000,-2.3616349697113,0,0
0.11000000,-2.25104880332947,0,0
0.11500000,-3.0335521697998,0,0
0.12000000,-3.34291386604309,0,0
0.12500000,-2.83337688446045,0,0
0.13000000,-1.667320728302,0,0
0.13500000,-3.13993906974793,0,0
0.14000000,-2.29584312438965,0,0
0.14500000,-3.38350892066956,0,0
0.15000000,-3.11194252967834,0,0
0.15500000,-1.83390021324158,0,0
0.16000000,-3.25332498550415,0,0
0.16500000,-1.73031294345856,0,0
0.17000000,-3.3331151008606,0,0
0.17500000,-3.23512721061707,0,0
0.18000000,-2.61500382423401,0,0
0.18500000,-2.02567648887634,0,0
0.19000000,-2.46802186965942,0,0
0.19500000,-3.18053388595581,0,0
0.20000000,-3.20713067054749,0,0
0.20500000,-2.01027846336365,0,0
0.21000000,-2.47782063484192,0,0
0.21500000,-2.40922927856445,0,0
0.22000000,-2.69899344444275,0,0
0.22500000,-4.00783205032349,0,0
0.23000000,-2.00467920303345,0,0
0.23500000,-3.29112029075623,0,0
0.24000000,-2.02147698402405,0,0
0.24500000,-2.43022656440735,0,0
0.25000000,-3.91964268684387,0,0
0.25500000,-2.46802186965942,0,0
0.26000000,-2.84737515449524,0,0
0.26500000,-1.6687206029892,0,0
0.27000000,-3.23232769966126,0,0
0.27500000,-3.31911683082581,0,0
0.28000000,-2.74098825454712,0,0
0.28500000,-2.6304018497467,0,0
0.29000000,-1.78350639343262,0,0
0.29500000,-2.82357811927795,0,0
0.30000000,-3.16513586044312,0,0
0.30500000,-3.15673685073853,0,0
0.31000000,-2.43162631988525,0,0
0.31500000,-2.74238801002502,0,0
0.32000000,-1.68271887302399,0,0
0.32500000,-3.8720486164093,0,0
0.33000000,-2.7647852897644,0,0
0.33500000,-2.73538899421692,0,0
0.34000000,-2.30984139442444,0,0
0.34500000,-1.85909700393677,0,0
0.35000000,-3.77266097068787,0,0
0.35500000,-2.97335958480835,0,0
0.36000000,-2.78718256950378,0,0
0.36500000,-1.55393469333649,0,0
0.37000000,-3.17913413047791,0,0
0.37500000,-2.17265844345093,0,0
0.38000000,-4.0176305770874,0,0
0.38500000,-2.51001667976379,0,0
0.39000000,-2.59820580482483,0,0
0.39500000,-2.7591860294342,0,0
0.40000000,-1.5399364233017,0,0
0.40500000,-4.45717668533325,0,0
0.41000000,-2.39943027496338,0,0
0.41500000,-2.72838973999023,0,0
0.42000000,-1.92348909378052,0,0
0.42500000,-2.95796155929565,0,0
0.43000000,-3.35691213607788,0,0
0.43500000,-2.80258059501648,0,0
0.44000000,-2.21325325965881,0,0
0.44500000,-2.17125844955444,0,0
0.45000000,-2.98455810546875,0,0
0.45500000,-2.55481123924255,0,0
0.46000000,-3.97003650665283,0,0
0.46500000,-1.47134494781494,0,0
0.47000000,-3.43110299110413,0,0
0.47500000,-1.74711084365845,0,0
0.48000000,-3.28972053527832,0,0
0.48500000,-2.92996501922607,0,0
0.49000000,-3.30091905593872,0,0
0.49500000,-1.56653320789337,0,0
0.50000000,-2.86977243423462,0,0
