Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,4.35053682327271,0,0
0.00500000,4.25394868850708,0,0
0.01000000,4.19375610351562,0,0
0.01500000,4.03977489471436,0,0
0.02000000,4.05517292022705,0,0
0.02500000,3.95998477935791,0,0
0.03000000,3.9515860080719,0,0
0.03500000,3.86339688301086,0,0
0.04000000,3.86059713363647,0,0
0.04500000,3.8186023235321,0,0
0.05000000,3.88859367370605,0,0
0.05500000,3.83260059356689,0,0
0.06000000,3.95998477935791,0,0
0.06500000,3.89139342308044,0,0
0.07000000,3.91798996925354,0,0
0.07500000,4.00757884979248,0,0
0.08000000,4.06217241287231,0,0
0.08500000,4.07197093963623,0,0
0.09000000,4.00757884979248,0,0
0.09500000,4.15036153793335,0,0
0.10000000,4.1125659942627,0,0
0.10500000,3.9739830493927,0,0
0.11000000,4.07757043838501,0,0
0.11500000,3.96138477325439,0,0
0.12000000,4.05937242507935,0,0
0.12500000,4.15876054763794,0,0
0.13000000,4.14476203918457,0,0
0.13500000,4.10976648330688,0,0
0.14000000,4.28334474563599,0,0
0.14500000,4.28474473953247,0,0
0.15000000,4.27074670791626,0,0
0.15500000,4.25814819335937,0,0
0.16000000,4.34913682937622,0,0
0.16500000,4.30714225769043,0,0
0.17000000,4.42192792892456,0,0
0.17500000,4.36313533782959,0,0
0.18000000,4.34073781967163,0,0
0.18500000,4.44712495803833,0,0
0.19000000,4.43872594833374,0,0
0.19500000,4.44292545318604,0,0
0.20000000,4.58570766448975,0,0
0.20500000,4.55211162567139,0,0
0.21000000,4.6235032081604,0,0
0.21500000,4.74388790130615,0,0
0.22000000,4.79848146438599,0,0
0.22500000,5.00005674362183,0,0
0.23000000,4.89646911621094,0,0
0.23500000,5.00705575942993,0,0
0.24000000,4.81667900085449,0,0
0.24500000,4.77608394622803,0,0
0.25000000,4.6500997543335,0,0
0.25500000,4.63050222396851,0,0
0.26000000,4.56051063537598,0,0
0.26500000,4.40093040466309,0,0
0.27000000,4.23435115814209,0,0
0.27500000,4.12236499786377,0,0
0.28000000,4.08456945419312,0,0
0.28500000,3.91938996315002,0,0
0.29000000,3.96698403358459,0,0
0.29500000,3.77100825309753,0,0
0.30000000,3.70381641387939,0,0
0.30500000,3.70241665840149,0,0
0.31000000,3.68001937866211,0,0
0.31500000,3.673020362854,0,0
0.32000000,3.77940726280212,0,0
0.32500000,3.75281047821045,0,0
0.33000000,3.71221542358398,0,0
0.33500000,3.85919737815857,0,0
0.34000000,4.00197982788086,0,0
0.34500000,4.02577686309814,0,0
0.35000000,4.15036153793335,0,0
0.35500000,4.20075511932373,0,0
0.36000000,4.35893583297729,0,0
0.36500000,4.53391408920288,0,0
0.37000000,4.59830617904663,0,0
0.37500000,4.7746844291687,0,0
0.38000000,4.9076681137085,0,0
0.38500000,4.90066862106323,0,0
0.39000000,5.18203401565552,0,0
0.39500000,5.29821968078613,0,0
0.40000000,5.37101078033447,0,0
0.40500000,5.52359199523926,0,0
0.41000000,5.39480781555176,0,0
0.41500000,5.42700386047363,0,0
0.42000000,5.46199941635132,0,0
0.42500000,5.52219200134277,0,0
0.43000000,5.50959348678589,0,0
0.43500000,5.36961078643799,0,0
0.44000000,5.34441423416138,0,0
0.44500000,5.34021472930908,0,0
0.45000000,5.07424736022949,0,0
0.45500000,5.2058310508728,0,0
0.46000000,5.10784339904785,0,0
0.46500000,5.12044143676758,0,0
0.47000000,5.04625082015991,0,0
0.47500000,4.94266366958618,0,0
0.48000000,4.94266366958618,0,0
0.48500000,5.14423894882202,0,0
0.49000000,5.22402906417847,0,0
0.49500000,5.12184143066406,0,0
0.50000000,5.1946325302124,0,0
0.50500000,5.24642610549927,0,0
0.51000000,5.18063402175903,0,0
0.51500000,5.29262065887451,0,0
0.52000000,5.44380187988281,0,0
0.52500000,5.42140436172485,0,0
0.53000000,5.52359199523926,0,0
0.53500000,5.53339052200317,0,0
0.54000000,5.55998754501343,0,0
0.54500000,5.57118606567383,0,0
0.55000000,5.58378458023071,0,0
0.55500000,5.63417816162109,0,0
0.56000000,5.56978607177734,0,0
0.56500000,5.54178953170776,0,0
0.57000000,5.56558656692505,0,0
0.57500000,5.68037271499634,0,0
0.58000000,5.52919101715088,0,0
0.58500000,5.6299786567688,0,0
0.59000000,5.70416975021362,0,0
0.59500000,5.5011944770813,0,0
0.60000000,5.41580533981323,0,0
0.60500000,5.43540287017822,0,0
0.61000000,5.52219200134277,0,0
0.61500000,5.3346152305603,0,0
0.62000000,5.43120336532593,0,0
0.62500000,5.51799249649048,0,0
0.63000000,5.50539398193359,0,0
0.63500000,5.42280435562134,0,0
0.64000000,5.40880632400513,0,0
0.64500000,5.53339052200317,0,0
0.65000000,5.40740633010864,0,0
0.65500000,5.43960237503052,0,0
0.66000000,5.47179841995239,0,0
0.66500000,5.41300535202026,0,0
0.67000000,5.37241077423096,0,0
0.67500000,5.35841226577759,0,0
0.68000000,5.27722215652466,0,0
0.68500000,5.23102807998657,0,0
0.69000000,5.21842956542969,0,0
0.69500000,5.10224390029907,0,0
0.70000000,5.09524488449097,0,0
0.70500000,5.1876335144043,0,0
0.71000000,5.09384489059448,0,0
0.71500000,5.04625082015991,0,0
0.72000000,5.11764192581177,0,0
0.72500000,5.02385377883911,0,0
0.73000000,5.0812463760376,0,0
0.73500000,5.21283006668091,0,0
0.74000000,5.24222660064697,0,0
0.74500000,5.34721374511719,0,0
0.75000000,5.24642610549927,0,0
0.75500000,5.38080930709839,0,0
0.76000000,5.38080930709839,0,0
0.76500000,5.39340782165527,0,0
0.77000000,5.35841226577759,0,0
0.77500000,5.4633994102478,0,0
0.78000000,5.35561275482178,0,0
0.78500000,5.39760732650757,0,0
0.79000000,5.47739744186401,0,0
0.79500000,5.37940979003906,0,0
0.80000000,5.43540287017822,0,0
0.80500000,5.49139595031738,0,0
0.81000000,5.44800138473511,0,0
0.81500000,5.50819396972656,0,0
0.82000000,5.5963830947876,0,0
0.82500000,5.62437963485718,0,0
0.83000000,5.78815937042236,0,0
0.83500000,5.6257791519165,0,0
0.84000000,5.52919101715088,0,0
0.84500000,5.57818508148193,0,0
0.85000000,5.59358310699463,0,0
0.85500000,5.60058259963989,0,0
0.86000000,5.55718755722046,0,0
0.86500000,5.66357469558716,0,0
0.87000000,5.64817667007446,0,0
0.87500000,5.55578804016113,0,0
0.88000000,5.63137865066528,0,0
0.88500000,5.60058259963989,0,0
0.89000000,5.44940090179443,0,0
0.89500000,5.60618162155151,0,0
0.90000000,5.29542016983032,0,0
0.90500000,5.54178953170776,0,0
0.91000000,5.4675989151001,0,0
0.91500000,5.53759002685547,0,0
0.92000000,5.65657567977905,0,0
0.92500000,5.63837766647339,0,0
0.93000000,5.72376728057861,0,0
0.93500000,5.7587628364563,0,0
0.94000000,5.79515838623047,0,0
0.94500000,5.91974306106567,0,0
0.95000000,6.0457272529602,0,0
0.95500000,6.01913070678711,0,0
0.96000000,6.26690006256104,0,0
0.96500000,6.10452032089233,0,0
0.97000000,6.19270944595337,0,0
0.97500000,6.3186936378479,0,0
0.98000000,6.35228967666626,0,0
0.98500000,6.33689165115356,0,0
0.99000000,6.28649759292602,0,0
0.99500000,6.49507188796997,0,0
1.00000000,6.36068868637085,0,0
1.00500000,6.38168621063232,0,0
1.01000000,6.38448572158813,0,0
1.01500000,6.37048721313477,0,0
1.02000000,6.31729412078857,0,0
1.02500000,6.23890352249145,0,0
1.03000000,6.24310302734375,0,0
1.03500000,6.25850105285645,0,0
1.04000000,6.26270055770874,0,0
1.04500000,6.0499267578125,0,0
1.05000000,6.19970846176147,0,0
1.05500000,6.22210550308228,0,0
1.06000000,6.26830005645752,0,0
1.06500000,6.35228967666626,0,0
1.07000000,6.30609560012817,0,0
1.07500000,6.41948127746582,0,0
1.08000000,6.40688276290894,0,0
1.08500000,6.49507188796997,0,0
1.09000000,6.58326101303101,0,0
1.09500000,6.50487089157105,0,0
1.10000000,6.63365507125854,0,0
1.10500000,6.53986644744873,0,0
1.11000000,6.62945556640625,0,0
1.11500000,6.68404865264893,0,0
1.12000000,6.68264865875244,0,0
1.12500000,6.59026050567627,0,0
1.13000000,6.59585952758789,0,0
1.13500000,6.77503728866577,0,0
1.14000000,6.77643728256226,0,0
1.14500000,6.79603481292725,0,0
1.15000000,6.68264865875244,0,0
1.15500000,6.8450288772583,0,0
1.16000000,6.81423282623291,0,0
1.16500000,6.73584222793579,0,0
1.17000000,6.77923679351807,0,0
1.17500000,6.76243925094605,0,0
1.18000000,6.79603481292725,0,0
1.18500000,6.83103036880493,0,0
1.19000000,6.72464370727539,0,0
1.19500000,6.80303382873535,0,0
1.20000000,6.81003332138062,0,0
1.20500000,6.91501998901367,0,0
1.21000000,6.8674259185791,0,0
1.21500000,6.94861602783203,0,0
1.22000000,6.86322641372681,0,0
1.22500000,6.94581651687622,0,0
1.23000000,6.91362047195435,0,0
1.23500000,6.86322641372681,0,0
1.24000000,6.90102195739746,0,0
1.24500000,6.76383876800537,0,0
1.25000000,6.75683975219727,0,0
1.25500000,6.72464370727539,0,0
1.26000000,6.68684816360474,0,0
1.26500000,6.56366348266602,0,0
1.27000000,6.71204519271851,0,0
1.27500000,6.59585952758789,0,0
1.28000000,6.67005062103271,0,0
1.28500000,6.66025161743164,0,0
1.29000000,6.64765310287476,0,0
1.29500000,6.70224666595459,0,0
1.30000000,6.8226318359375,0,0
1.30500000,6.80443382263184,0,0
1.31000000,6.88282442092895,0,0
1.31500000,6.94861602783203,0,0
1.32000000,6.79463529586792,0,0
1.32500000,7.08159971237183,0,0
1.33000000,6.94721603393555,0,0
1.33500000,7.02700662612915,0,0
1.34000000,7.09979724884033,0,0
1.34500000,7.12219476699829,0,0
1.35000000,7.12219476699829,0,0
1.35500000,7.10959625244141,0,0
1.36000000,7.2579779624939,0,0
1.36500000,7.17398834228516,0,0
1.37000000,7.30697202682495,0,0
1.37500000,7.35456609725952,0,0
1.38000000,7.41755819320679,0,0
1.38500000,7.57433891296387,0,0
1.39000000,7.37696313858032,0,0
1.39500000,7.46515226364136,0,0
1.40000000,7.49314880371094,0,0
1.40500000,7.56174039840698,0,0
1.41000000,7.57993793487549,0,0
1.41500000,7.50294780731201,0,0
1.42000000,7.48894929885864,0,0
1.42500000,7.46515226364136,0,0
1.43000000,7.4049596786499,0,0
1.43500000,7.34056758880615,0,0
1.44000000,7.32656955718994,0,0
1.44500000,7.46375226974487,0,0
1.45000000,7.47355127334595,0,0
1.45500000,7.58413743972778,0,0
1.46000000,7.5379433631897,0,0
1.46500000,7.44975423812866,0,0
1.47000000,7.48754978179932,0,0
1.47500000,7.44975423812866,0,0
1.48000000,7.49734830856323,0,0
1.48500000,7.55194139480591,0,0
1.49000000,7.54774236679077,0,0
1.49500000,7.55334138870239,0,0
1.50000000,7.6555290222168,0,0
1.50500000,7.58833694458008,0,0
1.51000000,7.59533643722534,0,0
1.51500000,7.72412014007568,0,0
1.52000000,7.54354286193848,0,0
1.52500000,7.64433002471924,0,0
1.53000000,7.72272062301636,0,0
1.53500000,7.69752359390259,0,0
1.54000000,7.5603404045105,0,0
1.54500000,7.6555290222168,0,0
1.55000000,7.6513295173645,0,0
1.55500000,7.62333297729492,0,0
1.56000000,7.83890628814697,0,0
1.56500000,7.87670135498047,0,0
1.57000000,7.92849493026733,0,0
1.57500000,7.84870481491089,0,0
1.58000000,7.8067102432251,0,0
1.58500000,7.90749788284302,0,0
1.59000000,7.94949245452881,0,0
1.59500000,7.9578914642334,0,0
1.60000000,8.07407760620117,0,0
1.60500000,8.03208255767822,0,0
1.61000000,8.1776647567749,0,0
1.61500000,8.13846969604492,0,0
1.62000000,8.13566970825195,0,0
1.62500000,8.23225784301758,0,0
1.63000000,8.25605487823486,0,0
1.63500000,8.29664993286133,0,0
