Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.10424995422363,0,0
0.00500000,-7.36881732940674,0,0
0.01000000,-7.30442523956299,0,0
0.01500000,-7.08045291900635,0,0
0.02000000,-6.63810729980469,0,0
0.02500000,-6.62690877914429,0,0
0.03000000,-6.34694337844849,0,0
0.03500000,-6.94606924057007,0,0
0.04000000,-6.99366331100464,0,0
0.04500000,-7.07065391540527,0,0
0.05000000,-7.11684846878052,0,0
0.05500000,-6.95586824417114,0,0
0.06000000,-6.56811618804932,0,0
0.06500000,-6.78228950500488,0,0
0.07000000,-6.7584924697876,0,0
0.07500000,-7.1784405708313,0,0
0.08000000,-7.27642869949341,0,0
0.08500000,-7.07205390930176,0,0
0.09000000,-6.97966527938843,0,0
0.09500000,-6.87887763977051,0,0
0.10000000,-6.77249050140381,0,0
0.10500000,-6.72069692611694,0,0
0.11000000,-7.1518440246582,0,0
0.11500000,-7.40381288528442,0,0
0.12000000,-7.20083808898926,0,0
0.12500000,-7.16024303436279,0,0
0.13000000,-6.92927122116089,0,0
0.13500000,-6.61291027069092,0,0
0.14000000,-7.01326084136963,0,0
0.14500000,-6.97966527938843,0,0
0.15000000,-7.38701486587524,0,0
0.15500000,-7.19803810119629,0,0
0.16000000,-6.88167715072632,0,0
0.16500000,-6.43093299865723,0,0
0.17000000,-6.56391668319702,0,0
0.17500000,-6.69689989089966,0,0
0.18000000,-6.91807270050049,0,0
0.18500000,-7.24283266067505,0,0
0.19000000,-7.4696044921875,0,0
0.19500000,-7.0118613243103,0,0
0.20000000,-6.73049592971802,0,0
0.20500000,-6.66890335083008,0,0
0.21000000,-6.87747764587402,0,0
0.21500000,-7.26103067398071,0,0
0.22000000,-7.32122325897217,0,0
0.22500000,-7.25543117523193,0,0
0.23000000,-7.17284154891968,0,0
0.23500000,-6.6297082901001,0,0
0.24000000,-6.6143102645874,0,0
0.24500000,-6.57651472091675,0,0
0.25000000,-7.06365489959717,0,0
0.25500000,-7.27642869949341,0,0
0.26000000,-7.27082920074463,0,0
0.26500000,-7.18823957443237,0,0
0.27000000,-6.96986627578735,0,0
0.27500000,-6.65770483016968,0,0
0.28000000,-6.82148456573486,0,0
0.28500000,-7.00766181945801,0,0
0.29000000,-7.27082920074463,0,0
0.29500000,-7.34641981124878,0,0
0.30000000,-7.05665588378906,0,0
0.30500000,-7.06225490570068,0,0
0.31000000,-6.68010234832764,0,0
0.31500000,-6.57371520996094,0,0
0.32000000,-6.86347961425781,0,0
0.32500000,-6.99926280975342,0,0
0.33000000,-7.40941190719604,0,0
0.33500000,-6.99506330490112,0,0
0.34000000,-6.99226379394531,0,0
0.34500000,-6.76129198074341,0,0
0.35000000,-6.64370679855347,0,0
0.35500000,-6.78228950500488,0,0
0.36000000,-7.12244749069214,0,0
0.36500000,-7.38281536102295,0,0
0.37000000,-7.50740003585815,0,0
0.37500000,-6.8830771446228,0,0
0.38000000,-6.76829147338867,0,0
0.38500000,-6.64370679855347,0,0
0.39000000,-6.57651472091675,0,0
0.39500000,-7.03565835952759,0,0
0.40000000,-7.37581634521484,0,0
0.40500000,-7.50040102005005,0,0
0.41000000,-7.4430079460144,0,0
0.41500000,-6.8872766494751,0,0
0.42000000,-6.86767911911011,0,0
0.42500000,-6.83688259124756,0,0
0.43000000,-7.10984897613525,0,0
0.43500000,-7.18823957443237,0,0
0.44000000,-7.44160795211792,0,0
0.44500000,-7.24843215942383,0,0
0.45000000,-6.79908752441406,0,0
0.45500000,-6.49952459335327,0,0
0.46000000,-6.53452014923096,0,0
0.46500000,-6.53172063827515,0,0
0.47000000,-6.95166873931885,0,0
0.47500000,-7.12804698944092,0,0
0.48000000,-7.34082078933716,0,0
0.48500000,-7.38701486587524,0,0
0.49000000,-6.7766900062561,0,0
0.49500000,-6.53731966018677,0,0
0.50000000,-7.027259349823,0,0
0.50500000,-7.00766181945801,0,0
0.51000000,-7.41361141204834,0,0
0.51500000,-7.42760992050171,0,0
0.52000000,-7.29462623596191,0,0
0.52500000,-6.9096736907959,0,0
0.53000000,-6.66190433502197,0,0
0.53500000,-6.67590284347534,0,0
0.54000000,-6.85088109970093,0,0
0.54500000,-7.26243019104004,0,0
0.55000000,-7.36461782455444,0,0
0.55500000,-7.22463512420654,0,0
0.56000000,-7.0496563911438,0,0
0.56500000,-6.7472939491272,0,0
0.57000000,-6.42813301086426,0,0
0.57500000,-6.87887763977051,0,0
0.58000000,-7.16444253921509,0,0
0.58500000,-7.26662969589233,0,0
0.59000000,-7.35481882095337,0,0
0.59500000,-7.04125738143921,0,0
0.60000000,-6.7584924697876,0,0
0.60500000,-6.55551767349243,0,0
0.61000000,-6.61011075973511,0,0
0.61500000,-7.12664699554443,0,0
0.62000000,-7.5493950843811,0,0
0.62500000,-7.62078619003296,0,0
0.63000000,-7.33662128448486,0,0
0.63500000,-6.94186973571777,0,0
0.64000000,-6.9096736907959,0,0
0.64500000,-6.4631290435791,0,0
0.65000000,-6.83128356933594,0,0
0.65500000,-7.43320941925049,0,0
0.66000000,-7.33662128448486,0,0
0.66500000,-7.30162525177002,0,0
0.67000000,-6.81728506088257,0,0
0.67500000,-6.49112558364868,0,0
0.68000000,-6.64650630950928,0,0
0.68500000,-6.61990976333618,0,0
0.69000000,-6.98386478424072,0,0
0.69500000,-7.39961338043213,0,0
0.70000000,-7.37581634521484,0,0
0.70500000,-7.06645441055298,0,0
0.71000000,-6.66050434112549,0,0
0.71500000,-6.76689147949219,0,0
0.72000000,-6.96426725387573,0,0
0.72500000,-7.20223760604858,0,0
0.73000000,-7.3296217918396,0,0
0.73500000,-7.42201042175293,0,0
0.74000000,-7.07205390930176,0,0
0.74500000,-6.73049592971802,0,0
0.75000000,-6.56951570510864,0,0
0.75500000,-6.69410037994385,0,0
0.76000000,-6.86767911911011,0,0
0.76500000,-7.13084650039673,0,0
0.77000000,-7.51439905166626,0,0
0.77500000,-7.05245637893677,0,0
0.78000000,-6.96986627578735,0,0
0.78500000,-6.62410926818848,0,0
0.79000000,-6.67870235443115,0,0
0.79500000,-7.05945539474487,0,0
0.80000000,-7.17704105377197,0,0
0.80500000,-7.31282424926758,0,0
0.81000000,-7.43740892410278,0,0
0.81500000,-7.06225490570068,0,0
0.82000000,-6.70669889450073,0,0
0.82500000,-6.61571025848389,0,0
0.83000000,-6.80888605117798,0,0
0.83500000,-7.29042673110962,0,0
0.84000000,-7.40801239013672,0,0
0.84500000,-7.41921091079712,0,0
0.85000000,-7.32262277603149,0,0
0.85500000,-6.71929740905762,0,0
0.86000000,-6.66470384597778,0,0
0.86500000,-6.75009346008301,0,0
0.87000000,-7.23443365097046,0,0
0.87500000,-7.42900991439819,0,0
0.88000000,-7.34362030029297,0,0
0.88500000,-7.17004156112671,0,0
0.89000000,-6.81308555603027,0,0
0.89500000,-6.62270927429199,0,0
0.90000000,-6.67310285568237,0,0
0.90500000,-6.94886875152588,0,0
0.91000000,-7.37581634521484,0,0
0.91500000,-7.47940349578857,0,0
0.92000000,-7.35761833190918,0,0
0.92500000,-7.08605194091797,0,0
0.93000000,-6.83128356933594,0,0
0.93500000,-6.76129198074341,0,0
0.94000000,-7.05805540084839,0,0
0.94500000,-7.1406455039978,0,0
0.95000000,-7.72857284545898,0,0
0.95500000,-7.40801239013672,0,0
0.96000000,-6.8830771446228,0,0
0.96500000,-6.80048751831055,0,0
0.97000000,-6.54011964797974,0,0
0.97500000,-6.66890335083008,0,0
0.98000000,-7.15464353561401,0,0
0.98500000,-7.41361141204834,0,0
0.99000000,-7.5759916305542,0,0
0.99500000,-7.21063661575317,0,0
1.00000000,-6.83548307418823,0,0
1.00500000,-6.65070581436157,0,0
1.01000000,-6.78928852081299,0,0
1.01500000,-7.10144996643066,0,0
1.02000000,-7.42760992050171,0,0
1.02500000,-7.75236988067627,0,0
1.03000000,-7.41081190109253,0,0
1.03500000,-6.70669889450073,0,0
1.04000000,-6.71509790420532,0,0
1.04500000,-6.72489643096924,0,0
1.05000000,-6.91527318954468,0,0
1.05500000,-7.11404848098755,0,0
1.06000000,-7.48920249938965,0,0
1.06500000,-7.55639410018921,0,0
1.07000000,-7.27922821044922,0,0
1.07500000,-6.6409068107605,0,0
1.08000000,-6.67030334472656,0,0
1.08500000,-7.05805540084839,0,0
1.09000000,-7.16024303436279,0,0
1.09500000,-7.37861585617065,0,0
1.10000000,-7.40101337432861,0,0
1.10500000,-7.24003314971924,0,0
1.11000000,-6.81308555603027,0,0
1.11500000,-6.52752113342285,0,0
1.12000000,-6.72489643096924,0,0
1.12500000,-6.91947269439697,0,0
1.13000000,-7.21063661575317,0,0
1.13500000,-7.66838026046753,0,0
1.14000000,-7.4738039970398,0,0
1.14500000,-7.19383859634399,0,0
1.15000000,-6.7430944442749,0,0
1.15500000,-6.84248208999634,0,0
1.16000000,-7.05805540084839,0,0
1.16500000,-7.32682228088379,0,0
1.17000000,-7.66977977752686,0,0
1.17500000,-7.47800350189209,0,0
1.18000000,-7.04125738143921,0,0
1.18500000,-6.67590284347534,0,0
1.19000000,-6.50232410430908,0,0
1.19500000,-6.74449396133423,0,0
1.20000000,-7.30162525177002,0,0
1.20500000,-7.50740003585815,0,0
1.21000000,-7.23443365097046,0,0
1.21500000,-7.1406455039978,0,0
1.22000000,-6.7584924697876,0,0
1.22500000,-6.73469543457031,0,0
1.23000000,-6.75289297103882,0,0
1.23500000,-7.13364601135254,0,0
1.24000000,-7.38701486587524,0,0
1.24500000,-7.42341041564941,0,0
1.25000000,-7.23023414611816,0,0
1.25500000,-6.80748653411865,0,0
1.26000000,-6.7766900062561,0,0
1.26500000,-6.65070581436157,0,0
1.27000000,-6.79348802566528,0,0
1.27500000,-7.32682228088379,0,0
1.28000000,-7.48220300674439,0,0
1.28500000,-7.25123167037964,0,0
1.29000000,-6.98946380615234,0,0
1.29500000,-6.77109098434448,0,0
1.30000000,-6.7654914855957,0,0
1.30500000,-6.94886875152588,0,0
1.31000000,-7.23023414611816,0,0
1.31500000,-7.5493950843811,0,0
1.32000000,-7.33522129058838,0,0
1.32500000,-6.94746923446655,0,0
1.33000000,-6.50232410430908,0,0
1.33500000,-6.64790630340576,0,0
1.34000000,-6.86907863616943,0,0
1.34500000,-7.06645441055298,0,0
1.35000000,-7.41781091690063,0,0
1.35500000,-7.51719903945923,0,0
1.36000000,-6.98946380615234,0,0
1.36500000,-6.69689989089966,0,0
1.37000000,-6.71929740905762,0,0
1.37500000,-6.80748653411865,0,0
1.38000000,-7.29882574081421,0,0
1.38500000,-7.31562376022339,0,0
1.39000000,-7.29042673110962,0,0
1.39500000,-7.174241065979,0,0
1.40000000,-6.67590284347534,0,0
1.40500000,-6.69410037994385,0,0
1.41000000,-6.58631372451782,0,0
1.41500000,-6.93487071990967,0,0
1.42000000,-7.27082920074463,0,0
1.42500000,-7.5493950843811,0,0
1.43000000,-7.34082078933716,0,0
1.43500000,-6.95586824417114,0,0
1.44000000,-6.69270038604736,0,0
1.44500000,-6.82288455963135,0,0
1.45000000,-6.97826528549194,0,0
1.45500000,-7.40101337432861,0,0
1.46000000,-7.58859014511108,0,0
1.46500000,-7.50040102005005,0,0
1.47000000,-7.07065391540527,0,0
1.47500000,-6.64230680465698,0,0
1.48000000,-6.4519305229187,0,0
1.48500000,-6.68710136413574,0,0
1.49000000,-7.10005044937134,0,0
1.49500000,-7.48220300674439,0,0
1.50000000,-7.23863315582275,0,0
1.50500000,-7.3030252456665,0,0
1.51000000,-6.80048751831055,0,0
1.51500000,-6.41693449020386,0,0
1.52000000,-7.03005886077881,0,0
1.52500000,-7.23863315582275,0,0
1.53000000,-7.63058471679688,0,0
1.53500000,-7.57459163665772,0,0
1.54000000,-7.25123167037964,0,0
1.54500000,-6.87747764587402,0,0
1.55000000,-6.7654914855957,0,0
1.55500000,-6.80748653411865,0,0
1.56000000,-7.24843215942383,0,0
1.56500000,-7.45140695571899,0,0
1.57000000,-7.60678768157959,0,0
1.57500000,-7.26662969589233,0,0
1.58000000,-7.22603464126587,0,0
1.58500000,-6.92927122116089,0,0
1.59000000,-6.72909593582153,0,0
1.59500000,-7.11684846878052,0,0
1.60000000,-7.39261436462402,0,0
1.60500000,-7.51579904556274,0,0
1.61000000,-7.39681386947632,0,0
1.61500000,-7.00206232070923,0,0
1.62000000,-6.67870235443115,0,0
1.62500000,-6.65770483016968,0,0
1.63000000,-6.66470384597778,0,0
1.63500000,-7.32682228088379,0,0
1.64000000,-7.78316593170166,0,0
1.64500000,-7.5605936050415,0,0
1.65000000,-7.31562376022339,0,0
1.65500000,-7.04405736923218,0,0
1.66000000,-6.85928010940552,0,0
1.66500000,-6.97406578063965,0,0
1.67000000,-7.55219459533691,0,0
1.67500000,-7.81536197662354,0,0
1.68000000,-7.72997236251831,0,0
1.68500000,-7.22603464126587,0,0
1.69000000,-6.67590284347534,0,0
1.69500000,-6.68990087509155,0,0
1.70000000,-6.69689989089966,0,0
1.70500000,-6.95166873931885,0,0
1.71000000,-7.33242177963257,0,0
1.71500000,-7.52139854431152,0,0
1.72000000,-7.30162525177002,0,0
1.72500000,-6.91107368469238,0,0
1.73000000,-6.98806428909302,0,0
1.73500000,-6.97406578063965,0,0
1.74000000,-6.92507171630859,0,0
1.74500000,-7.43880844116211,0,0
1.75000000,-7.48220300674439,0,0
1.75500000,-7.36741733551025,0,0
1.76000000,-6.76129198074341,0,0
1.76500000,-6.58771371841431,0,0
1.77000000,-6.78228950500488,0,0
1.77500000,-6.84948110580444,0,0
1.78000000,-7.0496563911438,0,0
1.78500000,-7.38701486587524,0,0
1.79000000,-7.28902721405029,0,0
1.79500000,-6.97126626968384,0,0
1.80000000,-6.7472939491272,0,0
1.80500000,-6.71229839324951,0,0
1.81000000,-6.93207120895386,0,0
1.81500000,-7.03565835952759,0,0
1.82000000,-7.34362030029297,0,0
1.82500000,-7.21203660964966,0,0
1.83000000,-7.14204502105713,0,0
1.83500000,-6.92927122116089,0,0
1.84000000,-6.81728506088257,0,0
1.84500000,-7.02585935592651,0,0
1.85000000,-6.98946380615234,0,0
1.85500000,-7.38981437683105,0,0
1.86000000,-7.50180053710937,0,0
1.86500000,-7.45000696182251,0,0
1.87000000,-7.22883462905884,0,0
1.87500000,-6.84108209609985,0,0
1.88000000,-6.82708406448364,0,0
1.88500000,-7.11684846878052,0,0
1.89000000,-7.22043561935425,0,0
