Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,2.05761957168579,0,0
0.00500000,2.05621981620789,0,0
0.01000000,1.93163514137268,0,0
0.01500000,2.03522229194641,0,0
0.02000000,1.94563341140747,0,0
0.02500000,1.97362995147705,0,0
0.03000000,2.08981561660767,0,0
0.03500000,1.99742710590363,0,0
0.04000000,1.96943056583405,0,0
0.04500000,2.05062055587769,0,0
0.05000000,2.10381388664246,0,0
0.05500000,1.93583464622498,0,0
0.06000000,1.97502982616425,0,0
0.06500000,1.93303501605988,0,0
0.07000000,1.93583464622498,0,0
0.07500000,2.16400647163391,0,0
0.08000000,2.02962303161621,0,0
0.08500000,1.91203761100769,0,0
0.09000000,1.93583464622498,0,0
0.09500000,2.01982426643372,0,0
0.10000000,2.0478208065033,0,0
0.10500000,2.043621301651,0,0
0.11000000,2.07441759109497,0,0
0.11500000,2.02122402191162,0,0
0.12000000,2.06601858139038,0,0
0.12500000,2.01002550125122,0,0
0.13000000,2.08001685142517,0,0
0.13500000,1.98342883586884,0,0
0.14000000,2.10801339149475,0,0
0.14500000,1.97502982616425,0,0
0.15000000,1.96523106098175,0,0
0.15500000,1.99602723121643,0,0
0.16000000,2.06461882591248,0,0
0.16500000,2.00022673606873,0,0
0.17000000,2.0478208065033,0,0
0.17500000,2.17380523681641,0,0
0.18000000,2.02962303161621,0,0
0.18500000,2.06601858139038,0,0
0.19000000,1.94983291625977,0,0
0.19500000,1.94283378124237,0,0
0.20000000,2.10381388664246,0,0
0.20500000,1.98762822151184,0,0
0.21000000,2.01562476158142,0,0
0.21500000,1.98762822151184,0,0
0.22000000,1.96803069114685,0,0
0.22500000,2.00442624092102,0,0
0.23000000,2.0380220413208,0,0
0.23500000,2.11781215667725,0,0
0.24000000,2.11221289634705,0,0
0.24500000,2.08421635627747,0,0
0.25000000,1.97782945632935,0,0
0.25500000,2.1710057258606,0,0
0.26000000,2.02122402191162,0,0
0.26500000,1.95823192596436,0,0
0.27000000,1.97502982616425,0,0
0.27500000,1.8952397108078,0,0
0.28000000,1.91483724117279,0,0
0.28500000,1.98342883586884,0,0
0.29000000,2.11221289634705,0,0
0.29500000,1.98762822151184,0,0
0.30000000,2.07861709594727,0,0
0.30500000,2.11221289634705,0,0
0.31000000,2.23259806632996,0,0
0.31500000,2.03942179679871,0,0
0.32000000,2.07021808624268,0,0
0.32500000,2.08001685142517,0,0
0.33000000,1.92883551120758,0,0
0.33500000,2.13181042671204,0,0
0.34000000,2.11361265182495,0,0
0.34500000,2.02542352676392,0,0
0.35000000,2.05761957168579,0,0
0.35500000,2.18080449104309,0,0
0.36000000,2.24659633636475,0,0
0.36500000,1.98342883586884,0,0
0.37000000,2.14580869674683,0,0
0.37500000,2.03522229194641,0,0
0.38000000,2.02822327613831,0,0
0.38500000,2.10241413116455,0,0
0.39000000,2.23399782180786,0,0
0.39500000,2.13600993156433,0,0
0.40000000,2.1724054813385,0,0
0.40500000,2.16820597648621,0,0
0.41000000,2.21300053596497,0,0
0.41500000,2.1780047416687,0,0
0.42000000,2.09401512145996,0,0
0.42500000,2.15840721130371,0,0
0.43000000,2.17380523681641,0,0
0.43500000,2.15980696678162,0,0
0.44000000,2.12621116638184,0,0
0.44500000,2.13880968093872,0,0
0.45000000,1.95963168144226,0,0
0.45500000,2.18080449104309,0,0
0.46000000,2.22839856147766,0,0
0.46500000,2.23259806632996,0,0
0.47000000,2.07161784172058,0,0
0.47500000,2.08141660690308,0,0
0.48000000,2.09821462631226,0,0
0.48500000,2.1780047416687,0,0
0.49000000,2.09821462631226,0,0
0.49500000,2.19620251655579,0,0
0.50000000,2.14580869674683,0,0
0.50500000,2.182204246521,0,0
0.51000000,2.25219559669495,0,0
0.51500000,2.24239683151245,0,0
0.52000000,2.09961438179016,0,0
0.52500000,2.21859979629517,0,0
0.53000000,2.26339411735535,0,0
0.53500000,2.16820597648621,0,0
0.54000000,2.18080449104309,0,0
0.54500000,2.25639510154724,0,0
0.55000000,2.25919485092163,0,0
0.55500000,2.25499534606934,0,0
0.56000000,2.26059460639954,0,0
0.56500000,2.26899361610413,0,0
0.57000000,2.24519658088684,0,0
0.57500000,2.26479411125183,0,0
0.58000000,2.32498669624329,0,0
0.58500000,2.26479411125183,0,0
0.59000000,2.20320177078247,0,0
0.59500000,2.29699015617371,0,0
0.60000000,2.11361265182495,0,0
0.60500000,2.26059460639954,0,0
0.61000000,2.16820597648621,0,0
0.61500000,2.15280795097351,0,0
0.62000000,2.20600128173828,0,0
0.62500000,2.12201166152954,0,0
0.63000000,2.13880968093872,0,0
0.63500000,2.24519658088684,0,0
0.64000000,2.22699880599976,0,0
0.64500000,2.182204246521,0,0
0.65000000,2.29139089584351,0,0
0.65500000,2.28299188613892,0,0
0.66000000,2.23119831085205,0,0
0.66500000,2.15700745582581,0,0
0.67000000,2.16400647163391,0,0
0.67500000,2.19200301170349,0,0
0.68000000,2.21999955177307,0,0
0.68500000,2.22839856147766,0,0
0.69000000,2.23119831085205,0,0
0.69500000,2.21020078659058,0,0
0.70000000,2.14440894126892,0,0
0.70500000,2.14440894126892,0,0
0.71000000,2.06181907653809,0,0
0.71500000,2.0380220413208,0,0
0.72000000,2.24939584732056,0,0
0.72500000,2.182204246521,0,0
0.73000000,2.22699880599976,0,0
0.73500000,2.10381388664246,0,0
0.74000000,2.05761957168579,0,0
0.74500000,2.21020078659058,0,0
0.75000000,2.19200301170349,0,0
0.75500000,2.1668062210083,0,0
0.76000000,2.12061190605164,0,0
0.76500000,2.29139089584351,0,0
0.77000000,2.19480276107788,0,0
0.77500000,2.15700745582581,0,0
0.78000000,2.18640375137329,0,0
0.78500000,2.20460152626038,0,0
0.79000000,2.15000820159912,0,0
0.79500000,2.20320177078247,0,0
0.80000000,2.13041067123413,0,0
0.80500000,2.25219559669495,0,0
0.81000000,2.20600128173828,0,0
0.81500000,2.25919485092163,0,0
0.82000000,2.18640375137329,0,0
0.82500000,2.16400647163391,0,0
0.83000000,2.29559016227722,0,0
0.83500000,2.3123881816864,0,0
0.84000000,2.28719139099121,0,0
0.84500000,2.35298323631287,0,0
0.85000000,2.27459287643433,0,0
0.85500000,2.3123881816864,0,0
0.86000000,2.29699015617371,0,0
0.86500000,2.3165876865387,0,0
0.87000000,2.15280795097351,0,0
0.87500000,2.41177582740784,0,0
0.88000000,2.21440029144287,0,0
0.88500000,2.26339411735535,0,0
0.89000000,2.26619386672974,0,0
0.89500000,2.26899361610413,0,0
0.90000000,2.31938743591309,0,0
0.90500000,2.35858249664307,0,0
0.91000000,2.3165876865387,0,0
0.91500000,2.36698150634766,0,0
0.92000000,2.29838991165161,0,0
0.92500000,2.42297458648682,0,0
0.93000000,2.33478546142578,0,0
0.93500000,2.33338570594788,0,0
0.94000000,2.40757632255554,0,0
0.94500000,2.48736667633057,0,0
0.95000000,2.40477681159973,0,0
0.95500000,2.41317582130432,0,0
0.96000000,2.41737532615662,0,0
0.96500000,2.45517063140869,0,0
0.97000000,2.44957137107849,0,0
0.97500000,2.36558151245117,0,0
0.98000000,2.35298323631287,0,0
0.98500000,2.50136494636536,0,0
0.99000000,2.36278200149536,0,0
0.99500000,2.301189661026,0,0
1.00000000,2.41317582130432,0,0
1.00500000,2.44817137718201,0,0
1.01000000,2.36138224601746,0,0
1.01500000,2.29699015617371,0,0
1.02000000,2.38097977638245,0,0
1.02500000,2.3235867023468,0,0
1.03000000,2.32638645172119,0,0
1.03500000,2.1878035068512,0,0
1.04000000,2.24239683151245,0,0
1.04500000,2.26619386672974,0,0
1.05000000,2.1878035068512,0,0
1.05500000,2.21720004081726,0,0
1.06000000,2.25219559669495,0,0
1.06500000,2.23399782180786,0,0
1.07000000,2.29139089584351,0,0
1.07500000,2.34038472175598,0,0
1.08000000,2.43697285652161,0,0
1.08500000,2.3053891658783,0,0
1.09000000,2.41177582740784,0,0
1.09500000,2.38097977638245,0,0
1.10000000,2.27319312095642,0,0
1.10500000,2.27879238128662,0,0
1.11000000,2.29559016227722,0,0
1.11500000,2.43697285652161,0,0
1.12000000,2.30958843231201,0,0
1.12500000,2.301189661026,0,0
1.13000000,2.50836396217346,0,0
1.13500000,2.42157483100891,0,0
1.14000000,2.35578274726868,0,0
1.14500000,2.36978101730347,0,0
1.15000000,2.4509711265564,0,0
1.15500000,2.4579701423645,0,0
1.16000000,2.45517063140869,0,0
1.16500000,2.45937013626099,0,0
1.17000000,2.35158324241638,0,0
1.17500000,2.49996495246887,0,0
1.18000000,2.34738397598267,0,0
