Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-9.33557415008545,0,0
0.00500000,-10.2244644165039,0,0
0.01000000,-11.0573616027832,0,0
0.01500000,-10.9887704849243,0,0
0.02000000,-10.4708347320557,0,0
0.02500000,-9.83251285552979,0,0
0.03000000,-9.22498798370361,0,0
0.03500000,-9.40976524353027,0,0
0.04000000,-10.1502742767334,0,0
0.04500000,-10.8291902542114,0,0
0.05000000,-10.8935823440552,0,0
0.05500000,-10.2720584869385,0,0
0.06000000,-9.5903434753418,0,0
0.06500000,-8.97161960601807,0,0
0.07000000,-9.12979984283447,0,0
0.07500000,-9.57774448394775,0,0
0.08000000,-10.2972555160522,0,0
0.08500000,-10.6234159469604,0,0
0.09000000,-10.3462495803833,0,0
0.09500000,-9.22918796539307,0,0
0.10000000,-8.61046409606934,0,0
0.10500000,-8.62586212158203,0,0
0.11000000,-9.49515438079834,0,0
0.11500000,-10.01589012146,0,0
0.12000000,-10.5016307830811,0,0
0.12500000,-10.3756456375122,0,0
0.13000000,-9.69672966003418,0,0
0.13500000,-9.09340476989746,0,0
0.14000000,-9.06400775909424,0,0
0.14500000,-9.50775337219238,0,0
0.15000000,-10.1782703399658,0,0
0.15500000,-10.580020904541,0,0
0.16000000,-10.4092416763306,0,0
0.16500000,-9.85910987854004,0,0
0.17000000,-8.85543346405029,0,0
0.17500000,-8.44528388977051,0,0
0.18000000,-8.78684234619141,0,0
0.18500000,-9.52035140991211,0,0
0.19000000,-9.98509407043457,0,0
0.19500000,-9.81291580200195,0,0
0.20000000,-9.11160182952881,0,0
0.20500000,-8.74064826965332,0,0
0.21000000,-8.48167991638184,0,0
0.21500000,-8.94922256469727,0,0
0.22000000,-9.59454250335693,0,0
0.22500000,-10.3126535415649,0,0
0.23000000,-10.2972555160522,0,0
0.23500000,-9.63373756408691,0,0
0.24000000,-8.79104137420654,0,0
0.24500000,-8.4536828994751,0,0
0.25000000,-8.71265125274658,0,0
0.25500000,-9.31317710876465,0,0
0.26000000,-9.92490196228027,0,0
0.26500000,-9.87170791625977,0,0
0.27000000,-9.32157611846924,0,0
0.27500000,-8.45088386535645,0,0
0.28000000,-8.18491649627686,0,0
0.28500000,-8.19611549377441,0,0
0.29000000,-9.04580974578857,0,0
0.29500000,-9.85351085662842,0,0
0.30000000,-9.76532173156738,0,0
0.30500000,-9.33557415008545,0,0
0.31000000,-8.39768981933594,0,0
0.31500000,-7.90775060653687,0,0
0.32000000,-8.11632537841797,0,0
0.32500000,-8.74204730987549,0,0
0.33000000,-9.38316822052002,0,0
0.33500000,-9.74992370605469,0,0
0.34000000,-9.56234645843506,0,0
0.34500000,-8.60766410827637,0,0
0.35000000,-8.03933429718018,0,0
0.35500000,-7.86295604705811,0,0
0.36000000,-8.80084037780762,0,0
0.36500000,-9.55814743041992,0,0
0.37000000,-9.71072769165039,0,0
0.37500000,-9.23898601531982,0,0
0.38000000,-8.54187202453613,0,0
0.38500000,-7.77476692199707,0,0
0.39000000,-7.69917631149292,0,0
0.39500000,-8.39908981323242,0,0
0.40000000,-9.14659786224365,0,0
0.40500000,-9.45316028594971,0,0
0.41000000,-9.0374116897583,0,0
0.41500000,-8.44388484954834,0,0
0.42000000,-8.04353427886963,0,0
0.42500000,-7.78316593170166,0,0
0.43000000,-8.32069969177246,0,0
0.43500000,-9.38316822052002,0,0
0.44000000,-9.73452568054199,0,0
0.44500000,-9.53015041351318,0,0
0.45000000,-8.65245914459229,0,0
0.45500000,-7.91894912719727,0,0
0.46000000,-7.82236099243164,0,0
0.46500000,-8.31929969787598,0,0
0.47000000,-9.00801467895508,0,0
0.47500000,-9.54554843902588,0,0
0.48000000,-9.26278305053711,0,0
0.48500000,-8.60766410827637,0,0
0.49000000,-8.09672737121582,0,0
0.49500000,-7.93574714660644,0,0
0.50000000,-8.22271156311035,0,0
0.50500000,-8.95902061462402,0,0
0.51000000,-9.6645336151123,0,0
0.51500000,-9.73312568664551,0,0
0.52000000,-8.9534215927124,0,0
0.52500000,-8.14432144165039,0,0
0.53000000,-7.75236988067627,0,0
0.53500000,-8.0757303237915,0,0
0.54000000,-8.75604629516602,0,0
0.54500000,-9.39576721191406,0,0
0.55000000,-9.70792865753174,0,0
0.55500000,-9.06120872497559,0,0
0.56000000,-8.29830265045166,0,0
0.56500000,-7.85455703735352,0,0
0.57000000,-8.07852935791016,0,0
0.57500000,-8.9534215927124,0,0
0.58000000,-9.4839563369751,0,0
0.58500000,-9.63373756408691,0,0
0.59000000,-9.1200008392334,0,0
0.59500000,-8.25630760192871,0,0
0.60000000,-7.90075159072876,0,0
0.60500000,-7.98614120483398,0,0
0.61000000,-8.52367496490478,0,0
0.61500000,-9.32297611236572,0,0
0.62000000,-9.52035140991211,0,0
0.62500000,-9.29497909545898,0,0
0.63000000,-8.53627300262451,0,0
0.63500000,-7.94554615020752,0,0
