Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-8.21711254119873,0,0
0.00500000,-7.71877384185791,0,0
0.01000000,-7.40801239013672,0,0
0.01500000,-7.4738039970398,0,0
0.02000000,-7.71317481994629,0,0
0.02500000,-8.06033134460449,0,0
0.03000000,-8.10232639312744,0,0
0.03500000,-7.95534467697144,0,0
0.04000000,-7.60958766937256,0,0
0.04500000,-7.24003314971924,0,0
0.05000000,-7.50180053710937,0,0
0.05500000,-7.71037483215332,0,0
0.06000000,-7.92734813690186,0,0
0.06500000,-8.20031452178955,0,0
0.07000000,-8.10372638702393,0,0
0.07500000,-7.72437334060669,0,0
0.08000000,-7.60258817672729,0,0
0.08500000,-7.58859014511108,0,0
0.09000000,-7.60678768157959,0,0
0.09500000,-7.75236988067627,0,0
0.10000000,-7.94414615631103,0,0
0.10500000,-8.04353427886963,0,0
0.11000000,-7.53399658203125,0,0
0.11500000,-7.40521287918091,0,0
0.12000000,-7.44580745697021,0,0
0.12500000,-7.53119707107544,0,0
0.13000000,-7.8671555519104,0,0
0.13500000,-7.97774219512939,0,0
0.14000000,-7.8671555519104,0,0
0.14500000,-8.04353427886963,0,0
0.15000000,-7.73277235031128,0,0
0.15500000,-7.47800350189209,0,0
0.16000000,-7.60398817062378,0,0
0.16500000,-8.07153034210205,0,0
0.17000000,-8.1807165145874,0,0
0.17500000,-7.88955307006836,0,0
0.18000000,-7.69077730178833,0,0
0.18500000,-7.78876543045044,0,0
0.19000000,-7.73277235031128,0,0
0.19500000,-7.91894912719727,0,0
0.20000000,-7.86575603485107,0,0
0.20500000,-8.16391944885254,0,0
0.21000000,-8.33329772949219,0,0
0.21500000,-7.85315752029419,0,0
0.22000000,-7.51999855041504,0,0
0.22500000,-7.56759262084961,0,0
0.23000000,-7.78456592559814,0,0
0.23500000,-7.76216840744019,0,0
0.24000000,-7.94974565505981,0,0
0.24500000,-8.06453132629395,0,0
0.25000000,-7.91195011138916,0,0
0.25500000,-7.63478422164917,0,0
0.26000000,-7.51579904556274,0,0
0.26500000,-7.42760992050171,0,0
0.27000000,-8.12192440032959,0,0
0.27500000,-8.42288684844971,0,0
0.28000000,-8.35149574279785,0,0
0.28500000,-8.08132934570312,0,0
0.29000000,-7.79016494750977,0,0
0.29500000,-7.52839756011963,0,0
0.30000000,-7.59558916091919,0,0
0.30500000,-7.8293604850769,0,0
0.31000000,-8.27310562133789,0,0
0.31500000,-8.3248987197876,0,0
0.32000000,-8.31090068817139,0,0
0.32500000,-7.85455703735352,0,0
0.33000000,-7.61238718032837,0,0
0.33500000,-7.77476692199707,0,0
0.34000000,-8.17231845855713,0,0
0.34500000,-8.31929969787598,0,0
0.35000000,-8.43408584594727,0,0
0.35500000,-7.9959397315979,0,0
0.36000000,-7.69917631149292,0,0
0.36500000,-7.82516098022461,0,0
0.37000000,-7.67397928237915,0,0
0.37500000,-7.64038372039795,0,0
0.38000000,-8.23251056671143,0,0
0.38500000,-8.42288684844971,0,0
0.39000000,-7.90495109558105,0,0
0.39500000,-7.5941891670227,0,0
0.40000000,-7.72857284545898,0,0
0.40500000,-7.85875654220581,0,0
