Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-9.42936325073242,0,0
0.00500000,-9.78071975708008,0,0
0.01000000,-9.73452568054199,0,0
0.01500000,-9.2711820602417,0,0
0.02000000,-9.07800579071045,0,0
0.02500000,-9.05420875549316,0,0
0.03000000,-9.49515438079834,0,0
0.03500000,-9.91090393066406,0,0
0.04000000,-9.9151029586792,0,0
0.04500000,-9.9375,0,0
0.05000000,-9.37476921081543,0,0
0.05500000,-9.02621269226074,0,0
0.06000000,-8.76864433288574,0,0
0.06500000,-9.13399887084961,0,0
0.07000000,-9.78911876678467,0,0
0.07500000,-10.1964683532715,0,0
0.08000000,-10.0410871505737,0,0
0.08500000,-9.48815536499023,0,0
0.09000000,-9.37896919250488,0,0
0.09500000,-9.77651977539063,0,0
0.10000000,-9.96969604492188,0,0
0.10500000,-10.3350515365601,0,0
0.11000000,-10.5450248718262,0,0
0.11500000,-10.6024179458618,0,0
0.12000000,-9.93330097198486,0,0
0.12500000,-9.64633655548096,0,0
0.13000000,-9.52735042572022,0,0
0.13500000,-9.72892570495606,0,0
0.14000000,-10.1642723083496,0,0
0.14500000,-10.3574485778809,0,0
0.15000000,-10.2902565002441,0,0
0.15500000,-9.7863187789917,0,0
0.16000000,-9.45316028594971,0,0
0.16500000,-9.61414051055908,0,0
0.17000000,-9.97949504852295,0,0
0.17500000,-10.0998802185059,0,0
0.18000000,-10.197868347168,0,0
0.18500000,-10.1684713363647,0,0
0.19000000,-9.77931976318359,0,0
0.19500000,-9.34957313537598,0,0
0.20000000,-9.29917907714844,0,0
0.20500000,-9.5665454864502,0,0
0.21000000,-9.99769306182861,0,0
0.21500000,-10.4078416824341,0,0
0.22000000,-10.322452545166,0,0
0.22500000,-9.9752950668335,0,0
0.23000000,-9.86050987243652,0,0
0.23500000,-9.52175140380859,0,0
0.24000000,-10.155873298645,0,0
0.24500000,-10.4470376968384,0,0
0.25000000,-10.5478248596191,0,0
0.25500000,-10.6724090576172,0,0
0.26000000,-10.2048673629761,0,0
0.26500000,-9.71212768554687,0,0
0.27000000,-9.70792865753174,0,0
0.27500000,-9.52035140991211,0,0
0.28000000,-10.0018920898438,0,0
0.28500000,-10.4078416824341,0,0
0.29000000,-10.3364505767822,0,0
0.29500000,-10.0732831954956,0,0
0.30000000,-9.85630989074707,0,0
0.30500000,-9.65053558349609,0,0
0.31000000,-9.86750888824463,0,0
0.31500000,-9.94869899749756,0,0
0.32000000,-9.98789405822754,0,0
0.32500000,-10.155873298645,0,0
0.33000000,-10.0858821868896,0,0
0.33500000,-9.6421365737915,0,0
0.34000000,-9.55394744873047,0,0
0.34500000,-9.47135734558105,0,0
0.35000000,-10.0200901031494,0,0
0.35500000,-10.4386386871338,0,0
0.36000000,-10.7242031097412,0,0
0.36500000,-10.2902565002441,0,0
0.37000000,-9.98509407043457,0,0
0.37500000,-9.85071086883545,0,0
0.38000000,-9.96969604492188,0,0
0.38500000,-10.2846574783325,0,0
0.39000000,-10.4540367126465,0,0
0.39500000,-10.788595199585,0,0
0.40000000,-10.5072298049927,0,0
0.40500000,-9.99909210205078,0,0
0.41000000,-9.64633655548096,0,0
0.41500000,-9.62953853607178,0,0
0.42000000,-9.93889999389648,0,0
0.42500000,-10.2090663909912,0,0
0.43000000,-10.4568357467651,0,0
0.43500000,-10.3826456069946,0,0
0.44000000,-9.88570690155029,0,0
0.44500000,-9.62393856048584,0,0
0.45000000,-9.57774448394775,0,0
0.45500000,-9.88850593566895,0,0
0.46000000,-10.2944564819336,0,0
0.46500000,-10.3630475997925,0,0
0.47000000,-10.3812456130981,0,0
0.47500000,-9.86050987243652,0,0
0.48000000,-9.4839563369751,0,0
0.48500000,-9.37337017059326,0,0
0.49000000,-9.770920753479,0,0
0.49500000,-10.3994436264038,0,0
0.50000000,-10.6668100357056,0,0
0.50500000,-10.5814208984375,0,0
0.51000000,-10.286057472229,0,0
0.51500000,-10.0032920837402,0,0
0.52000000,-10.0872812271118,0,0
0.52500000,-10.2552614212036,0,0
0.53000000,-10.4512367248535,0,0
0.53500000,-10.6234159469604,0,0
0.54000000,-10.6808080673218,0,0
0.54500000,-10.2510614395142,0,0
0.55000000,-9.84231185913086,0,0
0.55500000,-9.57634449005127,0,0
0.56000000,-9.66873359680176,0,0
0.56500000,-10.2608604431152,0,0
0.57000000,-10.622015953064,0,0
0.57500000,-10.4092416763306,0,0
0.58000000,-10.0900812149048,0,0
0.58500000,-9.72192668914795,0,0
0.59000000,-9.6575345993042,0,0
0.59500000,-10.0942811965942,0,0
0.60000000,-10.0900812149048,0,0
0.60500000,-10.3686466217041,0,0
0.61000000,-10.5856199264526,0,0
0.61500000,-10.2790584564209,0,0
0.62000000,-9.72052669525146,0,0
0.62500000,-9.42796325683594,0,0
0.63000000,-9.78911876678467,0,0
0.63500000,-10.3504495620728,0,0
0.64000000,-10.7424011230469,0,0
0.64500000,-10.8711853027344,0,0
0.65000000,-10.4568357467651,0,0
0.65500000,-10.0060920715332,0,0
0.66000000,-10.0032920837402,0,0
0.66500000,-10.0984802246094,0,0
0.67000000,-10.5884199142456,0,0
0.67500000,-10.7424011230469,0,0
0.68000000,-10.7549991607666,0,0
0.68500000,-10.3854446411133,0,0
0.69000000,-9.67573261260986,0,0
0.69500000,-9.54134941101074,0,0
0.70000000,-9.58614349365234,0,0
0.70500000,-10.0718832015991,0,0
0.71000000,-10.6906070709229,0,0
0.71500000,-10.4694347381592,0,0
0.72000000,-10.2790584564209,0,0
0.72500000,-9.77511978149414,0,0
0.73000000,-9.47695732116699,0,0
0.73500000,-9.80451679229736,0,0
0.74000000,-10.0914812088013,0,0
0.74500000,-10.325252532959,0,0
0.75000000,-10.6402130126953,0,0
0.75500000,-10.1502742767334,0,0
0.76000000,-9.7485237121582,0,0
0.76500000,-9.36917018890381,0,0
0.77000000,-9.4909553527832,0,0
0.77500000,-10.4876327514648,0,0
0.78000000,-10.8627862930298,0,0
0.78500000,-10.9187793731689,0,0
0.79000000,-10.5016307830811,0,0
0.79500000,-9.95569801330566,0,0
0.80000000,-9.93330097198486,0,0
0.80500000,-10.104079246521,0,0
0.81000000,-10.4932317733765,0,0
0.81500000,-10.3672475814819,0,0
0.82000000,-10.5352268218994,0,0
0.82500000,-10.322452545166,0,0
0.83000000,-9.64633655548096,0,0
0.83500000,-9.39156723022461,0,0
0.84000000,-9.4839563369751,0,0
0.84500000,-9.86890888214111,0,0
0.85000000,-10.4246397018433,0,0
0.85500000,-10.6262149810791,0,0
0.86000000,-10.1782703399658,0,0
0.86500000,-9.75692272186279,0,0
0.87000000,-9.57354545593262,0,0
0.87500000,-9.81851482391357,0,0
0.88000000,-10.1236772537231,0,0
0.88500000,-10.2706594467163,0,0
0.89000000,-10.5520238876343,0,0
0.89500000,-10.2552614212036,0,0
0.90000000,-9.8087158203125,0,0
0.90500000,-9.38876819610596,0,0
0.91000000,-9.52735042572022,0,0
0.91500000,-9.97109603881836,0,0
0.92000000,-10.5674228668213,0,0
0.92500000,-10.8529872894287,0,0
0.93000000,-10.5072298049927,0,0
0.93500000,-10.0200901031494,0,0
0.94000000,-9.76112174987793,0,0
0.94500000,-9.77651977539063,0,0
0.95000000,-10.0802822113037,0,0
0.95500000,-10.1782703399658,0,0
0.96000000,-10.3910446166992,0,0
0.96500000,-10.246862411499,0,0
0.97000000,-9.74292373657227,0,0
0.97500000,-9.32857513427734,0,0
0.98000000,-9.37057018280029,0,0
0.98500000,-9.84931087493896,0,0
0.99000000,-10.3868446350098,0,0
0.99500000,-10.4876327514648,0,0
1.00000000,-10.1698713302612,0,0
1.00500000,-9.73592472076416,0,0
1.01000000,-9.48815536499023,0,0
1.01500000,-9.75272274017334,0,0
1.02000000,-9.99349308013916,0,0
1.02500000,-10.0760831832886,0,0
1.03000000,-10.4512367248535,0,0
1.03500000,-10.2188653945923,0,0
1.04000000,-9.70652866363525,0,0
1.04500000,-9.40976524353027,0,0
1.05000000,-9.25298500061035,0,0
1.05500000,-9.86890888214111,0,0
1.06000000,-10.5114297866821,0,0
1.06500000,-10.7088050842285,0,0
1.07000000,-10.6416130065918,0,0
1.07500000,-9.87450790405273,0,0
1.08000000,-9.59454250335693,0,0
1.08500000,-9.66593360900879,0,0
1.09000000,-9.80031681060791,0,0
1.09500000,-10.1012802124023,0,0
1.10000000,-10.3070545196533,0,0
1.10500000,-10.1936683654785,0,0
1.11000000,-9.44756031036377,0,0
1.11500000,-9.0822057723999,0,0
1.12000000,-8.95762062072754,0,0
1.12500000,-9.30617809295654,0,0
1.13000000,-10.1866693496704,0,0
1.13500000,-10.4974308013916,0,0
1.14000000,-10.1628723144531,0,0
1.14500000,-9.75832271575928,0,0
1.15000000,-9.50215435028076,0,0
1.15500000,-9.43076229095459,0,0
1.16000000,-9.8087158203125,0,0
1.16500000,-10.1124782562256,0,0
1.17000000,-10.4736337661743,0,0
1.17500000,-10.3952436447144,0,0
1.18000000,-9.83951187133789,0,0
1.18500000,-9.44756031036377,0,0
1.19000000,-9.42376327514648,0,0
1.19500000,-9.77931976318359,0,0
1.20000000,-10.3532485961914,0,0
1.20500000,-10.7759971618652,0,0
1.21000000,-10.5198278427124,0,0
1.21500000,-9.88850593566895,0,0
1.22000000,-9.55394744873047,0,0
1.22500000,-9.679931640625,0,0
1.23000000,-9.89690494537353,0,0
1.23500000,-10.2062673568726,0,0
1.24000000,-10.4638347625732,0,0
1.24500000,-10.325252532959,0,0
1.25000000,-9.79471778869629,0,0
1.25500000,-9.25718402862549,0,0
1.26000000,-9.02761268615723,0,0
1.26500000,-9.4839563369751,0,0
1.27000000,-9.97949504852295,0,0
1.27500000,-10.5562238693237,0,0
1.28000000,-10.3924436569214,0,0
1.28500000,-9.86330890655518,0,0
1.29000000,-9.41676425933838,0,0
1.29500000,-9.60994052886963,0,0
1.30000000,-9.90670394897461,0,0
1.30500000,-9.9528980255127,0,0
1.31000000,-10.3714466094971,0,0
1.31500000,-10.3686466217041,0,0
1.32000000,-9.88150691986084,0,0
1.32500000,-9.38316822052002,0,0
1.33000000,-9.25998401641846,0,0
1.33500000,-9.51755237579346,0,0
1.34000000,-10.3952436447144,0,0
1.34500000,-10.6822080612183,0,0
1.35000000,-10.489031791687,0,0
1.35500000,-9.99909210205078,0,0
1.36000000,-9.38876819610596,0,0
1.36500000,-9.28658008575439,0,0
1.37000000,-9.6575345993042,0,0
1.37500000,-9.96129703521729,0,0
1.38000000,-10.158673286438,0,0
1.38500000,-9.88710594177246,0,0
1.39000000,-9.54414844512939,0,0
1.39500000,-8.91282653808594,0,0
1.40000000,-8.88902950286865,0,0
1.40500000,-9.35237216949463,0,0
1.41000000,-9.8773078918457,0,0
1.41500000,-9.90110492706299,0,0
1.42000000,-9.9752950668335,0,0
1.42500000,-9.53994941711426,0,0
1.43000000,-9.18579292297363,0,0
1.43500000,-9.21378993988037,0,0
1.44000000,-9.61134052276611,0,0
1.44500000,-9.770920753479,0,0
1.45000000,-10.0578851699829,0,0
1.45500000,-9.92350196838379,0,0
1.46000000,-9.61414051055908,0,0
1.46500000,-9.24458599090576,0,0
1.47000000,-9.05420875549316,0,0
1.47500000,-9.15779685974121,0,0
1.48000000,-9.78491878509522,0,0
1.48500000,-10.3308515548706,0,0
1.49000000,-10.4190406799316,0,0
1.49500000,-9.71632766723633,0,0
1.50000000,-9.28658008575439,0,0
1.50500000,-9.09340476989746,0,0
1.51000000,-9.27678203582764,0,0
1.51500000,-9.47415733337402,0,0
1.52000000,-9.70092964172363,0,0
1.52500000,-9.83951187133789,0,0
1.53000000,-9.41536426544189,0,0
1.53500000,-8.83443641662598,0,0
1.54000000,-8.65385818481445,0,0
1.54500000,-8.77004432678223,0,0
1.55000000,-9.36357116699219,0,0
1.55500000,-9.89130592346191,0,0
1.56000000,-10.1222772598267,0,0
1.56500000,-9.66593360900879,0,0
1.57000000,-9.08780479431152,0,0
1.57500000,-8.8624324798584,0,0
1.58000000,-9.07240676879883,0,0
1.58500000,-9.4069652557373,0,0
1.59000000,-9.76812076568604,0,0
1.59500000,-10.0858821868896,0,0
1.60000000,-9.56934547424316,0,0
1.60500000,-8.88762950897217,0,0
1.61000000,-8.73924827575684,0,0
1.61500000,-8.87783050537109,0,0
1.62000000,-9.42376327514648,0,0
1.62500000,-9.87870788574219,0,0
1.63000000,-9.94729900360107,0,0
1.63500000,-9.76252174377441,0,0
