Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-8.63566112518311,0,0
0.00500000,-8.77704334259033,0,0
0.01000000,-8.73924827575684,0,0
0.01500000,-8.65665817260742,0,0
0.02000000,-8.69865322113037,0,0
0.02500000,-8.70845222473145,0,0
0.03000000,-8.62026309967041,0,0
0.03500000,-8.85263442993164,0,0
0.04000000,-8.8246374130249,0,0
0.04500000,-8.75044631958008,0,0
0.05000000,-8.84143543243408,0,0
0.05500000,-8.88483047485352,0,0
0.06000000,-8.76724433898926,0,0
0.06500000,-8.86103343963623,0,0
0.07000000,-8.79944038391113,0,0
0.07500000,-8.84843444824219,0,0
0.08000000,-8.8624324798584,0,0
0.08500000,-8.89462852478027,0,0
0.09000000,-8.8022403717041,0,0
0.09500000,-8.71265125274658,0,0
0.10000000,-8.85963344573975,0,0
0.10500000,-8.91142654418945,0,0
0.11000000,-8.85963344573975,0,0
0.11500000,-8.91982555389404,0,0
0.12000000,-8.59786510467529,0,0
0.12500000,-8.61606311798096,0,0
0.13000000,-8.56147003173828,0,0
0.13500000,-8.71265125274658,0,0
0.14000000,-8.87363147735596,0,0
0.14500000,-8.95762062072754,0,0
0.15000000,-8.78824234008789,0,0
0.15500000,-8.70285224914551,0,0
0.16000000,-8.74064826965332,0,0
0.16500000,-8.76864433288574,0,0
0.17000000,-8.78684234619141,0,0
0.17500000,-8.89322948455811,0,0
0.18000000,-9.01361465454102,0,0
0.18500000,-8.83303642272949,0,0
0.19000000,-8.88762950897217,0,0
0.19500000,-8.87363147735596,0,0
0.20000000,-8.93522357940674,0,0
0.20500000,-9.01501369476318,0,0
0.21000000,-9.02201271057129,0,0
0.21500000,-9.02341270446777,0,0
0.22000000,-8.78264236450195,0,0
0.22500000,-8.75324630737305,0,0
0.23000000,-8.66785717010498,0,0
0.23500000,-8.98421764373779,0,0
0.24000000,-8.94782257080078,0,0
0.24500000,-9.02341270446777,0,0
0.25000000,-8.93522357940674,0,0
0.25500000,-9.02201271057129,0,0
0.26000000,-8.84563446044922,0,0
0.26500000,-8.86523246765137,0,0
0.27000000,-8.96322059631348,0,0
0.27500000,-8.93522357940674,0,0
0.28000000,-9.12420082092285,0,0
0.28500000,-9.01921367645264,0,0
0.29000000,-8.89742851257324,0,0
0.29500000,-8.90162754058838,0,0
0.30000000,-8.79104137420654,0,0
0.30500000,-8.89462852478027,0,0
0.31000000,-8.87783050537109,0,0
0.31500000,-9.11160182952881,0,0
0.32000000,-8.93382358551025,0,0
0.32500000,-8.95762062072754,0,0
0.33000000,-8.84843444824219,0,0
0.33500000,-8.77004432678223,0,0
0.34000000,-8.76864433288574,0,0
0.34500000,-8.59226608276367,0,0
0.35000000,-8.7182502746582,0,0
0.35500000,-8.80084037780762,0,0
0.36000000,-8.78684234619141,0,0
0.36500000,-8.87083148956299,0,0
0.37000000,-8.76724433898926,0,0
0.37500000,-8.66365718841553,0,0
0.38000000,-8.78824234008789,0,0
0.38500000,-8.79944038391113,0,0
0.39000000,-8.82743740081787,0,0
0.39500000,-9.06820774078369,0,0
0.40000000,-8.92122554779053,0,0
0.40500000,-8.83863544464111,0,0
0.41000000,-8.76024532318115,0,0
0.41500000,-8.76024532318115,0,0
0.42000000,-8.77424335479736,0,0
0.42500000,-9.02341270446777,0,0
0.43000000,-9.1200008392334,0,0
0.43500000,-8.9688196182251,0,0
0.44000000,-8.99961566925049,0,0
0.44500000,-8.83163642883301,0,0
0.45000000,-8.71685123443603,0,0
0.45500000,-8.62166213989258,0,0
0.46000000,-8.76304531097412,0,0
0.46500000,-8.98001861572266,0,0
0.47000000,-8.95202159881592,0,0
0.47500000,-8.85683345794678,0,0
0.48000000,-8.63566112518311,0,0
0.48500000,-8.54047298431396,0,0
0.49000000,-8.53627300262451,0,0
0.49500000,-8.68605422973633,0,0
0.50000000,-8.85963344573975,0,0
0.50500000,-9.06120872497559,0,0
0.51000000,-8.98561763763428,0,0
0.51500000,-8.98981666564941,0,0
0.52000000,-8.95902061462402,0,0
0.52500000,-8.8022403717041,0,0
0.53000000,-8.77844333648682,0,0
0.53500000,-8.87363147735596,0,0
0.54000000,-9.02761268615723,0,0
0.54500000,-9.05140972137451,0,0
0.55000000,-9.03181171417236,0,0
0.55500000,-8.86943244934082,0,0
0.56000000,-8.74484729766846,0,0
0.56500000,-8.69865322113037,0,0
0.57000000,-8.83163642883301,0,0
0.57500000,-8.98001861572266,0,0
0.58000000,-9.13819885253906,0,0
0.58500000,-8.97161960601807,0,0
0.59000000,-8.78824234008789,0,0
0.59500000,-8.69865322113037,0,0
0.60000000,-8.57966804504394,0,0
0.60500000,-8.71685123443603,0,0
0.61000000,-9.02761268615723,0,0
0.61500000,-9.00521564483643,0,0
0.62000000,-8.90582752227783,0,0
0.62500000,-8.80643939971924,0,0
0.63000000,-8.78124332427978,0,0
0.63500000,-8.5894660949707,0,0
0.64000000,-8.76724433898926,0,0
0.64500000,-9.00101566314697,0,0
0.65000000,-9.0598087310791,0,0
0.65500000,-9.00381565093994,0,0
0.66000000,-8.84283542633057,0,0
0.66500000,-8.63006114959717,0,0
0.67000000,-8.64825916290283,0,0
0.67500000,-8.73924827575684,0,0
0.68000000,-8.9912166595459,0,0
0.68500000,-9.04441070556641,0,0
0.69000000,-9.01501369476318,0,0
0.69500000,-8.76304531097412,0,0
0.70000000,-8.60766410827637,0,0
0.70500000,-8.55027103424072,0,0
0.71000000,-8.49147891998291,0,0
0.71500000,-8.60066509246826,0,0
0.72000000,-8.65245914459229,0,0
0.72500000,-8.71405124664307,0,0
0.73000000,-8.49707794189453,0,0
0.73500000,-8.73084926605225,0,0
0.74000000,-8.43408584594727,0,0
0.74500000,-8.54327201843262,0,0
0.75000000,-8.74064826965332,0,0
0.75500000,-8.89182949066162,0,0
0.76000000,-8.78824234008789,0,0
0.76500000,-8.79104137420654,0,0
0.77000000,-8.6440601348877,0,0
0.77500000,-8.61606311798096,0,0
0.78000000,-8.63286113739014,0,0
0.78500000,-8.59786510467529,0,0
0.79000000,-8.92962455749512,0,0
0.79500000,-8.9534215927124,0,0
0.80000000,-8.9912166595459,0,0
0.80500000,-8.74064826965332,0,0
0.81000000,-8.62166213989258,0,0
0.81500000,-8.50827693939209,0,0
0.82000000,-8.62166213989258,0,0
0.82500000,-8.78824234008789,0,0
0.83000000,-8.71265125274658,0,0
0.83500000,-8.70705223083496,0,0
0.84000000,-8.628662109375,0,0
0.84500000,-8.47188091278076,0,0
0.85000000,-8.59366607666016,0,0
0.85500000,-8.59226608276367,0,0
0.86000000,-8.78124332427978,0,0
0.86500000,-8.88343048095703,0,0
0.87000000,-8.84563446044922,0,0
0.87500000,-8.68605422973633,0,0
0.88000000,-8.50127696990967,0,0
0.88500000,-8.61606311798096,0,0
0.89000000,-8.67205619812012,0,0
0.89500000,-8.87923049926758,0,0
0.90000000,-8.88063049316406,0,0
0.90500000,-8.78264236450195,0,0
0.91000000,-8.52507400512695,0,0
0.91500000,-8.35149574279785,0,0
0.92000000,-8.3934907913208,0,0
0.92500000,-8.37529277801514,0,0
0.93000000,-8.65245914459229,0,0
0.93500000,-8.82323741912842,0,0
0.94000000,-8.70005321502686,0,0
0.94500000,-8.43548583984375,0,0
0.95000000,-8.2647066116333,0,0
0.95500000,-8.30670166015625,0,0
0.96000000,-8.14012241363525,0,0
0.96500000,-8.4158878326416,0,0
0.97000000,-8.55727005004883,0,0
0.97500000,-8.57126903533935,0,0
0.98000000,-8.4536828994751,0,0
0.98500000,-8.23810958862305,0,0
0.99000000,-8.05753231048584,0,0
0.99500000,-8.1807165145874,0,0
1.00000000,-8.38369178771973,0,0
