Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.34362030029297,0,0
0.00500000,-7.58998966217041,0,0
0.01000000,-8.14432144165039,0,0
0.01500000,-8.280104637146,0,0
0.02000000,-8.02393627166748,0,0
0.02500000,-7.70617532730103,0,0
0.03000000,-7.68797779083252,0,0
0.03500000,-7.81676197052002,0,0
0.04000000,-8.10372638702393,0,0
0.04500000,-8.42988586425781,0,0
0.05000000,-8.30530166625977,0,0
0.05500000,-8.17791748046875,0,0
0.06000000,-7.74257087707519,0,0
0.06500000,-7.80836296081543,0,0
0.07000000,-8.08972835540771,0,0
0.07500000,-8.21711254119873,0,0
0.08000000,-7.97914171218872,0,0
0.08500000,-7.9581446647644,0,0
0.09000000,-7.58998966217041,0,0
0.09500000,-7.8405590057373,0,0
0.10000000,-7.96374368667603,0,0
0.10500000,-8.18911552429199,0,0
0.11000000,-8.06173133850098,0,0
0.11500000,-7.73417186737061,0,0
0.12000000,-7.57039213180542,0,0
0.12500000,-7.75656938552856,0,0
0.13000000,-7.99314022064209,0,0
0.13500000,-8.39768981933594,0,0
0.14000000,-8.19191551208496,0,0
0.14500000,-7.95114517211914,0,0
0.15000000,-7.67397928237915,0,0
0.15500000,-7.48780250549316,0,0
0.16000000,-7.65578174591064,0,0
0.16500000,-8.11632537841797,0,0
0.17000000,-8.30530166625977,0,0
0.17500000,-8.25630760192871,0,0
0.18000000,-7.69497680664062,0,0
0.18500000,-7.43740892410278,0,0
0.19000000,-7.42341041564941,0,0
0.19500000,-7.98334121704102,0,0
0.20000000,-8.10372638702393,0,0
0.20500000,-8.06033134460449,0,0
0.21000000,-7.97494220733643,0,0
0.21500000,-7.7159743309021,0,0
0.22000000,-7.53959608078003,0,0
0.22500000,-7.7271728515625,0,0
0.23000000,-8.02533626556397,0,0
0.23500000,-8.08832836151123,0,0
0.24000000,-7.89935159683228,0,0
0.24500000,-7.68097877502441,0,0
0.25000000,-7.52419805526733,0,0
0.25500000,-7.71037483215332,0,0
0.26000000,-7.95114517211914,0,0
0.26500000,-8.0071382522583,0,0
0.27000000,-7.75936889648438,0,0
0.27500000,-7.59138965606689,0,0
0.28000000,-7.50180053710937,0,0
0.28500000,-7.62358570098877,0,0
0.29000000,-8.00993824005127,0,0
0.29500000,-8.04353427886963,0,0
0.30000000,-7.91335010528564,0,0
0.30500000,-7.5605936050415,0,0
0.31000000,-7.26942920684814,0,0
0.31500000,-7.45140695571899,0,0
0.32000000,-7.86155652999878,0,0
0.32500000,-8.1359224319458,0,0
0.33000000,-7.94554615020752,0,0
0.33500000,-7.50040102005005,0,0
0.34000000,-7.35761833190918,0,0
0.34500000,-7.38561487197876,0,0
0.35000000,-7.60258817672729,0,0
0.35500000,-8.05333232879639,0,0
0.36000000,-8.14852046966553,0,0
0.36500000,-7.93994665145874,0,0
0.37000000,-7.59138965606689,0,0
0.37500000,-7.40801239013672,0,0
0.38000000,-7.69917631149292,0,0
0.38500000,-7.89095258712769,0,0
0.39000000,-7.99733972549438,0,0
0.39500000,-8.01973724365234,0,0
0.40000000,-7.78036642074585,0,0
0.40500000,-7.72437334060669,0,0
0.41000000,-7.57739162445068,0,0
0.41500000,-7.83076000213623,0,0
0.42000000,-8.00433826446533,0,0
0.42500000,-7.92174911499023,0,0
0.43000000,-7.99174022674561,0,0
0.43500000,-7.69637680053711,0,0
0.44000000,-7.75236988067627,0,0
0.44500000,-8.04213428497314,0,0
0.45000000,-8.14992046356201,0,0
0.45500000,-7.98194169998169,0,0
0.46000000,-7.76216840744019,0,0
0.46500000,-7.7271728515625,0,0
0.47000000,-7.65998125076294,0,0
0.47500000,-8.01553726196289,0,0
0.48000000,-8.26610660552979,0,0
0.48500000,-8.27870464324951,0,0
0.49000000,-7.80276346206665,0,0
0.49500000,-7.79296493530273,0,0
0.50000000,-7.36181783676147,0,0
0.50500000,-7.88115406036377,0,0
0.51000000,-8.07852935791016,0,0
0.51500000,-8.11212539672852,0,0
0.52000000,-7.77336740493774,0,0
0.52500000,-7.56619262695313,0,0
0.53000000,-7.43320941925049,0,0
0.53500000,-7.61798620223999,0,0
0.54000000,-7.83635950088501,0,0
0.54500000,-8.17791748046875,0,0
0.55000000,-8.00993824005127,0,0
0.55500000,-7.75656938552856,0,0
0.56000000,-7.45700645446777,0,0
0.56500000,-7.36881732940674,0,0
0.57000000,-7.62638521194458,0,0
0.57500000,-7.98754072189331,0,0
0.58000000,-7.85875654220581,0,0
0.58500000,-7.71037483215332,0,0
0.59000000,-7.42900991439819,0,0
0.59500000,-7.56339311599731,0,0
0.60000000,-7.58579015731812,0,0
0.60500000,-7.84755802154541,0,0
0.61000000,-7.8713550567627,0,0
0.61500000,-7.49620151519775,0,0
0.62000000,-7.31142425537109,0,0
0.62500000,-7.38981437683105,0,0
0.63000000,-7.62218570709229,0,0
0.63500000,-7.80696296691895,0,0
0.64000000,-7.79716444015503,0,0
0.64500000,-7.47940349578857,0,0
0.65000000,-7.29462623596191,0,0
0.65500000,-7.18264007568359,0,0
0.66000000,-7.43740892410278,0,0
0.66500000,-7.81676197052002,0,0
0.67000000,-8.06593132019043,0,0
0.67500000,-7.64878273010254,0,0
0.68000000,-7.4430079460144,0,0
0.68500000,-7.21063661575317,0,0
0.69000000,-7.27502870559692,0,0
0.69500000,-7.75516939163208,0,0
0.70000000,-7.96794319152832,0,0
0.70500000,-7.89935159683228,0,0
0.71000000,-7.57039213180542,0,0
0.71500000,-7.30442523956299,0,0
0.72000000,-7.22883462905884,0,0
0.72500000,-7.45980596542358,0,0
0.73000000,-7.95954418182373,0,0
0.73500000,-7.78736543655395,0,0
0.74000000,-7.92594861984253,0,0
0.74500000,-7.35341882705688,0,0
0.75000000,-7.22883462905884,0,0
0.75500000,-7.56199312210083,0,0
0.76000000,-7.77476692199707,0,0
0.76500000,-7.67257976531982,0,0
0.77000000,-7.64178323745727,0,0
0.77500000,-7.6137866973877,0,0
0.78000000,-7.58859014511108,0,0
0.78500000,-7.51579904556274,0,0
0.79000000,-7.76496839523315,0,0
0.79500000,-7.81256246566772,0,0
0.80000000,-7.69077730178833,0,0
0.80500000,-7.36741733551025,0,0
0.81000000,-7.22603464126587,0,0
0.81500000,-7.5605936050415,0,0
0.82000000,-7.82656049728394,0,0
0.82500000,-7.83635950088501,0,0
0.83000000,-7.37301683425903,0,0
0.83500000,-7.21203660964966,0,0
0.84000000,-7.38701486587524,0,0
0.84500000,-7.37161684036255,0,0
0.85000000,-7.76496839523315,0,0
0.85500000,-7.98614120483398,0,0
0.86000000,-7.88675308227539,0,0
0.86500000,-7.25263166427612,0,0
0.87000000,-7.37301683425903,0,0
0.87500000,-7.31142425537109,0,0
0.88000000,-7.32262277603149,0,0
0.88500000,-7.85455703735352,0,0
