Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-4.13241672515869,0,0
0.00500000,-4.87292528152466,0,0
0.01000000,-3.1945321559906,0,0
0.01500000,-4.82673072814941,0,0
0.02000000,-4.02043056488037,0,0
0.02500000,-3.99243378639221,0,0
0.03000000,-4.12681722640991,0,0
0.03500000,-4.14781475067139,0,0
0.04000000,-4.28359794616699,0,0
0.04500000,-4.36198806762695,0,0
0.05000000,-3.50389409065247,0,0
0.05500000,-4.59015989303589,0,0
0.06000000,-4.93591737747192,0,0
0.06500000,-3.41990447044373,0,0
0.07000000,-4.07082414627075,0,0
0.07500000,-4.82953071594238,0,0
0.08000000,-3.63687777519226,0,0
0.08500000,-4.97371292114258,0,0
0.09000000,-3.46609878540039,0,0
0.09500000,-4.72314357757568,0,0
0.10000000,-3.86784911155701,0,0
0.10500000,-4.26959943771362,0,0
0.11000000,-3.97143650054932,0,0
0.11500000,-4.24300289154053,0,0
0.12000000,-4.33679151535034,0,0
0.12500000,-4.07222414016724,0,0
0.13000000,-3.88884663581848,0,0
0.13500000,-4.87712478637695,0,0
0.14000000,-4.37178707122803,0,0
0.14500000,-3.91544318199158,0,0
0.15000000,-4.12681722640991,0,0
0.15500000,-4.42917966842651,0,0
0.16000000,-4.26679992675781,0,0
0.16500000,-4.10022068023682,0,0
0.17000000,-4.01623106002808,0,0
0.17500000,-4.49357175827026,0,0
0.18000000,-3.98123526573181,0,0
0.18500000,-3.98543477058411,0,0
0.19000000,-4.19820833206177,0,0
0.19500000,-4.13801574707031,0,0
0.20000000,-4.58456087112427,0,0
0.20500000,-3.23092770576477,0,0
0.21000000,-4.8015341758728,0,0
0.21500000,-4.68254852294922,0,0
0.22000000,-3.35131287574768,0,0
0.22500000,-4.43197965621948,0,0
0.23000000,-4.38578510284424,0,0
0.23500000,-3.96443724632263,0,0
0.24000000,-5.02550649642944,0,0
0.24500000,-3.23512721061707,0,0
0.25000000,-5.02410650253296,0,0
0.25500000,-3.37790966033936,0,0
0.26000000,-4.72454357147217,0,0
0.26500000,-3.66907358169556,0,0
0.27000000,-4.835129737854,0,0
0.27500000,-3.84545183181763,0,0
0.28000000,-4.59435939788818,0,0
0.28500000,-3.26032423973084,0,0
0.29000000,-5.07030057907105,0,0
0.29500000,-4.21080684661865,0,0
0.30000000,-3.77686047554016,0,0
0.30500000,-4.76513862609863,0,0
0.31000000,-4.32279300689697,0,0
0.31500000,-4.64195346832275,0,0
0.32000000,-3.78245973587036,0,0
0.32500000,-4.27239942550659,0,0
0.33000000,-3.94203996658325,0,0
0.33500000,-3.95183873176575,0,0
0.34000000,-3.24072647094727,0,0
0.34500000,-4.37598657608032,0,0
0.35000000,-4.1282172203064,0,0
0.35500000,-3.52349162101746,0,0
0.36000000,-3.25752449035645,0,0
0.36500000,-3.62987852096558,0,0
0.37000000,-4.688148021698,0,0
0.37500000,-2.9033682346344,0,0
0.38000000,-3.98823428153992,0,0
0.38500000,-4.15901327133179,0,0
0.39000000,-3.43810224533081,0,0
0.39500000,-4.50757026672363,0,0
0.40000000,-2.61220407485962,0,0
0.40500000,-4.57196235656738,0,0
0.41000000,-3.77266097068787,0,0
0.41500000,-4.03162908554077,0,0
0.42000000,-3.48849606513977,0,0
0.42500000,-3.92944145202637,0,0
0.43000000,-4.02462959289551,0,0
0.43500000,-3.4576997756958,0,0
0.44000000,-3.07414722442627,0,0
0.44500000,-4.79453468322754,0,0
0.45000000,-4.26959943771362,0,0
0.45500000,-2.57020926475525,0,0
0.46000000,-5.05070304870605,0,0
0.46500000,-3.66627407073975,0,0
0.47000000,-4.18700981140137,0,0
0.47500000,-3.42550373077393,0,0
0.48000000,-4.25700092315674,0,0
0.48500000,-3.22672820091248,0,0
0.49000000,-4.61255741119385,0,0
0.49500000,-3.0335521697998,0,0
0.50000000,-4.72314357757568,0,0
0.50500000,-2.75078701972961,0,0
0.51000000,-4.72454357147217,0,0
0.51500000,-2.19645547866821,0,0
0.52000000,-4.36478805541992,0,0
0.52500000,-4.70074653625488,0,0
0.53000000,-2.56041049957275,0,0
0.53500000,-4.40958213806152,0,0
0.54000000,-3.45350027084351,0,0
0.54500000,-3.44930076599121,0,0
0.55000000,-4.17861080169678,0,0
0.55500000,-2.86977243423462,0,0
0.56000000,-4.85892677307129,0,0
0.56500000,-2.6304018497467,0,0
0.57000000,-4.0218300819397,0,0
0.57500000,-3.3177170753479,0,0
0.58000000,-3.74886393547058,0,0
0.58500000,-3.720867395401,0,0
0.59000000,-3.29951930046082,0,0
0.59500000,-3.43530249595642,0,0
0.60000000,-4.50337076187134,0,0
0.60500000,-2.54221272468567,0,0
0.61000000,-3.65507531166077,0,0
0.61500000,-3.44790101051331,0,0
0.62000000,-3.43810224533081,0,0
0.62500000,-3.78105998039246,0,0
0.63000000,-2.89496922492981,0,0
0.63500000,-4.173011302948,0,0
0.64000000,-2.79278182983398,0,0
0.64500000,-4.33539152145386,0,0
0.65000000,-2.30144238471985,0,0
0.65500000,-4.50757026672363,0,0
0.66000000,-3.22672820091248,0,0
0.66500000,-3.54448914527893,0,0
0.67000000,-3.19733190536499,0,0
0.67500000,-3.55428791046143,0,0
0.68000000,-4.42358064651489,0,0
0.68500000,-2.3616349697113,0,0
0.69000000,-4.173011302948,0,0
0.69500000,-3.15393733978271,0,0
0.70000000,-4.04002809524536,0,0
0.70500000,-2.53381371498108,0,0
0.71000000,-3.93504095077515,0,0
0.71500000,-3.0377516746521,0,0
0.72000000,-3.73906517028809,0,0
0.72500000,-2.42602705955505,0,0
0.73000000,-4.05402612686157,0,0
0.73500000,-3.26732325553894,0,0
0.74000000,-3.77546048164368,0,0
0.74500000,-2.634601354599,0,0
0.75000000,-3.7432644367218,0,0
0.75500000,-3.66627407073975,0,0
0.76000000,-2.93976378440857,0,0
0.76500000,-3.68867135047913,0,0
0.77000000,-3.92944145202637,0,0
0.77500000,-3.68867135047913,0,0
0.78000000,-3.69707036018372,0,0
0.78500000,-2.88517045974731,0,0
0.79000000,-4.00223255157471,0,0
0.79500000,-3.10634303092957,0,0
0.80000000,-3.86364960670471,0,0
0.80500000,-2.7703845500946,0,0
0.81000000,-4.31159448623657,0,0
0.81500000,-2.80678009986877,0,0
0.82000000,-3.72926616668701,0,0
0.82500000,-2.54081296920776,0,0
0.83000000,-4.1282172203064,0,0
0.83500000,-3.65647530555725,0,0
0.84000000,-3.40310645103455,0,0
0.84500000,-3.55568766593933,0,0
0.85000000,-4.03022909164429,0,0
0.85500000,-3.02235341072082,0,0
0.86000000,-3.4618992805481,0,0
0.86500000,-3.28552103042603,0,0
0.87000000,-3.70826888084412,0,0
0.87500000,-3.12034130096436,0,0
0.88000000,-3.4576997756958,0,0
0.88500000,-3.13014030456543,0,0
0.89000000,-4.81973171234131,0,0
0.89500000,-2.4946186542511,0,0
0.90000000,-3.63407802581787,0,0
0.90500000,-3.23512721061707,0,0
0.91000000,-4.36478805541992,0,0
0.91500000,-2.32943892478943,0,0
0.92000000,-4.49357175827026,0,0
0.92500000,-3.058748960495,0,0
0.93000000,-4.11701822280884,0,0
0.93500000,-2.87117218971252,0,0
0.94000000,-3.22112894058228,0,0
0.94500000,-3.78665924072266,0,0
0.95000000,-3.3387143611908,0,0
0.95500000,-3.88324737548828,0,0
0.96000000,-2.84877490997314,0,0
0.96500000,-4.08622217178345,0,0
0.97000000,-2.99995636940002,0,0
0.97500000,-3.35131287574768,0,0
0.98000000,-2.61640357971191,0,0
0.98500000,-4.81973171234131,0,0
0.99000000,-3.0321524143219,0,0
0.99500000,-3.37930941581726,0,0
1.00000000,-3.61588025093079,0,0
1.00500000,-3.52769112586975,0,0
1.01000000,-4.21920585632324,0,0
1.01500000,-2.19085621833801,0,0
1.02000000,-4.40958213806152,0,0
1.02500000,-3.52769112586975,0,0
1.03000000,-2.90756773948669,0,0
1.03500000,-3.45909953117371,0,0
1.04000000,-3.24352622032166,0,0
1.04500000,-3.73906517028809,0,0
1.05000000,-3.54448914527893,0,0
1.05500000,-2.57580852508545,0,0
1.06000000,-4.60975742340088,0,0
1.06500000,-3.76146221160889,0,0
1.07000000,-2.4904191493988,0,0
1.07500000,-3.8776478767395,0,0
1.08000000,-3.46609878540039,0,0
1.08500000,-3.97843551635742,0,0
1.09000000,-3.00135612487793,0,0
1.09500000,-3.65507531166077,0,0
1.10000000,-3.62427926063538,0,0
1.10500000,-3.4618992805481,0,0
1.11000000,-3.14413857460022,0,0
1.11500000,-3.36951065063477,0,0
1.12000000,-4.22900438308716,0,0
1.12500000,-3.37790966033936,0,0
1.13000000,-3.31911683082581,0,0
1.13500000,-2.74518775939941,0,0
1.14000000,-5.24107980728149,0,0
1.14500000,-2.15026116371155,0,0
1.15000000,-3.93504095077515,0,0
1.15500000,-3.25472474098206,0,0
1.16000000,-4.06802463531494,0,0
1.16500000,-3.93364095687866,0,0
1.17000000,-2.83337688446045,0,0
1.17500000,-4.03442859649658,0,0
1.18000000,-3.24072647094727,0,0
1.18500000,-3.43390274047852,0,0
1.19000000,-3.07274723052978,0,0
1.19500000,-4.47397422790527,0,0
1.20000000,-3.09234476089478,0,0
1.20500000,-4.18281030654907,0,0
1.21000000,-2.17685794830322,0,0
1.21500000,-4.80713319778442,0,0
1.22000000,-3.47589755058289,0,0
1.22500000,-2.85157465934753,0,0
1.23000000,-3.84265232086182,0,0
1.23500000,-4.06662464141846,0,0
1.24000000,-3.48989582061768,0,0
1.24500000,-3.99803304672241,0,0
1.25000000,-2.68079566955566,0,0
1.25500000,-4.40118312835693,0,0
1.26000000,-2.87817120552063,0,0
1.26500000,-3.33731460571289,0,0
1.27000000,-3.70686912536621,0,0
1.27500000,-3.98543477058411,0,0
1.28000000,-3.29112029075623,0,0
1.28500000,-3.61448049545288,0,0
1.29000000,-2.03827500343323,0,0
1.29500000,-5.87940073013306,0,0
1.30000000,-2.15446066856384,0,0
1.30500000,-3.601881980896,0,0
1.31000000,-4.00783205032349,0,0
1.31500000,-3.71526789665222,0,0
1.32000000,-3.49829483032227,0,0
1.32500000,-3.21692943572998,0,0
1.33000000,-3.49129557609558,0,0
1.33500000,-3.53189063072205,0,0
1.34000000,-3.20293116569519,0,0
1.34500000,-3.83985257148743,0,0
1.35000000,-3.26032423973084,0,0
1.35500000,-3.75726270675659,0,0
1.36000000,-3.42970323562622,0,0
1.36500000,-2.65699863433838,0,0
1.37000000,-4.28079843521118,0,0
1.37500000,-3.70406937599182,0,0
1.38000000,-3.30931806564331,0,0
1.38500000,-3.96583700180054,0,0
1.39000000,-2.75078701972961,0,0
1.39500000,-4.63495445251465,0,0
1.40000000,-2.96776032447815,0,0
1.40500000,-3.43390274047852,0,0
1.41000000,-4.38298559188843,0,0
1.41500000,-2.65839838981628,0,0
1.42000000,-3.73346567153931,0,0
1.42500000,-3.66487431526184,0,0
1.43000000,-3.17633461952209,0,0
1.43500000,-4.29899597167969,0,0
1.44000000,-2.72419023513794,0,0
1.44500000,-3.3177170753479,0,0
1.45000000,-5.1080961227417,0,0
1.45500000,-2.51561594009399,0,0
1.46000000,-3.52769112586975,0,0
1.46500000,-3.94763922691345,0,0
1.47000000,-2.68639492988586,0,0
1.47500000,-4.84352874755859,0,0
1.48000000,-2.56041049957275,0,0
1.48500000,-3.99803304672241,0,0
1.49000000,-3.68447184562683,0,0
1.49500000,-2.74098825454712,0,0
1.50000000,-4.38298559188843,0,0
1.50500000,-2.94956254959106,0,0
1.51000000,-3.5864839553833,0,0
1.51500000,-4.0218300819397,0,0
1.52000000,-2.27764534950256,0,0
1.52500000,-4.49357175827026,0,0
1.53000000,-4.41798114776611,0,0
1.53500000,-2.16005992889404,0,0
1.54000000,-4.24020338058472,0,0
1.54500000,-2.58280777931213,0,0
1.55000000,-4.93171787261963,0,0
1.55500000,-3.29531979560852,0,0
1.56000000,-3.22112894058228,0,0
1.56500000,-4.15901327133179,0,0
1.57000000,-3.09234476089478,0,0
1.57500000,-3.13713932037354,0,0
1.58000000,-4.19400882720947,0,0
1.58500000,-2.753586769104,0,0
1.59000000,-4.33679151535034,0,0
1.59500000,-3.38350892066956,0,0
1.60000000,-2.40223002433777,0,0
1.60500000,-5.53364372253418,0,0
1.61000000,-2.59400629997253,0,0
1.61500000,-3.01815390586853,0,0
1.62000000,-4.48237323760986,0,0
1.62500000,-2.62060308456421,0,0
