Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-8.87783050537109,0,0
0.00500000,-8.22271156311035,0,0
0.01000000,-8.30530166625977,0,0
0.01500000,-8.72245025634766,0,0
0.02000000,-9.18999195098877,0,0
0.02500000,-9.32717514038086,0,0
0.03000000,-8.99541664123535,0,0
0.03500000,-8.67485618591309,0,0
0.04000000,-8.1359224319458,0,0
0.04500000,-8.07153034210205,0,0
0.05000000,-8.51807498931885,0,0
0.05500000,-9.11020183563232,0,0
0.06000000,-9.31317710876465,0,0
0.06500000,-9.24038600921631,0,0
0.07000000,-8.66365718841553,0,0
0.07500000,-8.21711254119873,0,0
0.08000000,-8.07433032989502,0,0
0.08500000,-8.60346508026123,0,0
0.09000000,-9.23058700561523,0,0
0.09500000,-9.26698303222656,0,0
0.10000000,-9.12420082092285,0,0
0.10500000,-8.537672996521,0,0
0.11000000,-8.06593132019043,0,0
0.11500000,-8.00433826446533,0,0
0.12000000,-8.63846015930176,0,0
0.12500000,-9.3845682144165,0,0
0.13000000,-9.62393856048584,0,0
0.13500000,-9.30477809906006,0,0
0.14000000,-8.52927398681641,0,0
0.14500000,-8.06593132019043,0,0
0.15000000,-8.09672737121582,0,0
0.15500000,-8.72385025024414,0,0
0.16000000,-9.39576721191406,0,0
0.16500000,-9.40136623382568,0,0
0.17000000,-9.06400775909424,0,0
0.17500000,-8.37669277191162,0,0
0.18000000,-8.09392738342285,0,0
0.18500000,-7.93994665145874,0,0
0.19000000,-8.49707794189453,0,0
0.19500000,-9.18999195098877,0,0
0.20000000,-9.34117412567139,0,0
0.20500000,-9.13399887084961,0,0
0.21000000,-8.57826805114746,0,0
0.21500000,-8.07433032989502,0,0
0.22000000,-8.0757303237915,0,0
0.22500000,-8.65805816650391,0,0
0.23000000,-9.33837413787842,0,0
0.23500000,-9.36357116699219,0,0
0.24000000,-8.88902950286865,0,0
0.24500000,-8.63006114959717,0,0
0.25000000,-8.28430461883545,0,0
0.25500000,-8.16811847686768,0,0
0.26000000,-8.75044631958008,0,0
0.26500000,-9.30057907104492,0,0
0.27000000,-9.44896030426025,0,0
0.27500000,-9.2781810760498,0,0
0.28000000,-8.72105026245117,0,0
0.28500000,-8.37529277801514,0,0
0.29000000,-8.40748882293701,0,0
0.29500000,-9.00941467285156,0,0
0.30000000,-9.34677314758301,0,0
0.30500000,-9.26418304443359,0,0
0.31000000,-9.03601169586182,0,0
0.31500000,-8.47608089447021,0,0
0.32000000,-8.25210857391357,0,0
0.32500000,-8.27730464935303,0,0
0.33000000,-8.86103343963623,0,0
0.33500000,-9.56374645233154,0,0
0.34000000,-9.29497909545898,0,0
0.34500000,-9.0822057723999,0,0
0.35000000,-8.77424335479736,0,0
0.35500000,-8.37529277801514,0,0
0.36000000,-8.52927398681641,0,0
0.36500000,-9.04720973968506,0,0
0.37000000,-9.27538204193115,0,0
0.37500000,-9.36777019500732,0,0
0.38000000,-9.10180282592773,0,0
0.38500000,-8.7182502746582,0,0
0.39000000,-8.42288684844971,0,0
0.39500000,-8.46768188476563,0,0
0.40000000,-9.0374116897583,0,0
0.40500000,-9.16199588775635,0,0
0.41000000,-9.52735042572022,0,0
0.41500000,-9.18579292297363,0,0
0.42000000,-8.64825916290283,0,0
0.42500000,-8.36269474029541,0,0
0.43000000,-8.56566905975342,0,0
0.43500000,-9.10180282592773,0,0
0.44000000,-9.20259094238281,0,0
0.44500000,-8.998215675354,0,0
0.45000000,-8.795241355896,0,0
0.45500000,-8.72664928436279,0,0
0.46000000,-8.40188980102539,0,0
0.46500000,-8.58386707305908,0,0
0.47000000,-8.91982555389404,0,0
0.47500000,-9.36357116699219,0,0
0.48000000,-9.52175140380859,0,0
0.48500000,-8.94362258911133,0,0
0.49000000,-8.77284431457519,0,0
0.49500000,-8.43408584594727,0,0
0.50000000,-8.8022403717041,0,0
0.50500000,-9.24038600921631,0,0
0.51000000,-9.46715831756592,0,0
0.51500000,-9.20818996429443,0,0
0.52000000,-8.98561763763428,0,0
0.52500000,-8.46208190917969,0,0
0.53000000,-8.27030563354492,0,0
0.53500000,-8.60626411437988,0,0
0.54000000,-9.25998401641846,0,0
0.54500000,-9.49375534057617,0,0
0.55000000,-9.30617809295654,0,0
0.55500000,-9.01501369476318,0,0
0.56000000,-8.36969375610352,0,0
0.56500000,-8.16811847686768,0,0
0.57000000,-8.58666706085205,0,0
0.57500000,-9.19419193267822,0,0
0.58000000,-9.44756031036377,0,0
0.58500000,-9.12979984283447,0,0
0.59000000,-8.79244136810303,0,0
0.59500000,-8.42708683013916,0,0
0.60000000,-8.2871036529541,0,0
0.60500000,-8.59786510467529,0,0
0.61000000,-9.12839984893799,0,0
0.61500000,-9.43776226043701,0,0
0.62000000,-9.36357116699219,0,0
0.62500000,-9.0374116897583,0,0
0.63000000,-8.52367496490478,0,0
0.63500000,-8.32349967956543,0,0
0.64000000,-8.77424335479736,0,0
0.64500000,-9.38176918029785,0,0
0.65000000,-9.57354545593262,0,0
0.65500000,-9.28238105773926,0,0
0.66000000,-8.97301959991455,0,0
0.66500000,-8.46768188476563,0,0
0.67000000,-8.27310562133789,0,0
0.67500000,-8.56427001953125,0,0
0.68000000,-9.06540775299072,0,0
0.68500000,-9.4839563369751,0,0
0.69000000,-9.22918796539307,0,0
0.69500000,-8.99961566925049,0,0
0.70000000,-8.48167991638184,0,0
0.70500000,-8.24930858612061,0,0
0.71000000,-8.73924827575684,0,0
0.71500000,-9.30897808074951,0,0
0.72000000,-9.48815536499023,0,0
0.72500000,-9.11580181121826,0,0
0.73000000,-8.75604629516602,0,0
0.73500000,-8.39768981933594,0,0
0.74000000,-8.12752342224121,0,0
0.74500000,-8.55167102813721,0,0
0.75000000,-9.29637908935547,0,0
0.75500000,-9.63793754577637,0,0
0.76000000,-9.48535633087158,0,0
0.76500000,-8.98981666564941,0,0
0.77000000,-8.29130363464355,0,0
0.77500000,-8.27310562133789,0,0
0.78000000,-8.75044631958008,0,0
0.78500000,-9.47555732727051,0,0
0.79000000,-9.5511474609375,0,0
0.79500000,-9.22918796539307,0,0
0.80000000,-8.78544235229492,0,0
0.80500000,-8.19891452789307,0,0
0.81000000,-8.24930858612061,0,0
0.81500000,-8.54327201843262,0,0
0.82000000,-9.24318599700928,0,0
0.82500000,-9.66873359680176,0,0
0.83000000,-9.44476127624512,0,0
0.83500000,-8.85683345794678,0,0
0.84000000,-8.31510066986084,0,0
0.84500000,-8.07433032989502,0,0
0.85000000,-8.55727005004883,0,0
0.85500000,-9.34257316589356,0,0
0.86000000,-9.71212768554687,0,0
0.86500000,-9.37896919250488,0,0
0.87000000,-8.75604629516602,0,0
0.87500000,-8.19891452789307,0,0
0.88000000,-8.06033134460449,0,0
0.88500000,-8.5600700378418,0,0
0.89000000,-9.43916130065918,0,0
0.89500000,-9.72192668914795,0,0
0.90000000,-9.68973064422607,0,0
0.90500000,-8.93942356109619,0,0
0.91000000,-8.23670959472656,0,0
