Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.21063661575317,0,0
0.00500000,-6.80328702926636,0,0
0.01000000,-6.37074041366577,0,0
0.01500000,-6.512122631073,0,0
0.02000000,-7.00346231460571,0,0
0.02500000,-7.73417186737061,0,0
0.03000000,-8.42568683624268,0,0
0.03500000,-7.80276346206665,0,0
0.04000000,-7.09865045547485,0,0
0.04500000,-6.73889493942261,0,0
0.05000000,-7.00206232070923,0,0
0.05500000,-7.39261436462402,0,0
0.06000000,-8.06593132019043,0,0
0.06500000,-8.29830265045166,0,0
0.07000000,-8.15412044525146,0,0
0.07500000,-6.97966527938843,0,0
0.08000000,-6.75009346008301,0,0
0.08500000,-6.67870235443115,0,0
0.09000000,-7.22603464126587,0,0
0.09500000,-8.19611549377441,0,0
0.10000000,-8.35289573669434,0,0
0.10500000,-7.5493950843811,0,0
0.11000000,-6.97406578063965,0,0
0.11500000,-6.4855260848999,0,0
0.12000000,-6.5961127281189,0,0
0.12500000,-7.4248104095459,0,0
0.13000000,-7.70197582244873,0,0
0.13500000,-8.3934907913208,0,0
0.14000000,-7.69217729568481,0,0
0.14500000,-7.02026033401489,0,0
0.15000000,-6.4855260848999,0,0
0.15500000,-6.17896413803101,0,0
0.16000000,-7.39681386947632,0,0
0.16500000,-7.77476692199707,0,0
0.17000000,-7.89515209197998,0,0
0.17500000,-7.64178323745727,0,0
0.18000000,-7.06365489959717,0,0
0.18500000,-6.37074041366577,0,0
0.19000000,-6.57791471481323,0,0
0.19500000,-6.93907022476196,0,0
0.20000000,-8.08832836151123,0,0
0.20500000,-8.3486967086792,0,0
0.21000000,-7.96094417572022,0,0
0.21500000,-7.15044403076172,0,0
0.22000000,-6.13976860046387,0,0
0.22500000,-6.49112558364868,0,0
0.23000000,-6.77529048919678,0,0
0.23500000,-7.46820497512817,0,0
0.24000000,-8.06733131408691,0,0
0.24500000,-8.05193328857422,0,0
0.25000000,-7.1518440246582,0,0
0.25500000,-6.45752954483032,0,0
0.26000000,-6.13696908950806,0,0
0.26500000,-6.92787170410156,0,0
0.27000000,-7.63198471069336,0,0
0.27500000,-8.54747200012207,0,0
0.28000000,-8.35709476470947,0,0
0.28500000,-7.3072247505188,0,0
0.29000000,-6.6297082901001,0,0
0.29500000,-6.47152805328369,0,0
0.30000000,-6.3385443687439,0,0
0.30500000,-7.11264896392822,0,0
0.31000000,-7.92874813079834,0,0
0.31500000,-8.21431255340576,0,0
0.32000000,-7.58859014511108,0,0
0.32500000,-6.52752113342285,0,0
0.33000000,-6.18036365509033,0,0
0.33500000,-6.14396810531616,0,0
0.34000000,-6.82288455963135,0,0
0.34500000,-7.84335851669311,0,0
0.35000000,-7.9959397315979,0,0
0.35500000,-7.90355110168457,0,0
0.36000000,-7.00206232070923,0,0
0.36500000,-6.05577898025513,0,0
0.37000000,-6.28535079956055,0,0
0.37500000,-6.83548307418823,0,0
0.38000000,-7.1518440246582,0,0
0.38500000,-7.81116247177124,0,0
0.39000000,-7.09445095062256,0,0
0.39500000,-6.98386478424072,0,0
0.40000000,-6.17896413803101,0,0
0.40500000,-6.08237600326538,0,0
0.41000000,-6.60451126098633,0,0
0.41500000,-7.1406455039978,0,0
0.42000000,-8.10792636871338,0,0
0.42500000,-7.86155652999878,0,0
0.43000000,-6.84948110580444,0,0
0.43500000,-6.12017107009888,0,0
0.44000000,-6.28955030441284,0,0
0.44500000,-6.49812459945679,0,0
0.45000000,-7.0454568862915,0,0
0.45500000,-7.50040102005005,0,0
0.46000000,-7.83495950698852,0,0
0.46500000,-6.70109939575195,0,0
0.47000000,-5.84720468521118,0,0
0.47500000,-5.71842098236084,0,0
0.48000000,-5.86960220336914,0,0
0.48500000,-7.07625341415405,0,0
0.49000000,-7.93294763565063,0,0
0.49500000,-7.6137866973877,0,0
0.50000000,-6.66050434112549,0,0
0.50500000,-6.26295375823975,0,0
0.51000000,-6.01938390731812,0,0
0.51500000,-6.45892953872681,0,0
0.52000000,-6.89287567138672,0,0
0.52500000,-7.85455703735352,0,0
0.53000000,-7.96794319152832,0,0
0.53500000,-7.24283266067505,0,0
0.54000000,-6.69689989089966,0,0
0.54500000,-5.89899873733521,0,0
0.55000000,-6.7360954284668,0,0
0.55500000,-7.71457433700562,0,0
0.56000000,-8.02533626556397,0,0
0.56500000,-8.04353427886963,0,0
0.57000000,-7.82236099243164,0,0
0.57500000,-6.88867616653442,0,0
0.58000000,-6.65070581436157,0,0
0.58500000,-6.40713596343994,0,0
0.59000000,-7.48920249938965,0,0
0.59500000,-7.98754072189331,0,0
0.60000000,-8.19611549377441,0,0
0.60500000,-7.99174022674561,0,0
0.61000000,-6.7360954284668,0,0
0.61500000,-6.28255128860474,0,0
0.62000000,-6.18036365509033,0,0
0.62500000,-6.67310285568237,0,0
0.63000000,-7.37301683425903,0,0
0.63500000,-8.33329772949219,0,0
0.64000000,-7.97214269638062,0,0
0.64500000,-7.33522129058838,0,0
