Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,298.580230712891,0,0
0.00500000,294.265960693359,0,0
0.01000000,289.703918457031,0,0
0.01500000,289.898498535156,0,0
0.02000000,294.461944580078,0,0
0.02500000,294.394744873047,0,0
0.03000000,295.793182373047,0,0
0.03500000,298.843383789063,0,0
0.04000000,299.406127929687,0,0
0.04500000,297.724945068359,0,0
0.05000000,304.409118652344,0,0
0.05500000,310.072814941406,0,0
0.06000000,308.016479492188,0,0
0.06500000,306.602630615234,0,0
0.07000000,303.294860839844,0,0
0.07500000,296.241119384766,0,0
0.08000000,290.776184082031,0,0
0.08500000,291.483093261719,0,0
0.09000000,290.707611083984,0,0
0.09500000,290.139282226562,0,0
0.10000000,291.6552734375,0,0
0.10500000,291.299713134766,0,0
0.11000000,290.699188232422,0,0
0.11500000,296.234130859375,0,0
0.12000000,305.540161132812,0,0
0.12500000,306.279266357422,0,0
0.13000000,305.596160888672,0,0
0.13500000,306.606842041016,0,0
0.14000000,302.830108642578,0,0
0.14500000,295.71337890625,0,0
0.15000000,292.783538818359,0,0
0.15500000,290.468231201172,0,0
0.16000000,286.545928955078,0,0
0.16500000,287.087646484375,0,0
0.17000000,288.309692382812,0,0
0.17500000,288.372680664063,0,0
0.18000000,291.159759521484,0,0
0.18500000,300.075256347656,0,0
0.19000000,303.227661132812,0,0
0.19500000,306.308685302734,0,0
0.20000000,310.750335693359,0,0
0.20500000,310.114807128906,0,0
0.21000000,304.505706787109,0,0
0.21500000,302.319152832031,0,0
0.22000000,302.040588378906,0,0
0.22500000,295.163238525391,0,0
0.23000000,290.937164306641,0,0
0.23500000,290.420623779297,0,0
0.24000000,289.367950439453,0,0
0.24500000,288.159912109375,0,0
0.25000000,293.294494628906,0,0
0.25500000,297.4267578125,0,0
0.26000000,299.119171142578,0,0
0.26500000,305.092224121094,0,0
0.27000000,309.708862304687,0,0
0.27500000,308.950134277344,0,0
0.28000000,309.784454345703,0,0
0.28500000,312.056365966797,0,0
0.29000000,307.054779052734,0,0
0.29500000,302.604736328125,0,0
0.30000000,302.355560302734,0,0
0.30500000,299.471923828125,0,0
0.31000000,294.433929443359,0,0
0.31500000,293.508666992188,0,0
0.32000000,294.853881835937,0,0
0.32500000,293.964996337891,0,0
0.33000000,296.759063720703,0,0
0.33500000,302.060211181641,0,0
0.34000000,303.362030029297,0,0
0.34500000,303.271057128906,0,0
0.35000000,307.438323974609,0,0
0.35500000,308.365020751953,0,0
0.36000000,304.746459960937,0,0
0.36500000,303.404022216797,0,0
0.37000000,299.882080078125,0,0
0.37500000,294.348541259766,0,0
0.38000000,291.785461425781,0,0
0.38500000,291.649688720703,0,0
0.39000000,286.953277587891,0,0
0.39500000,286.737701416016,0,0
0.40000000,292.597381591797,0,0
0.40500000,296.285919189453,0,0
0.41000000,297.008209228516,0,0
0.41500000,302.4521484375,0,0
0.42000000,309.155914306641,0,0
0.42500000,310.163787841797,0,0
0.43000000,311.423645019531,0,0
0.43500000,310.477355957031,0,0
0.44000000,305.275604248047,0,0
0.44500000,299.688903808594,0,0
0.45000000,298.592834472656,0,0
0.45500000,295.450225830078,0,0
0.46000000,290.429046630859,0,0
0.46500000,288.012939453125,0,0
0.47000000,285.785797119141,0,0
0.47500000,284.5595703125,0,0
0.48000000,289.862091064453,0,0
0.48500000,301.070526123047,0,0
0.49000000,306.381469726562,0,0
0.49500000,310.22119140625,0,0
0.50000000,315.103790283203,0,0
0.50500000,315.043609619141,0,0
0.51000000,311.91357421875,0,0
0.51500000,312.2607421875,0,0
0.52000000,312.570098876953,0,0
0.52500000,305.776733398438,0,0
0.53000000,299.492919921875,0,0
0.53500000,294.516540527344,0,0
0.54000000,290.458435058594,0,0
0.54500000,289.071197509766,0,0
0.55000000,294.359741210937,0,0
0.55500000,298.892395019531,0,0
0.56000000,301.596862792969,0,0
0.56500000,308.989349365234,0,0
0.57000000,315.981475830078,0,0
0.57500000,316.387420654297,0,0
0.58000000,316.646392822266,0,0
0.58500000,320.302734375,0,0
0.59000000,316.188659667969,0,0
0.59500000,309.237121582031,0,0
0.60000000,302.526336669922,0,0
0.60500000,293.146087646484,0,0
0.61000000,284.726135253906,0,0
0.61500000,284.481170654297,0,0
0.62000000,290.734191894531,0,0
0.62500000,292.384582519531,0,0
0.63000000,295.892547607422,0,0
0.63500000,300.996337890625,0,0
0.64000000,305.859344482422,0,0
0.64500000,309.630462646484,0,0
0.65000000,318.366790771484,0,0
0.65500000,321.754364013672,0,0
0.66000000,317.427490234375,0,0
0.66500000,312.684875488281,0,0
0.67000000,305.489776611328,0,0
0.67500000,294.307952880859,0,0
0.68000000,286.548706054687,0,0
0.68500000,287.234619140625,0,0
0.69000000,287.397003173828,0,0
0.69500000,287.763763427734,0,0
0.70000000,293.93701171875,0,0
0.70500000,301.210510253906,0,0
0.71000000,306.325469970703,0,0
0.71500000,314.497650146484,0,0
0.72000000,322.623657226562,0,0
0.72500000,323.280181884766,0,0
0.73000000,322.762237548828,0,0
0.73500000,319.850616455078,0,0
0.74000000,311.840789794922,0,0
0.74500000,301.888031005859,0,0
0.75000000,296.887847900391,0,0
