Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-9.40136623382568,0,0
0.00500000,-9.54414844512939,0,0
0.01000000,-9.33697414398193,0,0
0.01500000,-9.2039909362793,0,0
0.02000000,-9.47555732727051,0,0
0.02500000,-9.30477809906006,0,0
0.03000000,-8.91142654418945,0,0
0.03500000,-8.93942356109619,0,0
0.04000000,-9.28938007354736,0,0
0.04500000,-9.32717514038086,0,0
0.05000000,-9.3551721572876,0,0
0.05500000,-9.61553955078125,0,0
0.06000000,-9.34257316589356,0,0
0.06500000,-8.93522357940674,0,0
0.07000000,-8.85543346405029,0,0
0.07500000,-9.18579292297363,0,0
0.08000000,-9.46995830535889,0,0
0.08500000,-9.44476127624512,0,0
0.09000000,-9.58614349365234,0,0
0.09500000,-9.55954647064209,0,0
0.10000000,-9.17179489135742,0,0
0.10500000,-8.79244136810303,0,0
0.11000000,-8.83443641662598,0,0
0.11500000,-9.48815536499023,0,0
0.12000000,-9.83531284332275,0,0
0.12500000,-9.63233757019043,0,0
0.13000000,-9.37896919250488,0,0
0.13500000,-9.11440181732178,0,0
0.14000000,-8.88762950897217,0,0
0.14500000,-9.1046028137207,0,0
0.15000000,-9.25438404083252,0,0
0.15500000,-9.62253856658936,0,0
0.16000000,-9.73032569885254,0,0
0.16500000,-9.3775691986084,0,0
0.17000000,-9.06540775299072,0,0
0.17500000,-8.95202159881592,0,0
0.18000000,-8.89462852478027,0,0
0.18500000,-8.97301959991455,0,0
0.19000000,-9.10600280761719,0,0
0.19500000,-9.29497909545898,0,0
0.20000000,-8.63846015930176,0,0
0.20500000,-8.33469772338867,0,0
0.21000000,-8.38369178771973,0,0
0.21500000,-8.57966804504394,0,0
0.22000000,-8.99961566925049,0,0
0.22500000,-9.06960773468018,0,0
0.23000000,-9.09060478210449,0,0
0.23500000,-9.0822057723999,0,0
0.24000000,-8.79664134979248,0,0
0.24500000,-8.81483840942383,0,0
0.25000000,-9.10740280151367,0,0
0.25500000,-9.39856624603271,0,0
0.26000000,-9.13819885253906,0,0
0.26500000,-8.81903839111328,0,0
0.27000000,-9.05000972747803,0,0
0.27500000,-9.13819885253906,0,0
0.28000000,-8.85963344573975,0,0
0.28500000,-9.10180282592773,0,0
0.29000000,-8.998215675354,0,0
0.29500000,-8.94362258911133,0,0
0.30000000,-8.77704334259033,0,0
0.30500000,-8.51947498321533,0,0
0.31000000,-8.91982555389404,0,0
0.31500000,-8.83443641662598,0,0
0.32000000,-8.42148685455322,0,0
0.32500000,-8.23391056060791,0,0
0.33000000,-8.27870464324951,0,0
0.33500000,-8.31929969787598,0,0
0.34000000,-8.19611549377441,0,0
0.34500000,-8.19611549377441,0,0
0.35000000,-8.32629871368408,0,0
0.35500000,-7.91195011138916,0,0
0.36000000,-7.90775060653687,0,0
0.36500000,-7.93994665145874,0,0
0.37000000,-8.19471549987793,0,0
0.37500000,-8.54607200622559,0,0
0.38000000,-8.5222749710083,0,0
0.38500000,-8.60626411437988,0,0
0.39000000,-8.52927398681641,0,0
0.39500000,-8.40748882293701,0,0
0.40000000,-8.69865322113037,0,0
0.40500000,-9.04161071777344,0,0
0.41000000,-9.1046028137207,0,0
0.41500000,-9.29218006134033,0,0
0.42000000,-8.95762062072754,0,0
0.42500000,-8.98701763153076,0,0
0.43000000,-9.13399887084961,0,0
0.43500000,-9.26698303222656,0,0
0.44000000,-9.513352394104,0,0
0.44500000,-9.60434150695801,0,0
0.45000000,-9.57214546203613,0,0
0.45500000,-9.33557415008545,0,0
0.46000000,-8.80084037780762,0,0
0.46500000,-9.43076229095459,0,0
0.47000000,-9.62953853607178,0,0
0.47500000,-9.49375534057617,0,0
0.48000000,-9.47415733337402,0,0
0.48500000,-9.21658897399902,0,0
0.49000000,-9.27258205413818,0,0
