Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.39121437072754,0,0
0.00500000,-7.51719903945923,0,0
0.01000000,-7.58019113540649,0,0
0.01500000,-7.82236099243164,0,0
0.02000000,-7.70617532730103,0,0
0.02500000,-7.4696044921875,0,0
0.03000000,-7.42341041564941,0,0
0.03500000,-7.67397928237915,0,0
0.04000000,-7.56339311599731,0,0
0.04500000,-7.64598274230957,0,0
0.05000000,-7.79716444015503,0,0
0.05500000,-7.82236099243164,0,0
0.06000000,-7.69917631149292,0,0
0.06500000,-7.46540546417236,0,0
0.07000000,-7.24283266067505,0,0
0.07500000,-7.54799509048462,0,0
0.08000000,-7.77476692199707,0,0
0.08500000,-7.83076000213623,0,0
0.09000000,-7.63478422164917,0,0
0.09500000,-7.4542064666748,0,0
0.10000000,-7.35481882095337,0,0
0.10500000,-7.29742574691772,0,0
0.11000000,-7.71457433700562,0,0
0.11500000,-7.87975406646729,0,0
0.12000000,-7.97914171218872,0,0
0.12500000,-7.69637680053711,0,0
0.13000000,-7.45000696182251,0,0
0.13500000,-7.41501140594482,0,0
0.14000000,-7.58159112930298,0,0
0.14500000,-7.63618421554565,0,0
0.15000000,-7.52559757232666,0,0
0.15500000,-7.64598274230957,0,0
0.16000000,-7.71457433700562,0,0
0.16500000,-7.52139854431152,0,0
0.17000000,-7.26942920684814,0,0
0.17500000,-7.431809425354,0,0
0.18000000,-7.58859014511108,0,0
0.18500000,-7.92874813079834,0,0
0.19000000,-7.88955307006836,0,0
0.19500000,-7.5759916305542,0,0
0.20000000,-7.46120595932007,0,0
0.20500000,-7.4360089302063,0,0
0.21000000,-7.57739162445068,0,0
0.21500000,-7.41921091079712,0,0
0.22000000,-7.55779361724854,0,0
0.22500000,-7.67817878723145,0,0
0.23000000,-7.58019113540649,0,0
0.23500000,-7.56619262695313,0,0
0.24000000,-7.57739162445068,0,0
0.24500000,-7.56199312210083,0,0
0.25000000,-7.59138965606689,0,0
0.25500000,-7.8671555519104,0,0
0.26000000,-7.94974565505981,0,0
0.26500000,-7.72297334671021,0,0
0.27000000,-7.56759262084961,0,0
0.27500000,-7.58439064025879,0,0
0.28000000,-7.51439905166626,0,0
0.28500000,-7.51999855041504,0,0
0.29000000,-7.79016494750977,0,0
0.29500000,-7.69077730178833,0,0
0.30000000,-7.68237829208374,0,0
0.30500000,-7.51719903945923,0,0
0.31000000,-7.31282424926758,0,0
0.31500000,-7.48360300064087,0,0
0.32000000,-7.46400547027588,0,0
0.32500000,-7.91335010528564,0,0
0.33000000,-7.85315752029419,0,0
0.33500000,-7.59978866577148,0,0
0.34000000,-7.41781091690063,0,0
0.34500000,-7.48920249938965,0,0
0.35000000,-7.42760992050171,0,0
0.35500000,-7.59138965606689,0,0
0.36000000,-7.81956148147583,0,0
