Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.75656938552856,0,0
0.00500000,-7.48220300674439,0,0
0.01000000,-8.19191551208496,0,0
0.01500000,-9.20678997039795,0,0
0.02000000,-7.95114517211914,0,0
0.02500000,-7.75516939163208,0,0
0.03000000,-7.75096988677978,0,0
0.03500000,-8.06033134460449,0,0
0.04000000,-8.07992935180664,0,0
0.04500000,-7.89795207977295,0,0
0.05000000,-8.83163642883301,0,0
0.05500000,-8.63566112518311,0,0
0.06000000,-7.67817878723145,0,0
0.06500000,-7.45140695571899,0,0
0.07000000,-7.67397928237915,0,0
0.07500000,-8.46208190917969,0,0
0.08000000,-8.04633331298828,0,0
0.08500000,-8.1583194732666,0,0
0.09000000,-8.8022403717041,0,0
0.09500000,-8.30110168457031,0,0
0.10000000,-7.49340200424194,0,0
0.10500000,-7.87555456161499,0,0
0.11000000,-8.23670959472656,0,0
0.11500000,-8.90722751617432,0,0
0.12000000,-7.90075159072876,0,0
0.12500000,-8.27310562133789,0,0
0.13000000,-8.4998779296875,0,0
0.13500000,-7.81676197052002,0,0
0.14000000,-7.70897531509399,0,0
0.14500000,-8.00433826446533,0,0
0.15000000,-8.84563446044922,0,0
0.15500000,-8.74484729766846,0,0
0.16000000,-7.85875654220581,0,0
0.16500000,-8.10372638702393,0,0
0.17000000,-8.70705223083496,0,0
0.17500000,-7.78456592559814,0,0
0.18000000,-7.92734813690186,0,0
0.18500000,-8.50967597961426,0,0
0.19000000,-8.76304531097412,0,0
0.19500000,-8.29270267486572,0,0
0.20000000,-7.56199312210083,0,0
0.20500000,-8.03373527526855,0,0
0.21000000,-8.23251056671143,0,0
0.21500000,-7.90495109558105,0,0
0.22000000,-8.32349967956543,0,0
0.22500000,-8.52367496490478,0,0
0.23000000,-8.94502258300781,0,0
0.23500000,-7.84755802154541,0,0
0.24000000,-7.51719903945923,0,0
0.24500000,-8.34309673309326,0,0
0.25000000,-8.44388484954834,0,0
0.25500000,-8.08132934570312,0,0
0.26000000,-8.31090068817139,0,0
0.26500000,-8.46908092498779,0,0
0.27000000,-8.37669277191162,0,0
0.27500000,-7.61658668518066,0,0
0.28000000,-7.65998125076294,0,0
0.28500000,-8.67905521392822,0,0
0.29000000,-8.26330661773682,0,0
0.29500000,-7.98194169998169,0,0
0.30000000,-8.31650066375732,0,0
0.30500000,-8.5152759552002,0,0
0.31000000,-8.13172340393066,0,0
0.31500000,-7.19103908538818,0,0
0.32000000,-8.33049869537353,0,0
0.32500000,-8.87783050537109,0,0
0.33000000,-8.09252738952637,0,0
0.33500000,-7.84335851669311,0,0
0.34000000,-8.05193328857422,0,0
0.34500000,-8.32629871368408,0,0
