Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-5.23128080368042,0,0
0.00500000,-6.80748653411865,0,0
0.01000000,-6.05997848510742,0,0
0.01500000,-4.08062314987183,0,0
0.02000000,-4.37318658828735,0,0
0.02500000,-7.29742574691772,0,0
0.03000000,-5.26627683639526,0,0
0.03500000,-3.14693808555603,0,0
0.04000000,-5.56443977355957,0,0
0.04500000,-7.52419805526733,0,0
0.05000000,-4.82113170623779,0,0
0.05500000,-3.40310645103455,0,0
0.06000000,-6.32874536514282,0,0
0.06500000,-6.80048751831055,0,0
0.07000000,-4.2863974571228,0,0
0.07500000,-4.3129940032959,0,0
0.08000000,-6.58631372451782,0,0
0.08500000,-6.58351421356201,0,0
0.09000000,-4.86592578887939,0,0
0.09500000,-3.53469038009644,0,0
0.10000000,-6.10197353363037,0,0
0.10500000,-6.50512361526489,0,0
0.11000000,-3.84685182571411,0,0
0.11500000,-3.94343996047974,0,0
0.12000000,-6.94886875152588,0,0
0.12500000,-6.35254240036011,0,0
0.13000000,-3.69847011566162,0,0
0.13500000,-4.85472726821899,0,0
0.14000000,-7.26942920684814,0,0
0.14500000,-5.93119478225708,0,0
0.15000000,-4.04842710494995,0,0
0.15500000,-5.10249662399292,0,0
0.16000000,-6.86347961425781,0,0
0.16500000,-6.64370679855347,0,0
0.17000000,-4.14081525802612,0,0
0.17500000,-4.94991540908814,0,0
0.18000000,-7.31562376022339,0,0
0.18500000,-5.5056471824646,0,0
0.19000000,-3.47169804573059,0,0
0.19500000,-5.95919132232666,0,0
0.20000000,-7.35761833190918,0,0
0.20500000,-4.62235593795776,0,0
0.21000000,-4.11701822280884,0,0
0.21500000,-6.97546577453613,0,0
0.22000000,-6.74449396133423,0,0
0.22500000,-4.75114011764526,0,0
0.23000000,-5.18508672714233,0,0
0.23500000,-6.68990087509155,0,0
0.24000000,-6.9208722114563,0,0
0.24500000,-5.38106250762939,0,0
0.25000000,-4.26260042190552,0,0
0.25500000,-5.93539381027222,0,0
0.26000000,-7.03145885467529,0,0
0.26500000,-4.05822563171387,0,0
0.27000000,-3.92944145202637,0,0
0.27500000,-7.10424995422363,0,0
0.28000000,-6.48412609100342,0,0
0.28500000,-3.8608500957489,0,0
0.29000000,-5.17248821258545,0,0
0.29500000,-7.23443365097046,0,0
0.30000000,-5.82480764389038,0,0
0.30500000,-4.11281871795654,0,0
0.31000000,-5.26487684249878,0,0
0.31500000,-7.17704105377197,0,0
0.32000000,-6.04038095474243,0,0
0.32500000,-4.10581970214844,0,0
0.33000000,-5.03530502319336,0,0
0.33500000,-7.03565835952759,0,0
0.34000000,-5.16688871383667,0,0
0.34500000,-3.26872301101685,0,0
0.35000000,-5.87380170822144,0,0
0.35500000,-7.02026033401489,0,0
0.36000000,-4.4081826210022,0,0
0.36500000,-4.22900438308716,0,0
0.37000000,-6.46592855453491,0,0
0.37500000,-6.56951570510864,0,0
0.38000000,-4.56076383590698,0,0
0.38500000,-4.34379053115845,0,0
0.39000000,-6.16776514053345,0,0
0.39500000,-6.66470384597778,0,0
0.40000000,-5.03810453414917,0,0
0.40500000,-3.70406937599182,0,0
0.41000000,-5.78281307220459,0,0
0.41500000,-6.70669889450073,0,0
0.42000000,-3.44370150566101,0,0
0.42500000,-4.43337917327881,0,0
0.43000000,-7.284827709198,0,0
0.43500000,-5.97738885879517,0,0
0.44000000,-3.39750719070435,0,0
0.44500000,-5.51824569702148,0,0
0.45000000,-7.09445095062256,0,0
0.45500000,-5.43425607681274,0,0
0.46000000,-3.94763922691345,0,0
0.46500000,-5.9633903503418,0,0
0.47000000,-6.89287567138672,0,0
0.47500000,-5.60223531723022,0,0
0.48000000,-4.02462959289551,0,0
0.48500000,-4.95971441268921,0,0
0.49000000,-6.95586824417114,0,0
0.49500000,-4.9793119430542,0,0
0.50000000,-3.18473339080811,0,0
0.50500000,-6.09637403488159,0,0
0.51000000,-7.25543117523193,0,0
0.51500000,-4.63495445251465,0,0
0.52000000,-4.37318658828735,0,0
0.52500000,-6.85088109970093,0,0
0.53000000,-6.92507171630859,0,0
0.53500000,-4.79313516616821,0,0
0.54000000,-5.13469266891479,0,0
0.54500000,-6.92507171630859,0,0
0.55000000,-7.11264896392822,0,0
0.55500000,-4.9793119430542,0,0
0.56000000,-3.76706171035767,0,0
0.56500000,-6.78228950500488,0,0
0.57000000,-6.56811618804932,0,0
0.57500000,-3.55008840560913,0,0
0.58000000,-4.60835790634155,0,0
0.58500000,-7.68377828598022,0,0
0.59000000,-5.50424718856812,0,0
0.59500000,-3.39330768585205,0,0
0.60000000,-5.5014476776123,0,0
0.60500000,-7.05945539474487,0,0
0.61000000,-5.32086992263794,0,0
0.61500000,-4.03162908554077,0,0
0.62000000,-5.54064273834229,0,0
0.62500000,-6.78228950500488,0,0
0.63000000,-6.04458045959473,0,0
0.63500000,-3.68307209014893,0,0
0.64000000,-4.32979202270508,0,0
0.64500000,-6.78228950500488,0,0
0.65000000,-5.00590896606445,0,0
0.65500000,-3.16653561592102,0,0
0.66000000,-6.18456315994263,0,0
0.66500000,-7.41921091079712,0,0
0.67000000,-4.08062314987183,0,0
0.67500000,-3.39750719070435,0,0
0.68000000,-6.5961127281189,0,0
0.68500000,-6.87327814102173,0,0
0.69000000,-4.25560140609741,0,0
0.69500000,-4.1240177154541,0,0
0.70000000,-6.50232410430908,0,0
0.70500000,-6.47992706298828,0,0
0.71000000,-4.07222414016724,0,0
0.71500000,-4.02742958068848,0,0
0.72000000,-6.72629642486572,0,0
0.72500000,-5.9255952835083,0,0
0.73000000,-2.83337688446045,0,0
0.73500000,-5.12209463119507,0,0
0.74000000,-7.40101337432861,0,0
0.74500000,-4.83652973175049,0,0
0.75000000,-3.16093635559082,0,0
0.75500000,-5.60083532333374,0,0
0.76000000,-7.07205390930176,0,0
0.76500000,-4.72874307632446,0,0
0.77000000,-3.7474639415741,0,0
0.77500000,-5.70302248001099,0,0
0.78000000,-6.94746923446655,0,0
0.78500000,-5.18088722229004,0,0
0.79000000,-3.62707877159119,0,0
0.79500000,-5.21728277206421,0,0
0.80000000,-6.90267467498779,0,0
0.80500000,-4.1506142616272,0,0
0.81000000,-3.55428791046143,0,0
0.81500000,-7.13224649429321,0,0
0.82000000,-7.03985786437988,0,0
0.82500000,-4.06382513046265,0,0
0.83000000,-5.24527931213379,0,0
0.83500000,-7.71317481994629,0,0
0.84000000,-5.7590160369873,0,0
0.84500000,-4.50757026672363,0,0
0.85000000,-6.01378440856934,0,0
0.85500000,-6.99786281585693,0,0
0.86000000,-5.90739727020264,0,0
0.86500000,-4.6951470375061,0,0
0.87000000,-4.50617027282715,0,0
0.87500000,-7.21483612060547,0,0
0.88000000,-5.38946151733398,0,0
0.88500000,-3.06994771957397,0,0
0.89000000,-5.95919132232666,0,0
0.89500000,-7.55639410018921,0,0
0.90000000,-4.38298559188843,0,0
0.90500000,-3.720867395401,0,0
0.91000000,-6.28675079345703,0,0
0.91500000,-6.71229839324951,0,0
0.92000000,-4.74134159088135,0,0
0.92500000,-4.24720239639282,0,0
0.93000000,-6.38193893432617,0,0
0.93500000,-6.85648059844971,0,0
0.94000000,-5.39506053924561,0,0
0.94500000,-4.37878608703613,0,0
0.95000000,-6.65490531921387,0,0
0.95500000,-7.06785440444946,0,0
0.96000000,-3.89164614677429,0,0
0.96500000,-4.87152528762817,0,0
0.97000000,-7.69637680053711,0,0
0.97500000,-5.67642593383789,0,0
0.98000000,-3.65787506103516,0,0
0.98500000,-5.66242790222168,0,0
0.99000000,-7.10844945907593,0,0
0.99500000,-4.96951341629028,0,0
1.00000000,-3.93784046173096,0,0
1.00500000,-5.89339923858643,0,0
1.01000000,-6.34274387359619,0,0
1.01500000,-5.36986398696899,0,0
1.02000000,-3.65087604522705,0,0
1.02500000,-4.35778856277466,0,0
1.03000000,-6.06137847900391,0,0
1.03500000,-4.3927845954895,0,0
1.04000000,-3.69427061080933,0,0
1.04500000,-6.13416957855225,0,0
1.05000000,-6.86907863616943,0,0
1.05500000,-3.81185603141785,0,0
1.06000000,-3.79505825042725,0,0
1.06500000,-6.52332162857056,0,0
1.07000000,-6.76829147338867,0,0
1.07500000,-3.93224120140076,0,0
1.08000000,-4.89532232284546,0,0
1.08500000,-6.85368061065674,0,0
1.09000000,-6.11177206039429,0,0
1.09500000,-4.2793984413147,0,0
1.10000000,-4.72454357147217,0,0
1.10500000,-6.89567565917969,0,0
1.11000000,-5.77021455764771,0,0
1.11500000,-3.31071782112122,0,0
1.12000000,-5.93959331512451,0,0
1.12500000,-7.26522970199585,0,0
1.13000000,-4.48517322540283,0,0
1.13500000,-4.2793984413147,0,0
1.14000000,-6.50932312011719,0,0
1.14500000,-6.44493103027344,0,0
1.15000000,-4.46837520599365,0,0
1.15500000,-4.40538263320923,0,0
1.16000000,-5.90879726409912,0,0
1.16500000,-6.8872766494751,0,0
1.17000000,-5.36706399917603,0,0
1.17500000,-4.03862810134888,0,0
1.18000000,-5.74641752243042,0,0
1.18500000,-7.12664699554443,0,0
1.19000000,-4.58036136627197,0,0
1.19500000,-4.21220684051514,0,0
1.20000000,-7.25543117523193,0,0
1.20500000,-6.51632213592529,0,0
1.21000000,-4.173011302948,0,0
1.21500000,-5.61763334274292,0,0
1.22000000,-7.65438175201416,0,0
1.22500000,-5.61203384399414,0,0
1.23000000,-5.07030057907105,0,0
1.23500000,-6.6367073059082,0,0
1.24000000,-6.96006774902344,0,0
1.24500000,-6.3231463432312,0,0
1.25000000,-5.3614649772644,0,0
1.25500000,-6.29934930801392,0,0
1.26000000,-7.65298223495483,0,0
1.26500000,-5.51124620437622,0,0
1.27000000,-4.09182167053223,0,0
1.27500000,-6.15376710891724,0,0
1.28000000,-7.53399658203125,0,0
1.28500000,-4.82953071594238,0,0
1.29000000,-3.65787506103516,0,0
1.29500000,-5.76321506500244,0,0
1.30000000,-6.0473804473877,0,0
1.30500000,-4.10442018508911,0,0
1.31000000,-3.28552103042603,0,0
1.31500000,-5.08849859237671,0,0
1.32000000,-5.55044174194336,0,0
1.32500000,-3.49129557609558,0,0
1.33000000,-2.80957984924316,0,0
1.33500000,-5.33766794204712,0,0
1.34000000,-4.93731737136841,0,0
1.34500000,-2.85997343063354,0,0
1.35000000,-4.03442859649658,0,0
1.35500000,-6.3385443687439,0,0
1.36000000,-4.56776285171509,0,0
1.36500000,-2.85577416419983,0,0
1.37000000,-5.18928623199463,0,0
1.37500000,-5.87380170822144,0,0
1.38000000,-4.04422760009766,0,0
1.38500000,-2.96356081962585,0,0
1.39000000,-4.75114011764526,0,0
1.39500000,-5.48324966430664,0,0
1.40000000,-3.64667654037476,0,0
1.40500000,-2.71299171447754,0,0
1.41000000,-4.56356334686279,0,0
1.41500000,-5.940993309021,0,0
1.42000000,-3.04055118560791,0,0
1.42500000,-2.57160902023315,0,0
1.43000000,-6.19996118545532,0,0
1.43500000,-6.38753843307495,0,0
1.44000000,-2.73118948936462,0,0
1.44500000,-3.38770842552185,0,0
1.45000000,-5.99558639526367,0,0
1.45500000,-5.27327585220337,0,0
1.46000000,-3.60608148574829,0,0
1.46500000,-4.86172676086426,0,0
1.47000000,-6.98526430130005,0,0
1.47500000,-6.56391668319702,0,0
1.48000000,-4.53416681289673,0,0
1.48500000,-4.90372133255005,0,0
1.49000000,-7.45560646057129,0,0
1.49500000,-5.63583087921143,0,0
1.50000000,-3.95743823051453,0,0
1.50500000,-6.35534238815308,0,0
1.51000000,-7.8713550567627,0,0
1.51500000,-5.17668771743774,0,0
1.52000000,-5.56024026870728,0,0
1.52500000,-7.63758420944214,0,0
1.53000000,-6.96146726608276,0,0
1.53500000,-5.40905904769897,0,0
1.54000000,-5.62183284759521,0,0
1.54500000,-7.42201042175293,0,0
1.55000000,-6.85648059844971,0,0
1.55500000,-5.19068574905396,0,0
1.56000000,-5.27887487411499,0,0
1.56500000,-7.64038372039795,0,0
1.57000000,-6.86907863616943,0,0
1.57500000,-4.47397422790527,0,0
1.58000000,-6.34694337844849,0,0
1.58500000,-8.22831153869629,0,0
1.59000000,-6.10757255554199,0,0
1.59500000,-4.83372974395752,0,0
1.60000000,-6.89287567138672,0,0
1.60500000,-7.71877384185791,0,0
1.61000000,-5.27327585220337,0,0
1.61500000,-5.48744916915894,0,0
1.62000000,-7.25683116912842,0,0
1.62500000,-7.0342583656311,0,0
1.63000000,-5.51964521408081,0,0
1.63500000,-5.3656644821167,0,0
1.64000000,-7.05665588378906,0,0
1.64500000,-6.87887763977051,0,0
1.65000000,-4.76513862609863,0,0
1.65500000,-4.51736879348755,0,0
1.66000000,-7.22883462905884,0,0
1.66500000,-7.13224649429321,0,0
1.67000000,-4.64195346832275,0,0
1.67500000,-5.03390550613403,0,0
1.68000000,-7.52839756011963,0,0
1.68500000,-6.63810729980469,0,0
1.69000000,-4.13381624221802,0,0
1.69500000,-5.42725658416748,0,0
1.70000000,-7.07765293121338,0,0
1.70500000,-6.30494832992554,0,0
1.71000000,-3.90704441070557,0,0
1.71500000,-3.94763922691345,0,0
1.72000000,-6.36934041976929,0,0
1.72500000,-4.89392232894897,0,0
1.73000000,-2.70039319992065,0,0
1.73500000,-4.58876037597656,0,0
1.74000000,-6.38333892822266,0,0
1.74500000,-4.44737768173218,0,0
1.75000000,-2.60660481452942,0,0
