Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.69917631149292,0,0
0.00500000,-7.73277235031128,0,0
0.01000000,-7.70617532730103,0,0
0.01500000,-7.76916790008545,0,0
0.02000000,-7.79296493530273,0,0
0.02500000,-7.69217729568481,0,0
0.03000000,-7.7383713722229,0,0
0.03500000,-7.73277235031128,0,0
0.04000000,-7.88535356521606,0,0
0.04500000,-7.78036642074585,0,0
0.05000000,-7.77616691589356,0,0
0.05500000,-7.91195011138916,0,0
0.06000000,-7.67677927017212,0,0
0.06500000,-7.72857284545898,0,0
0.07000000,-7.75236988067627,0,0
0.07500000,-7.63058471679688,0,0
0.08000000,-7.73277235031128,0,0
0.08500000,-7.63618421554565,0,0
0.09000000,-7.80556344985962,0,0
0.09500000,-7.74817037582397,0,0
0.10000000,-7.72017383575439,0,0
0.10500000,-7.81676197052002,0,0
0.11000000,-7.72857284545898,0,0
0.11500000,-7.71877384185791,0,0
0.12000000,-7.74537086486816,0,0
0.12500000,-7.64178323745727,0,0
0.13000000,-7.81676197052002,0,0
0.13500000,-7.78876543045044,0,0
0.14000000,-7.76636791229248,0,0
0.14500000,-7.84895801544189,0,0
0.15000000,-7.7159743309021,0,0
0.15500000,-7.81116247177124,0,0
0.16000000,-7.79856395721436,0,0
0.16500000,-7.67397928237915,0,0
0.17000000,-7.85455703735352,0,0
0.17500000,-7.79296493530273,0,0
0.18000000,-7.76216840744019,0,0
0.18500000,-7.67817878723145,0,0
0.19000000,-7.70897531509399,0,0
0.19500000,-7.7047758102417,0,0
0.20000000,-7.64178323745727,0,0
0.20500000,-7.68237829208374,0,0
0.21000000,-7.87275505065918,0,0
0.21500000,-7.82656049728394,0,0
0.22000000,-7.81116247177124,0,0
0.22500000,-7.8713550567627,0,0
0.23000000,-7.73697185516357,0,0
0.23500000,-7.80836296081543,0,0
0.24000000,-7.58019113540649,0,0
0.24500000,-7.76916790008545,0,0
0.25000000,-7.80276346206665,0,0
0.25500000,-7.76916790008545,0,0
0.26000000,-7.77476692199707,0,0
0.26500000,-7.79296493530273,0,0
0.27000000,-7.70897531509399,0,0
0.27500000,-7.73697185516357,0,0
0.28000000,-7.79856395721436,0,0
0.28500000,-7.81256246566772,0,0
0.29000000,-7.58579015731812,0,0
