Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.17704105377197,0,0
0.00500000,-6.95306825637817,0,0
0.01000000,-7.19803810119629,0,0
0.01500000,-7.15044403076172,0,0
0.02000000,-6.97126626968384,0,0
0.02500000,-6.92507171630859,0,0
0.03000000,-7.19243907928467,0,0
0.03500000,-7.1448450088501,0,0
0.04000000,-6.95306825637817,0,0
0.04500000,-6.97966527938843,0,0
0.05000000,-7.0496563911438,0,0
0.05500000,-7.00626182556152,0,0
0.06000000,-7.17984056472778,0,0
0.06500000,-7.0118613243103,0,0
0.07000000,-7.02165985107422,0,0
0.07500000,-7.19803810119629,0,0
0.08000000,-7.11264896392822,0,0
0.08500000,-7.12244749069214,0,0
0.09000000,-7.11404848098755,0,0
0.09500000,-7.23863315582275,0,0
0.10000000,-7.05385589599609,0,0
0.10500000,-7.16584205627441,0,0
0.11000000,-7.40521287918091,0,0
0.11500000,-7.24703216552734,0,0
0.12000000,-7.09025144577026,0,0
0.12500000,-7.22323513031006,0,0
0.13000000,-7.30862474441528,0,0
0.13500000,-7.2806282043457,0,0
0.14000000,-7.33662128448486,0,0
0.14500000,-7.25543117523193,0,0
0.15000000,-7.32122325897217,0,0
0.15500000,-7.31142425537109,0,0
0.16000000,-7.24703216552734,0,0
0.16500000,-7.3184232711792,0,0
0.17000000,-7.24003314971924,0,0
0.17500000,-7.19103908538818,0,0
0.18000000,-7.28902721405029,0,0
0.18500000,-7.42341041564941,0,0
0.19000000,-7.36741733551025,0,0
0.19500000,-7.26522970199585,0,0
0.20000000,-7.32262277603149,0,0
0.20500000,-7.36321783065796,0,0
0.21000000,-7.12244749069214,0,0
0.21500000,-7.39681386947632,0,0
0.22000000,-7.21903562545776,0,0
0.22500000,-7.59978866577148,0,0
0.23000000,-7.58019113540649,0,0
0.23500000,-7.48780250549316,0,0
0.24000000,-7.33662128448486,0,0
0.24500000,-7.30862474441528,0,0
0.25000000,-7.36741733551025,0,0
0.25500000,-7.32682228088379,0,0
0.26000000,-7.50600004196167,0,0
0.26500000,-7.52979707717896,0,0
0.27000000,-7.52979707717896,0,0
0.27500000,-7.51439905166626,0,0
0.28000000,-7.30442523956299,0,0
0.28500000,-7.33942079544067,0,0
0.29000000,-7.41921091079712,0,0
0.29500000,-7.50740003585815,0,0
0.30000000,-7.5717921257019,0,0
0.30500000,-7.54239559173584,0,0
0.31000000,-7.51999855041504,0,0
0.31500000,-7.52979707717896,0,0
0.32000000,-7.4472074508667,0,0
0.32500000,-7.46400547027588,0,0
0.33000000,-7.431809425354,0,0
0.33500000,-7.54799509048462,0,0
0.34000000,-7.67817878723145,0,0
0.34500000,-7.50180053710937,0,0
0.35000000,-7.63478422164917,0,0
0.35500000,-7.52139854431152,0,0
0.36000000,-7.51159954071045,0,0
0.36500000,-7.51439905166626,0,0
0.37000000,-7.58159112930298,0,0
0.37500000,-7.7383713722229,0,0
0.38000000,-7.69077730178833,0,0
0.38500000,-7.65018224716186,0,0
0.39000000,-7.4738039970398,0,0
0.39500000,-7.58579015731812,0,0
0.40000000,-7.45560646057129,0,0
0.40500000,-7.46400547027588,0,0
0.41000000,-7.62778520584106,0,0
0.41500000,-7.66698026657105,0,0
0.42000000,-7.56339311599731,0,0
0.42500000,-7.62778520584106,0,0
0.43000000,-7.46120595932007,0,0
0.43500000,-7.38981437683105,0,0
0.44000000,-7.65578174591064,0,0
0.44500000,-7.58019113540649,0,0
0.45000000,-7.62358570098877,0,0
0.45500000,-7.66838026046753,0,0
0.46000000,-7.70617532730103,0,0
0.46500000,-7.64178323745727,0,0
0.47000000,-7.51439905166626,0,0
0.47500000,-7.44160795211792,0,0
0.48000000,-7.55359411239624,0,0
0.48500000,-7.47100448608398,0,0
0.49000000,-7.4738039970398,0,0
0.49500000,-7.6137866973877,0,0
0.50000000,-7.58859014511108,0,0
0.50500000,-7.58579015731812,0,0
0.51000000,-7.4738039970398,0,0
0.51500000,-7.23023414611816,0,0
0.52000000,-7.32262277603149,0,0
0.52500000,-7.39961338043213,0,0
0.53000000,-7.33662128448486,0,0
0.53500000,-7.59978866577148,0,0
0.54000000,-7.29882574081421,0,0
0.54500000,-7.40381288528442,0,0
0.55000000,-7.49340200424194,0,0
0.55500000,-7.3030252456665,0,0
0.56000000,-7.42760992050171,0,0
0.56500000,-7.34502029418945,0,0
0.57000000,-7.52559757232666,0,0
0.57500000,-7.48920249938965,0,0
0.58000000,-7.60258817672729,0,0
0.58500000,-7.33102178573608,0,0
0.59000000,-7.22603464126587,0,0
0.59500000,-7.19803810119629,0,0
0.60000000,-7.48220300674439,0,0
0.60500000,-7.24003314971924,0,0
0.61000000,-7.4696044921875,0,0
0.61500000,-7.44580745697021,0,0
0.62000000,-7.27922821044922,0,0
0.62500000,-7.23863315582275,0,0
0.63000000,-7.27222919464111,0,0
0.63500000,-7.39261436462402,0,0
0.64000000,-7.26522970199585,0,0
0.64500000,-7.21623611450195,0,0
0.65000000,-7.49200201034546,0,0
0.65500000,-7.43320941925049,0,0
0.66000000,-7.25543117523193,0,0
0.66500000,-7.3030252456665,0,0
0.67000000,-7.42760992050171,0,0
0.67500000,-7.19803810119629,0,0
0.68000000,-7.39961338043213,0,0
0.68500000,-7.38281536102295,0,0
0.69000000,-7.34082078933716,0,0
0.69500000,-7.35341882705688,0,0
0.70000000,-7.44580745697021,0,0
0.70500000,-7.2806282043457,0,0
0.71000000,-7.31142425537109,0,0
0.71500000,-7.29742574691772,0,0
0.72000000,-7.26103067398071,0,0
0.72500000,-7.35761833190918,0,0
0.73000000,-7.55359411239624,0,0
0.73500000,-7.35481882095337,0,0
0.74000000,-7.31702375411987,0,0
0.74500000,-7.3296217918396,0,0
0.75000000,-7.27642869949341,0,0
0.75500000,-7.29042673110962,0,0
0.76000000,-7.4472074508667,0,0
0.76500000,-7.58998966217041,0,0
0.77000000,-7.52839756011963,0,0
0.77500000,-7.50600004196167,0,0
0.78000000,-7.33242177963257,0,0
0.78500000,-7.40381288528442,0,0
0.79000000,-7.43740892410278,0,0
0.79500000,-7.44580745697021,0,0
0.80000000,-7.35761833190918,0,0
0.80500000,-7.5717921257019,0,0
0.81000000,-7.59978866577148,0,0
0.81500000,-7.56759262084961,0,0
0.82000000,-7.4472074508667,0,0
0.82500000,-7.53399658203125,0,0
0.83000000,-7.53959608078003,0,0
0.83500000,-7.54799509048462,0,0
0.84000000,-7.60258817672729,0,0
0.84500000,-7.66698026657105,0,0
0.85000000,-7.69077730178833,0,0
0.85500000,-7.54799509048462,0,0
0.86000000,-7.65858125686646,0,0
0.86500000,-7.81536197662354,0,0
0.87000000,-7.68097877502441,0,0
0.87500000,-7.53819608688354,0,0
