Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,173.122116088867,0,0
0.00500000,173.113708496094,0,0
0.01000000,172.417999267578,0,0
0.01500000,171.610290527344,0,0
0.02000000,170.491836547852,0,0
0.02500000,172.178619384766,0,0
0.03000000,171.50390625,0,0
0.03500000,168.901626586914,0,0
0.04000000,165.970397949219,0,0
0.04500000,167.657180786133,0,0
0.05000000,168.565673828125,0,0
0.05500000,169.927703857422,0,0
0.06000000,170.827789306641,0,0
0.06500000,170.50163269043,0,0
0.07000000,171.814666748047,0,0
0.07500000,172.012054443359,0,0
0.08000000,173.344680786133,0,0
0.08500000,172.744155883789,0,0
0.09000000,172.819747924805,0,0
0.09500000,170.171279907227,0,0
0.10000000,170.153076171875,0,0
0.10500000,170.384048461914,0,0
0.11000000,168.679061889648,0,0
0.11500000,165.315277099609,0,0
0.12000000,165.780014038086,0,0
0.12500000,167.767776489258,0,0
0.13000000,168.431289672852,0,0
0.13500000,170.039688110352,0,0
0.14000000,168.442489624023,0,0
0.14500000,170.192276000977,0,0
0.15000000,171.767074584961,0,0
0.15500000,173.029724121094,0,0
0.16000000,172.571975708008,0,0
0.16500000,171.734878540039,0,0
0.17000000,169.497955322266,0,0
0.17500000,168.715454101562,0,0
0.18000000,170.728408813477,0,0
0.18500000,169.609939575195,0,0
0.19000000,166.687103271484,0,0
0.19500000,164.945724487305,0,0
0.20000000,167.566192626953,0,0
0.20500000,167.738372802734,0,0
0.21000000,169.383178710938,0,0
0.21500000,168.833038330078,0,0
0.22000000,169.4853515625,0,0
0.22500000,171.92805480957,0,0
0.23000000,173.763229370117,0,0
0.23500000,173.509857177734,0,0
0.24000000,171.902862548828,0,0
0.24500000,171.216949462891,0,0
0.25000000,169.517547607422,0,0
0.25500000,171.165145874023,0,0
0.26000000,170.999969482422,0,0
0.26500000,168.295501708984,0,0
0.27000000,164.737152099609,0,0
0.27500000,166.442138671875,0,0
0.28000000,167.676788330078,0,0
0.28500000,168.78125,0,0
0.29000000,169.663131713867,0,0
0.29500000,169.775115966797,0,0
0.30000000,172.436187744141,0,0
0.30500000,173.799621582031,0,0
0.31000000,174.608734130859,0,0
0.31500000,173.598052978516,0,0
0.32000000,173.260696411133,0,0
0.32500000,171.431121826172,0,0
0.33000000,172.247222900391,0,0
0.33500000,172.776351928711,0,0
0.34000000,170.181076049805,0,0
0.34500000,166.365142822266,0,0
0.35000000,166.363739013672,0,0
0.35500000,168.78125,0,0
0.36000000,169.064010620117,0,0
0.36500000,170.85578918457,0,0
0.37000000,170.204864501953,0,0
0.37500000,172.076446533203,0,0
0.38000000,173.292892456055,0,0
0.38500000,174.608734130859,0,0
0.39000000,174.07258605957,0,0
0.39500000,173.753433227539,0,0
0.40000000,172.321411132813,0,0
0.40500000,171.536102294922,0,0
0.41000000,172.776351928711,0,0
0.41500000,170.676605224609,0,0
0.42000000,167.26383972168,0,0
0.42500000,165.161285400391,0,0
0.43000000,167.889556884766,0,0
0.43500000,168.222717285156,0,0
0.44000000,170.437240600586,0,0
0.44500000,169.784927368164,0,0
0.45000000,170.176879882813,0,0
0.45500000,171.953247070313,0,0
0.46000000,173.358688354492,0,0
0.46500000,173.640045166016,0,0
0.47000000,173.127716064453,0,0
0.47500000,171.887466430664,0,0
0.48000000,169.493759155273,0,0
0.48500000,170.60661315918,0,0
0.49000000,169.98649597168,0,0
0.49500000,167.301635742187,0,0
0.50000000,164.178619384766,0,0
0.50500000,166.390335083008,0,0
0.51000000,167.598388671875,0,0
0.51500000,168.78125,0,0
0.52000000,169.457366943359,0,0
0.52500000,168.887634277344,0,0
0.53000000,170.89778137207,0,0
0.53500000,172.198226928711,0,0
0.54000000,173.50146484375,0,0
0.54500000,172.816940307617,0,0
0.55000000,171.59489440918,0,0
0.55500000,168.744857788086,0,0
0.56000000,169.475555419922,0,0
0.56500000,170.612213134766,0,0
0.57000000,168.564270019531,0,0
0.57500000,165.526641845703,0,0
0.58000000,165.82341003418,0,0
0.58500000,167.694976806641,0,0
0.59000000,168.338897705078,0,0
0.59500000,170.52262878418,0,0
0.60000000,169.570755004883,0,0
0.60500000,171.932250976562,0,0
0.61000000,173.799621582031,0,0
0.61500000,175.331039428711,0,0
0.62000000,174.46174621582,0,0
0.62500000,173.648452758789,0,0
0.63000000,171.909866333008,0,0
0.63500000,171.260345458984,0,0
0.64000000,172.788955688477,0,0
0.64500000,171.480117797852,0,0
0.65000000,167.714584350586,0,0
0.65500000,166.194366455078,0,0
0.66000000,168.389297485352,0,0
0.66500000,168.69026184082,0,0
0.67000000,170.487640380859,0,0
0.67500000,170.634613037109,0,0
0.68000000,172.230422973633,0,0
0.68500000,173.913009643555,0,0
0.69000000,174.786499023438,0,0
0.69500000,174.227966308594,0,0
0.70000000,173.584060668945,0,0
0.70500000,172.766555786133,0,0
0.71000000,171.44792175293,0,0
0.71500000,172.636367797852,0,0
0.72000000,171.564102172852,0,0
0.72500000,168.142929077148,0,0
0.73000000,165.130493164062,0,0
0.73500000,167.223236083984,0,0
0.74000000,167.634780883789,0,0
0.74500000,168.393493652344,0,0
0.75000000,169.138198852539,0,0
0.75500000,169.230590820313,0,0
0.76000000,170.598220825195,0,0
0.76500000,171.102157592773,0,0
0.77000000,172.02604675293,0,0
0.77500000,171.439514160156,0,0
0.78000000,171.9140625,0,0
0.78500000,170.312652587891,0,0
0.79000000,170.533828735352,0,0
0.79500000,170.505828857422,0,0
0.80000000,168.361297607422,0,0
0.80500000,164.787536621094,0,0
0.81000000,165.137496948242,0,0
0.81500000,167.417816162109,0,0
0.82000000,167.26383972168,0,0
0.82500000,168.814834594727,0,0
0.83000000,167.945556640625,0,0
0.83500000,169.446166992187,0,0
0.84000000,170.427444458008,0,0
0.84500000,172.115631103516,0,0
0.85000000,172.003646850586,0,0
0.85500000,171.63688659668,0,0
0.86000000,170.120880126953,0,0
0.86500000,168.658065795898,0,0
0.87000000,169.829711914062,0,0
0.87500000,168.970230102539,0,0
0.88000000,166.044586181641,0,0
0.88500000,163.880447387695,0,0
0.89000000,165.929794311523,0,0
0.89500000,165.935394287109,0,0
0.90000000,167.359024047852,0,0
0.90500000,167.149047851562,0,0
0.91000000,166.915283203125,0,0
0.91500000,168.476089477539,0,0
0.92000000,170.02848815918,0,0
0.92500000,171.023773193359,0,0
0.93000000,169.636535644531,0,0
0.93500000,168.704254150391,0,0
0.94000000,167.108459472656,0,0
0.94500000,168.222717285156,0,0
0.95000000,169.146606445313,0,0
0.95500000,167.575988769531,0,0
0.96000000,163.725067138672,0,0
0.96500000,164.178619384766,0,0
0.97000000,165.961990356445,0,0
0.97500000,166.803283691406,0,0
0.98000000,168.712661743164,0,0
0.98500000,168.365493774414,0,0
0.99000000,170.056488037109,0,0
