Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-2.89216947555542,0,0
0.00500000,-3.08814549446106,0,0
0.01000000,-2.94536304473877,0,0
0.01500000,-2.96916007995605,0,0
0.02000000,-2.92436552047729,0,0
0.02500000,-2.88097095489502,0,0
0.03000000,-2.94956254959106,0,0
0.03500000,-2.96356081962585,0,0
0.04000000,-2.96776032447815,0,0
0.04500000,-3.01395463943481,0,0
0.05000000,-2.87397170066834,0,0
0.05500000,-2.96356081962585,0,0
0.06000000,-3.06014895439148,0,0
0.06500000,-2.86697268486023,0,0
0.07000000,-2.86137342453003,0,0
0.07500000,-2.74518775939941,0,0
0.08000000,-2.71719121932983,0,0
0.08500000,-2.634601354599,0,0
0.09000000,-2.56461000442505,0,0
0.09500000,-2.45402359962463,0,0
0.10000000,-2.51981544494629,0,0
0.10500000,-2.4946186542511,0,0
0.11000000,-2.46522235870361,0,0
0.11500000,-2.37563323974609,0,0
0.12000000,-2.36303496360779,0,0
0.12500000,-2.35183620452881,0,0
0.13000000,-2.46242260932922,0,0
0.13500000,-2.45122408866882,0,0
0.14000000,-2.31544065475464,0,0
0.14500000,-2.44842433929443,0,0
0.15000000,-2.36303496360779,0,0
0.15500000,-2.35183620452881,0,0
0.16000000,-2.32663941383362,0,0
0.16500000,-2.54221272468567,0,0
0.17000000,-2.41762804985046,0,0
0.17500000,-2.54221272468567,0,0
0.18000000,-2.47782063484192,0,0
0.18500000,-2.43442606925964,0,0
0.19000000,-2.42182755470276,0,0
0.19500000,-2.37003397941589,0,0
0.20000000,-2.42602705955505,0,0
0.20500000,-2.45962285995483,0,0
0.21000000,-2.43582582473755,0,0
0.21500000,-2.50441741943359,0,0
0.22000000,-2.50861692428589,0,0
0.22500000,-2.54641222953796,0,0
0.23000000,-2.54081296920776,0,0
0.23500000,-2.45122408866882,0,0
0.24000000,-2.43022656440735,0,0
0.24500000,-2.54081296920776,0,0
0.25000000,-2.57020926475525,0,0
0.25500000,-2.58280777931213,0,0
0.26000000,-2.55061173439026,0,0
0.26500000,-2.43722581863403,0,0
0.27000000,-2.53381371498108,0,0
0.27500000,-2.59680604934692,0,0
0.28000000,-2.634601354599,0,0
0.28500000,-2.66119813919067,0,0
0.29000000,-2.55201148986816,0,0
0.29500000,-2.57580852508545,0,0
0.30000000,-2.60800457000732,0,0
0.30500000,-2.65419888496399,0,0
0.31000000,-2.57160902023315,0,0
0.31500000,-2.52821445465088,0,0
0.32000000,-2.52401494979858,0,0
0.32500000,-2.67939591407776,0,0
0.33000000,-2.52541494369507,0,0
0.33500000,-2.59260654449463,0,0
0.34000000,-2.54361248016357,0,0
0.34500000,-2.52401494979858,0,0
0.35000000,-2.5058171749115,0,0
0.35500000,-2.4904191493988,0,0
0.36000000,-2.61780333518982,0,0
0.36500000,-2.634601354599,0,0
0.37000000,-2.49181890487671,0,0
0.37500000,-2.55761075019836,0,0
0.38000000,-2.47222137451172,0,0
0.38500000,-2.38823175430298,0,0
0.39000000,-2.47642087936401,0,0
0.39500000,-2.5058171749115,0,0
0.40000000,-2.61640357971191,0,0
0.40500000,-2.35323596000671,0,0
0.41000000,-2.37283372879028,0,0
0.41500000,-2.39103150367737,0,0
0.42000000,-2.44562458992004,0,0
0.42500000,-2.34343719482422,0,0
0.43000000,-2.34763669967651,0,0
0.43500000,-2.38963150978088,0,0
0.44000000,-2.40502977371216,0,0
0.44500000,-2.38123273849487,0,0
0.45000000,-2.49181890487671,0,0
0.45500000,-2.30704188346863,0,0
0.46000000,-2.34203743934631,0,0
0.46500000,-2.42742681503296,0,0
0.47000000,-2.46522235870361,0,0
0.47500000,-2.71719121932983,0,0
0.48000000,-2.79558157920837,0,0
0.48500000,-2.79558157920837,0,0
0.49000000,-2.74658751487732,0,0
0.49500000,-2.80957984924316,0,0
0.50000000,-2.86137342453003,0,0
0.50500000,-2.86557292938232,0,0
0.51000000,-3.14693808555603,0,0
0.51500000,-2.98035860061646,0,0
0.52000000,-2.80957984924316,0,0
0.52500000,-3.20713067054749,0,0
0.53000000,-3.23652696609497,0,0
0.53500000,-3.14273858070374,0,0
0.54000000,-3.19733190536499,0,0
0.54500000,-3.55988717079163,0,0
0.55000000,-3.43390274047852,0,0
0.55500000,-3.61588025093079,0,0
0.56000000,-3.38770842552185,0,0
0.56500000,-3.60608148574829,0,0
0.57000000,-3.54868865013123,0,0
0.57500000,-3.50389409065247,0,0
0.58000000,-3.35271263122559,0,0
0.58500000,-3.33591485023499,0,0
0.59000000,-3.56968593597412,0,0
0.59500000,-3.55988717079163,0,0
0.60000000,-3.34991312026978,0,0
0.60500000,-3.44230175018311,0,0
0.61000000,-3.52349162101746,0,0
0.61500000,-3.26872301101685,0,0
0.62000000,-3.36531114578247,0,0
0.62500000,-3.34571361541748,0,0
0.63000000,-3.23512721061707,0,0
0.63500000,-3.51649260520935,0,0
0.64000000,-3.40730595588684,0,0
0.64500000,-3.65787506103516,0,0
0.65000000,-3.66067481040955,0,0
0.65500000,-3.80345702171326,0,0
0.66000000,-3.81745529174805,0,0
0.66500000,-3.85805034637451,0,0
0.67000000,-3.84265232086182,0,0
0.67500000,-3.82585430145264,0,0
0.68000000,-4.02462959289551,0,0
0.68500000,-4.02043056488037,0,0
0.69000000,-3.91964268684387,0,0
0.69500000,-3.91964268684387,0,0
0.70000000,-3.92944145202637,0,0
0.70500000,-3.88604688644409,0,0
0.71000000,-4.0218300819397,0,0
0.71500000,-4.16461277008057,0,0
0.72000000,-3.98123526573181,0,0
0.72500000,-3.91404342651367,0,0
0.73000000,-3.93504095077515,0,0
0.73500000,-3.98543477058411,0,0
0.74000000,-3.67467308044434,0,0
0.74500000,-3.67327308654785,0,0
0.75000000,-3.47449779510498,0,0
0.75500000,-3.41150546073914,0,0
0.76000000,-3.28552103042603,0,0
0.76500000,-3.1623363494873,0,0
0.77000000,-3.16653561592102,0,0
0.77500000,-2.95516180992126,0,0
0.78000000,-3.02655291557312,0,0
0.78500000,-2.88517045974731,0,0
0.79000000,-2.8935694694519,0,0
0.79500000,-2.54781198501587,0,0
0.80000000,-2.55061173439026,0,0
0.80500000,-2.53241395950317,0,0
0.81000000,-2.68919467926025,0,0
0.81500000,-2.51141667366028,0,0
0.82000000,-2.46942162513733,0,0
0.82500000,-2.37283372879028,0,0
0.83000000,-2.33923768997192,0,0
0.83500000,-2.16005992889404,0,0
0.84000000,-2.15726017951965,0,0
0.84500000,-2.39803051948547,0,0
0.85000000,-2.19645547866821,0,0
0.85500000,-2.27484583854675,0,0
0.86000000,-2.20905375480652,0,0
0.86500000,-2.17405819892883,0,0
0.87000000,-2.18105721473694,0,0
0.87500000,-2.25244855880737,0,0
0.88000000,-2.11806511878967,0,0
0.88500000,-2.08446931838989,0,0
0.89000000,-2.11246585845947,0,0
0.89500000,-2.09986734390259,0,0
0.90000000,-2.02567648887634,0,0
0.90500000,-2.15726017951965,0,0
0.91000000,-2.23845028877258,0,0
0.91500000,-2.07886981964111,0,0
0.92000000,-2.23845028877258,0,0
0.92500000,-2.35883545875549,0,0
0.93000000,-2.37283372879028,0,0
0.93500000,-2.26364707946777,0,0
0.94000000,-2.31964015960693,0,0
0.94500000,-2.33923768997192,0,0
0.95000000,-2.49181890487671,0,0
0.95500000,-2.35883545875549,0,0
0.96000000,-2.28324460983276,0,0
0.96500000,-2.3560357093811,0,0
0.97000000,-2.3448371887207,0,0
0.97500000,-2.33083891868591,0,0
0.98000000,-2.3448371887207,0,0
0.98500000,-2.44002532958984,0,0
0.99000000,-2.33783793449402,0,0
0.99500000,-2.3448371887207,0,0
1.00000000,-2.2202525138855,0,0
1.00500000,-2.29304361343384,0,0
1.01000000,-2.25104880332947,0,0
1.01500000,-2.22305202484131,0,0
1.02000000,-2.21885275840759,0,0
1.02500000,-2.33083891868591,0,0
1.03000000,-2.32663941383362,0,0
1.03500000,-2.33083891868591,0,0
1.04000000,-2.33783793449402,0,0
1.04500000,-2.35743546485901,0,0
1.05000000,-2.40922927856445,0,0
1.05500000,-2.52261519432068,0,0
1.06000000,-2.43442606925964,0,0
1.06500000,-2.52261519432068,0,0
1.07000000,-2.59260654449463,0,0
1.07500000,-2.44982409477234,0,0
1.08000000,-2.31544065475464,0,0
1.08500000,-2.58420753479004,0,0
1.09000000,-2.43162631988525,0,0
1.09500000,-2.59400629997253,0,0
1.10000000,-2.69059443473816,0,0
1.10500000,-2.51841568946838,0,0
1.11000000,-2.51141667366028,0,0
1.11500000,-2.37563323974609,0,0
1.12000000,-2.56880950927734,0,0
1.12500000,-2.42742681503296,0,0
1.13000000,-2.37283372879028,0,0
1.13500000,-2.32663941383362,0,0
1.14000000,-2.35883545875549,0,0
1.14500000,-2.38403224945068,0,0
1.15000000,-2.33923768997192,0,0
1.15500000,-2.34203743934631,0,0
1.16000000,-2.32104015350342,0,0
1.16500000,-2.25664806365967,0,0
1.17000000,-2.21885275840759,0,0
1.17500000,-2.37983274459839,0,0
1.18000000,-2.33923768997192,0,0
1.18500000,-2.31264114379883,0,0
1.19000000,-2.28464460372925,0,0
1.19500000,-2.29584312438965,0,0
1.20000000,-2.24684929847717,0,0
1.20500000,-2.13626289367676,0,0
1.21000000,-2.33783793449402,0,0
1.21500000,-2.3448371887207,0,0
1.22000000,-2.40782928466797,0,0
1.22500000,-2.31964015960693,0,0
1.23000000,-2.18525671958923,0,0
1.23500000,-2.36303496360779,0,0
1.24000000,-2.43162631988525,0,0
1.24500000,-2.24964880943298,0,0
1.25000000,-2.3658344745636,0,0
1.25500000,-2.30144238471985,0,0
1.26000000,-2.38123273849487,0,0
1.26500000,-2.25944757461548,0,0
1.27000000,-2.3560357093811,0,0
1.27500000,-2.39523100852966,0,0
1.28000000,-2.35883545875549,0,0
1.28500000,-2.32104015350342,0,0
1.29000000,-2.40782928466797,0,0
1.29500000,-2.28044509887695,0,0
1.30000000,-2.35183620452881,0,0
1.30500000,-2.30284237861633,0,0
1.31000000,-2.3448371887207,0,0
1.31500000,-2.24264979362488,0,0
1.32000000,-2.32663941383362,0,0
1.32500000,-2.30564188957214,0,0
1.33000000,-2.36303496360779,0,0
1.33500000,-2.40362977981567,0,0
1.34000000,-2.30284237861633,0,0
1.34500000,-2.27764534950256,0,0
1.35000000,-2.31684064865112,0,0
1.35500000,-2.37983274459839,0,0
1.36000000,-2.45542335510254,0,0
1.36500000,-2.22865152359009,0,0
1.37000000,-2.39103150367737,0,0
1.37500000,-2.43442606925964,0,0
1.38000000,-2.496018409729,0,0
1.38500000,-2.33363842964172,0,0
1.39000000,-2.3560357093811,0,0
1.39500000,-2.44982409477234,0,0
1.40000000,-2.28324460983276,0,0
1.40500000,-2.38403224945068,0,0
1.41000000,-2.34203743934631,0,0
1.41500000,-2.33363842964172,0,0
1.42000000,-2.25524806976318,0,0
1.42500000,-2.25104880332947,0,0
1.43000000,-2.26504707336426,0,0
1.43500000,-2.22305202484131,0,0
1.44000000,-2.26924633979797,0,0
1.44500000,-2.26504707336426,0,0
1.45000000,-2.13066363334656,0,0
1.45500000,-2.19925498962402,0,0
1.46000000,-2.14326190948486,0,0
1.46500000,-2.26504707336426,0,0
1.47000000,-2.0760703086853,0,0
1.47500000,-2.11386561393738,0,0
1.48000000,-2.14606165885925,0,0
1.48500000,-2.10686635971069,0,0
1.49000000,-2.18105721473694,0,0
1.49500000,-2.18665671348572,0,0
1.50000000,-2.17125844955444,0,0
1.50500000,-2.04387426376343,0,0
1.51000000,-2.24684929847717,0,0
1.51500000,-2.27484583854675,0,0
1.52000000,-2.24964880943298,0,0
1.52500000,-2.33503842353821,0,0
1.53000000,-2.26644682884216,0,0
1.53500000,-2.25104880332947,0,0
1.54000000,-2.15446066856384,0,0
1.54500000,-2.16425943374634,0,0
1.55000000,-2.27904534339905,0,0
1.55500000,-2.35883545875549,0,0
1.56000000,-2.19085621833801,0,0
1.56500000,-2.25244855880737,0,0
1.57000000,-2.24124979972839,0,0
1.57500000,-2.2370502948761,0,0
1.58000000,-2.16005992889404,0,0
1.58500000,-2.28044509887695,0,0
1.59000000,-2.14046239852905,0,0
1.59500000,-2.13206338882446,0,0
1.60000000,-2.0858690738678,0,0
1.60500000,-2.09986734390259,0,0
1.61000000,-2.15306067466736,0,0
1.61500000,-2.03827500343323,0,0
1.62000000,-2.12506413459778,0,0
1.62500000,-2.30704188346863,0,0
1.63000000,-2.15726017951965,0,0
1.63500000,-2.19225597381592,0,0
1.64000000,-2.20345449447632,0,0
1.64500000,-2.06487154960632,0,0
1.65000000,-2.12786388397217,0,0
1.65500000,-2.16845893859863,0,0
1.66000000,-2.12646412849426,0,0
1.66500000,-2.16005992889404,0,0
1.67000000,-2.16845893859863,0,0
1.67500000,-2.2146532535553,0,0
1.68000000,-2.18245720863342,0,0
1.68500000,-2.04667401313782,0,0
1.69000000,-2.13066363334656,0,0
1.69500000,-1.97388291358948,0,0
1.70000000,-2.0760703086853,0,0
1.70500000,-2.09986734390259,0,0
1.71000000,-2.19225597381592,0,0
1.71500000,-2.02847623825073,0,0
1.72000000,-2.14046239852905,0,0
1.72500000,-2.10686635971069,0,0
1.73000000,-2.16285967826843,0,0
1.73500000,-2.10406684875488,0,0
1.74000000,-2.16285967826843,0,0
1.74500000,-2.09006857872009,0,0
1.75000000,-2.0816695690155,0,0
1.75500000,-1.99628007411957,0,0
1.76000000,-2.0760703086853,0,0
1.76500000,-2.09986734390259,0,0
1.77000000,-2.18105721473694,0,0
1.77500000,-2.04387426376343,0,0
1.78000000,-2.06067228317261,0,0
1.78500000,-1.9472861289978,0,0
1.79000000,-2.06487154960632,0,0
1.79500000,-2.01447796821594,0,0
1.80000000,-2.0760703086853,0,0
1.80500000,-2.13066363334656,0,0
1.81000000,-2.09846758842468,0,0
1.81500000,-2.19925498962402,0,0
1.82000000,-2.10686635971069,0,0
1.82500000,-2.0928680896759,0,0
1.83000000,-2.06767129898071,0,0
1.83500000,-2.19925498962402,0,0
1.84000000,-2.0858690738678,0,0
1.84500000,-2.14466190338135,0,0
