Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.10424995422363,0,0
0.00500000,-7.17284154891968,0,0
0.01000000,-7.07065391540527,0,0
0.01500000,-7.0454568862915,0,0
0.02000000,-7.17004156112671,0,0
0.02500000,-7.11824798583984,0,0
0.03000000,-7.16584205627441,0,0
0.03500000,-7.0342583656311,0,0
0.04000000,-7.11404848098755,0,0
0.04500000,-7.19383859634399,0,0
0.05000000,-7.0496563911438,0,0
0.05500000,-7.08045291900635,0,0
0.06000000,-7.12804698944092,0,0
0.06500000,-7.15044403076172,0,0
0.07000000,-6.98526430130005,0,0
0.07500000,-7.03005886077881,0,0
0.08000000,-7.23863315582275,0,0
0.08500000,-7.17704105377197,0,0
0.09000000,-7.0384578704834,0,0
0.09500000,-7.09445095062256,0,0
0.10000000,-7.15464353561401,0,0
0.10500000,-7.10984897613525,0,0
0.11000000,-7.13084650039673,0,0
0.11500000,-7.1448450088501,0,0
0.12000000,-7.11404848098755,0,0
0.12500000,-7.1518440246582,0,0
0.13000000,-7.1518440246582,0,0
0.13500000,-7.13644599914551,0,0
0.14000000,-7.30162525177002,0,0
0.14500000,-7.08185243606567,0,0
0.15000000,-7.07345342636108,0,0
0.15500000,-7.21063661575317,0,0
0.16000000,-7.1784405708313,0,0
0.16500000,-7.08745193481445,0,0
0.17000000,-7.10005044937134,0,0
0.17500000,-7.15044403076172,0,0
0.18000000,-7.11404848098755,0,0
0.18500000,-7.1784405708313,0,0
0.19000000,-7.17004156112671,0,0
0.19500000,-7.12384748458862,0,0
0.20000000,-7.18683958053589,0,0
0.20500000,-7.15044403076172,0,0
0.21000000,-7.19243907928467,0,0
0.21500000,-7.23863315582275,0,0
0.22000000,-7.16864204406738,0,0
0.22500000,-7.19103908538818,0,0
0.23000000,-7.11684846878052,0,0
0.23500000,-7.33242177963257,0,0
0.24000000,-7.14764451980591,0,0
0.24500000,-7.1448450088501,0,0
0.25000000,-7.04825687408447,0,0
0.25500000,-7.07765293121338,0,0
0.26000000,-7.16864204406738,0,0
0.26500000,-6.98386478424072,0,0
0.27000000,-7.284827709198,0,0
