Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.4248104095459,0,0
0.00500000,-7.45700645446777,0,0
0.01000000,-7.52839756011963,0,0
0.01500000,-7.42341041564941,0,0
0.02000000,-7.4472074508667,0,0
0.02500000,-7.39681386947632,0,0
0.03000000,-7.4430079460144,0,0
0.03500000,-7.48500299453735,0,0
0.04000000,-7.37581634521484,0,0
0.04500000,-7.50320053100586,0,0
0.05000000,-7.51579904556274,0,0
0.05500000,-7.54379558563232,0,0
0.06000000,-7.37861585617065,0,0
0.06500000,-7.46540546417236,0,0
0.07000000,-7.43320941925049,0,0
0.07500000,-7.27642869949341,0,0
0.08000000,-7.45000696182251,0,0
0.08500000,-7.35761833190918,0,0
0.09000000,-7.33942079544067,0,0
0.09500000,-7.32682228088379,0,0
0.10000000,-7.39541387557983,0,0
0.10500000,-7.24703216552734,0,0
0.11000000,-7.4542064666748,0,0
0.11500000,-7.12804698944092,0,0
0.12000000,-7.39261436462402,0,0
0.12500000,-7.44160795211792,0,0
0.13000000,-7.3254222869873,0,0
0.13500000,-7.45140695571899,0,0
0.14000000,-7.39261436462402,0,0
0.14500000,-7.38701486587524,0,0
0.15000000,-7.20643711090088,0,0
0.15500000,-7.38281536102295,0,0
0.16000000,-7.33522129058838,0,0
0.16500000,-7.39121437072754,0,0
0.17000000,-7.30442523956299,0,0
0.17500000,-7.33102178573608,0,0
0.18000000,-7.50320053100586,0,0
0.18500000,-7.40381288528442,0,0
0.19000000,-7.37161684036255,0,0
0.19500000,-7.43320941925049,0,0
0.20000000,-7.42341041564941,0,0
0.20500000,-7.22323513031006,0,0
0.21000000,-7.31282424926758,0,0
0.21500000,-7.44160795211792,0,0
0.22000000,-7.4472074508667,0,0
0.22500000,-7.36881732940674,0,0
0.23000000,-7.31282424926758,0,0
0.23500000,-7.25543117523193,0,0
0.24000000,-7.21203660964966,0,0
0.24500000,-7.26243019104004,0,0
0.25000000,-7.17984056472778,0,0
0.25500000,-7.35901832580566,0,0
0.26000000,-7.41501140594482,0,0
0.26500000,-7.37161684036255,0,0
0.27000000,-7.37721633911133,0,0
0.27500000,-7.3254222869873,0,0
0.28000000,-7.29322624206543,0,0
0.28500000,-7.33942079544067,0,0
0.29000000,-7.26662969589233,0,0
0.29500000,-7.36881732940674,0,0
0.30000000,-7.48360300064087,0,0
0.30500000,-7.3030252456665,0,0
0.31000000,-7.20923662185669,0,0
0.31500000,-7.34921979904175,0,0
0.32000000,-7.33662128448486,0,0
0.32500000,-7.3254222869873,0,0
0.33000000,-7.37301683425903,0,0
0.33500000,-7.41361141204834,0,0
0.34000000,-7.39261436462402,0,0
0.34500000,-7.36741733551025,0,0
0.35000000,-7.32122325897217,0,0
0.35500000,-7.45140695571899,0,0
0.36000000,-7.34921979904175,0,0
0.36500000,-7.36321783065796,0,0
0.37000000,-7.34502029418945,0,0
0.37500000,-7.33522129058838,0,0
0.38000000,-7.33522129058838,0,0
0.38500000,-7.42201042175293,0,0
0.39000000,-7.3184232711792,0,0
0.39500000,-7.42760992050171,0,0
0.40000000,-7.30442523956299,0,0
0.40500000,-7.24423265457153,0,0
0.41000000,-7.34921979904175,0,0
0.41500000,-7.26522970199585,0,0
0.42000000,-7.32262277603149,0,0
