Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-6.70249938964844,0,0
0.00500000,-6.65070581436157,0,0
0.01000000,-6.68290185928345,0,0
0.01500000,-6.71929740905762,0,0
0.02000000,-6.65770483016968,0,0
0.02500000,-6.66050434112549,0,0
0.03000000,-6.65210580825806,0,0
0.03500000,-6.66470384597778,0,0
0.04000000,-6.68290185928345,0,0
0.04500000,-6.78228950500488,0,0
0.05000000,-6.71649742126465,0,0
0.05500000,-6.7430944442749,0,0
0.06000000,-6.70389938354492,0,0
0.06500000,-6.67590284347534,0,0
0.07000000,-6.71089839935303,0,0
0.07500000,-6.81728506088257,0,0
0.08000000,-6.65630531311035,0,0
0.08500000,-6.78228950500488,0,0
0.09000000,-6.67030334472656,0,0
0.09500000,-6.68850088119507,0,0
0.10000000,-6.66470384597778,0,0
0.10500000,-6.67590284347534,0,0
0.11000000,-6.60451126098633,0,0
0.11500000,-6.68290185928345,0,0
0.12000000,-6.69829988479614,0,0
0.12500000,-6.65210580825806,0,0
0.13000000,-6.7472939491272,0,0
0.13500000,-6.6297082901001,0,0
0.14000000,-6.71509790420532,0,0
0.14500000,-6.64370679855347,0,0
0.15000000,-6.57231521606445,0,0
0.15500000,-6.58071422576904,0,0
0.16000000,-6.66890335083008,0,0
0.16500000,-6.56251668930054,0,0
0.17000000,-6.64790630340576,0,0
0.17500000,-6.6297082901001,0,0
0.18000000,-6.67450284957886,0,0
0.18500000,-6.77109098434448,0,0
0.19000000,-6.62410926818848,0,0
0.19500000,-6.64230680465698,0,0
0.20000000,-6.70249938964844,0,0
0.20500000,-6.68290185928345,0,0
0.21000000,-6.68850088119507,0,0
0.21500000,-6.66190433502197,0,0
0.22000000,-6.67030334472656,0,0
0.22500000,-6.88167715072632,0,0
0.23000000,-6.80748653411865,0,0
0.23500000,-6.84528160095215,0,0
0.24000000,-6.6297082901001,0,0
0.24500000,-6.67310285568237,0,0
0.25000000,-6.79628801345825,0,0
0.25500000,-6.72069692611694,0,0
0.26000000,-6.79628801345825,0,0
0.26500000,-6.80748653411865,0,0
0.27000000,-6.72209692001343,0,0
0.27500000,-6.80048751831055,0,0
0.28000000,-6.82288455963135,0,0
0.28500000,-6.76129198074341,0,0
0.29000000,-6.76689147949219,0,0
0.29500000,-6.79348802566528,0,0
0.30000000,-6.79628801345825,0,0
0.30500000,-6.76129198074341,0,0
0.31000000,-6.81308555603027,0,0
0.31500000,-6.69270038604736,0,0
0.32000000,-6.82848405838013,0,0
0.32500000,-6.78928852081299,0,0
0.33000000,-6.81448554992676,0,0
0.33500000,-6.85648059844971,0,0
0.34000000,-6.74869346618652,0,0
0.34500000,-6.7654914855957,0,0
0.35000000,-6.93207120895386,0,0
0.35500000,-6.77109098434448,0,0
0.36000000,-6.82568407058716,0,0
0.36500000,-6.92367219924927,0,0
0.37000000,-6.85648059844971,0,0
0.37500000,-6.91387319564819,0,0
0.38000000,-6.85648059844971,0,0
0.38500000,-6.93907022476196,0,0
0.39000000,-6.8830771446228,0,0
0.39500000,-6.84668159484863,0,0
0.40000000,-6.91387319564819,0,0
0.40500000,-6.94186973571777,0,0
0.41000000,-6.90267467498779,0,0
0.41500000,-6.90127468109131,0,0
0.42000000,-6.79628801345825,0,0
