Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,80.3583602905273,0,0
0.00500000,76.370246887207,0,0
0.01000000,74.7786483764648,0,0
0.01500000,75.4029693603516,0,0
0.02000000,79.2468948364258,0,0
0.02500000,75.9432983398438,0,0
0.03000000,72.0475845336914,0,0
0.03500000,77.0911636352539,0,0
0.04000000,81.0596694946289,0,0
0.04500000,79.0593185424805,0,0
0.05000000,74.6778564453125,0,0
0.05500000,77.4859085083008,0,0
0.06000000,77.5055084228516,0,0
0.06500000,77.1905517578125,0,0
0.07000000,75.8425140380859,0,0
0.07500000,80.0475921630859,0,0
0.08000000,81.4936141967773,0,0
0.08500000,78.3342056274414,0,0
0.09000000,80.5753326416016,0,0
0.09500000,78.0136489868164,0,0
0.10000000,78.3384094238281,0,0
0.10500000,75.7277297973633,0,0
0.11000000,76.9455795288086,0,0
0.11500000,84.4906463623047,0,0
0.12000000,80.4395446777344,0,0
0.12500000,78.110237121582,0,0
0.13000000,76.4654388427734,0,0
0.13500000,80.4353485107422,0,0
0.14000000,78.4391937255859,0,0
0.14500000,73.1716461181641,0,0
0.15000000,77.5852966308594,0,0
0.15500000,82.8038558959961,0,0
0.16000000,83.6409530639648,0,0
0.16500000,78.6799621582031,0,0
0.17000000,77.9674530029297,0,0
0.17500000,79.0509185791016,0,0
0.18000000,78.9711303710937,0,0
0.18500000,76.0510864257812,0,0
0.19000000,76.5732269287109,0,0
0.19500000,82.1403350830078,0,0
0.20000000,78.1746292114258,0,0
0.20500000,77.9268569946289,0,0
0.21000000,78.670166015625,0,0
0.21500000,77.6734848022461,0,0
0.22000000,76.6138229370117,0,0
0.22500000,74.8584365844727,0,0
0.23000000,82.7618637084961,0,0
0.23500000,79.7284317016602,0,0
0.24000000,77.0197677612305,0,0
0.24500000,75.3287811279297,0,0
0.25000000,77.0897598266602,0,0
0.25500000,79.9650039672852,0,0
0.26000000,74.5350723266602,0,0
0.26500000,74.5014801025391,0,0
0.27000000,79.8922119140625,0,0
0.27500000,82.1319351196289,0,0
0.28000000,75.8061218261719,0,0
0.28500000,73.8897552490234,0,0
0.29000000,76.4836349487305,0,0
0.29500000,76.6152191162109,0,0
0.30000000,75.9978942871094,0,0
0.30500000,74.1501235961914,0,0
