Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-2.04387426376343,0,0
0.00500000,-2.02147698402405,0,0
0.01000000,-4.08062314987183,0,0
0.01500000,-3.07274723052978,0,0
0.02000000,-0.0043259309604764,0,0
0.02500000,-1.9514856338501,0,0
0.03000000,-5.66242790222168,0,0
0.03500000,-2.62200284004211,0,0
0.04000000,0.30083641409874,0,0
0.04500000,-2.6304018497467,0,0
0.05000000,-4.50617027282715,0,0
0.05500000,-2.56880950927734,0,0
0.06000000,-1.64212381839752,0,0
0.06500000,-2.5058171749115,0,0
0.07000000,-3.33731460571289,0,0
0.07500000,-1.61272740364075,0,0
0.08000000,-1.6701203584671,0,0
0.08500000,-1.83390021324158,0,0
0.09000000,-2.31964015960693,0,0
0.09500000,-4.46417570114136,0,0
0.10000000,-1.06259536743164,0,0
0.10500000,0.184650748968124,0,0
0.11000000,-4.55236482620239,0,0
0.11500000,-4.62375593185425,0,0
0.12000000,0.179051443934441,0,0
0.12500000,-1.02480006217957,0,0
0.13000000,-5.15289068222046,0,0
0.13500000,-2.56041049957275,0,0
0.14000000,-0.90161520242691,0,0
0.14500000,-2.57160902023315,0,0
0.15000000,-3.63827753067017,0,0
0.15500000,-1.02619981765747,0,0
0.16000000,-2.43162631988525,0,0
0.16500000,-2.82917737960815,0,0
0.17000000,-0.716838002204895,0,0
0.17500000,-4.04562711715698,0,0
0.18000000,-1.62812554836273,0,0
0.18500000,0.874765574932098,0,0
0.19000000,-4.3017954826355,0,0
0.19500000,-4.66295099258423,0,0
0.20000000,0.445018619298935,0,0
0.20500000,-1.02480006217957,0,0
0.21000000,-4.57196235656738,0,0
0.21500000,-2.03827500343323,0,0
0.22000000,-1.62812554836273,0,0
0.22500000,-3.00555562973022,0,0
0.23000000,-3.22532844543457,0,0
0.23500000,-1.68411862850189,0,0
0.24000000,-2.33363842964172,0,0
0.24500000,-2.23285102844238,0,0
0.25000000,-1.80310392379761,0,0
0.25500000,-3.97843551635742,0,0
0.26000000,-1.667320728302,0,0
0.26500000,-0.232497781515121,0,0
0.27000000,-4.84772825241089,0,0
0.27500000,-3.53469038009644,0,0
0.28000000,0.974153339862823,0,0
0.28500000,-1.98788118362427,0,0
0.29000000,-4.51736879348755,0,0
0.29500000,-1.18018078804016,0,0
0.30000000,-1.83390021324158,0,0
0.30500000,-3.1833336353302,0,0
0.31000000,-2.41622829437256,0,0
0.31500000,-2.10686635971069,0,0
0.32000000,-2.60800457000732,0,0
0.32500000,-1.5343371629715,0,0
0.33000000,-2.28324460983276,0,0
0.33500000,-4.10442018508911,0,0
0.34000000,-0.921212792396545,0,0
0.34500000,-1.00240278244019,0,0
