Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-8.14012241363525,0,0
0.00500000,-7.94554615020752,0,0
0.01000000,-8.07992935180664,0,0
0.01500000,-8.17231845855713,0,0
0.02000000,-7.88115406036377,0,0
0.02500000,-8.08132934570312,0,0
0.03000000,-8.20031452178955,0,0
0.03500000,-8.02113628387451,0,0
0.04000000,-7.95534467697144,0,0
0.04500000,-8.07013034820557,0,0
0.05000000,-8.16391944885254,0,0
0.05500000,-7.94554615020752,0,0
0.06000000,-8.06033134460449,0,0
0.06500000,-8.01833724975586,0,0
0.07000000,-7.9581446647644,0,0
0.07500000,-7.99733972549438,0,0
0.08000000,-8.07992935180664,0,0
0.08500000,-8.01833724975586,0,0
0.09000000,-7.91474962234497,0,0
0.09500000,-7.91474962234497,0,0
0.10000000,-8.18211650848389,0,0
0.10500000,-8.03513526916504,0,0
0.11000000,-7.91894912719727,0,0
0.11500000,-8.05333232879639,0,0
0.12000000,-8.20311450958252,0,0
0.12500000,-7.92314863204956,0,0
0.13000000,-8.17791748046875,0,0
0.13500000,-8.16251945495606,0,0
0.14000000,-7.95394515991211,0,0
0.14500000,-7.8517575263977,0,0
0.15000000,-8.15691947937012,0,0
0.15500000,-8.03233528137207,0,0
0.16000000,-7.86575603485107,0,0
0.16500000,-7.97494220733643,0,0
0.17000000,-8.05613231658936,0,0
0.17500000,-8.04633331298828,0,0
0.18000000,-7.87275505065918,0,0
0.18500000,-8.13452243804932,0,0
0.19000000,-8.04213428497314,0,0
0.19500000,-7.8671555519104,0,0
0.20000000,-7.87275505065918,0,0
0.20500000,-8.05193328857422,0,0
0.21000000,-8.07153034210205,0,0
0.21500000,-7.91335010528564,0,0
0.22000000,-8.1359224319458,0,0
0.22500000,-8.2199125289917,0,0
0.23000000,-7.80696296691895,0,0
0.23500000,-7.97214269638062,0,0
0.24000000,-8.09672737121582,0,0
0.24500000,-7.94414615631103,0,0
0.25000000,-7.71037483215332,0,0
0.25500000,-7.91754961013794,0,0
0.26000000,-7.91894912719727,0,0
0.26500000,-7.88955307006836,0,0
0.27000000,-7.78036642074585,0,0
0.27500000,-7.91754961013794,0,0
0.28000000,-7.81256246566772,0,0
0.28500000,-7.91754961013794,0,0
0.29000000,-7.87975406646729,0,0
0.29500000,-7.82516098022461,0,0
0.30000000,-7.81256246566772,0,0
0.30500000,-7.93714714050293,0,0
0.31000000,-7.90915060043335,0,0
0.31500000,-7.8447585105896,0,0
0.32000000,-7.8713550567627,0,0
0.32500000,-7.90355110168457,0,0
0.33000000,-8.01413726806641,0,0
0.33500000,-7.89095258712769,0,0
0.34000000,-7.9735426902771,0,0
0.34500000,-7.9581446647644,0,0
0.35000000,-7.77056741714478,0,0
0.35500000,-7.92594861984253,0,0
0.36000000,-7.73277235031128,0,0
0.36500000,-7.88535356521606,0,0
0.37000000,-7.8517575263977,0,0
0.37500000,-8.03373527526855,0,0
0.38000000,-8.01553726196289,0,0
0.38500000,-7.85455703735352,0,0
0.39000000,-7.92874813079834,0,0
0.39500000,-7.95114517211914,0,0
0.40000000,-7.88675308227539,0,0
0.40500000,-7.86575603485107,0,0
0.41000000,-7.9735426902771,0,0
0.41500000,-8.31929969787598,0,0
0.42000000,-8.11072540283203,0,0
0.42500000,-7.90915060043335,0,0
0.43000000,-8.04353427886963,0,0
0.43500000,-8.02393627166748,0,0
0.44000000,-7.79436445236206,0,0
0.44500000,-7.87275505065918,0,0
0.45000000,-7.88955307006836,0,0
0.45500000,-7.86155652999878,0,0
0.46000000,-7.88535356521606,0,0
0.46500000,-7.95394515991211,0,0
0.47000000,-7.74817037582397,0,0
0.47500000,-7.83495950698852,0,0
0.48000000,-8.04353427886963,0,0
0.48500000,-7.91754961013794,0,0
